condition,model,scene_label,truth,run,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
yolo_only,yolo,person_near,hazard,1,hazard,1,1,0,0,1,0,0,0,31.19,0,0,0.0,
yolo_only,yolo,person_near,hazard,2,hazard,1,1,0,0,1,0,0,0,28.47,0,0,0.0,
yolo_only,yolo,person_near,hazard,3,hazard,1,1,0,0,1,0,0,0,28.41,0,0,0.0,
yolo_only,yolo,person_near,hazard,4,hazard,1,1,0,0,1,0,0,0,27.68,0,0,0.0,
yolo_only,yolo,person_near,hazard,5,hazard,1,1,0,0,1,0,0,0,27.71,0,0,0.0,
llm_only,claude,person_near,hazard,1,hazard,1,5,1,1,1,1,1,96,5854.8,245,132,0.002715,
llm_only,gpt4o,person_near,hazard,1,caution,0,4,1,1,0,1,1,48,3243.4,182,61,0.001825,
llm_only,gpt4o_mini,person_near,hazard,1,caution,0,4,1,1,0,1,1,66,2381.8,2949,84,0.000493,
llm_only,gemini,person_near,hazard,1,caution,0,4,1,1,0,1,1,52,3775.8,372,73,5e-05,
llm_only,claude,person_near,hazard,2,hazard,1,5,1,1,1,1,1,100,5179.6,245,137,0.00279,
llm_only,gpt4o,person_near,hazard,2,caution,0,4,1,1,0,1,1,42,2617.8,182,55,0.001735,
llm_only,gpt4o_mini,person_near,hazard,2,caution,0,4,1,1,0,1,1,69,2455.5,2949,85,0.000493,
llm_only,gemini,person_near,hazard,2,caution,0,4,1,1,0,1,1,52,2257.7,372,73,5e-05,
llm_only,claude,person_near,hazard,3,hazard,1,5,1,1,1,1,1,99,5326.3,245,135,0.00276,
llm_only,gpt4o,person_near,hazard,3,caution,0,4,1,1,0,1,1,48,2964.6,182,61,0.001825,
llm_only,gpt4o_mini,person_near,hazard,3,caution,0,4,1,1,0,1,1,67,2560.5,2949,85,0.000493,
llm_only,gemini,person_near,hazard,3,caution,0,4,1,1,0,1,1,52,1854.4,372,73,5e-05,
llm_only,claude,person_near,hazard,4,hazard,1,5,1,1,1,1,1,81,5322.4,245,114,0.002445,
llm_only,gpt4o,person_near,hazard,4,caution,0,4,1,1,0,1,1,48,2657.9,182,61,0.001825,
llm_only,gpt4o_mini,person_near,hazard,4,caution,0,4,1,1,0,1,1,67,2352.0,2949,85,0.000493,
llm_only,gemini,person_near,hazard,4,caution,0,4,1,1,0,1,1,52,3386.0,372,73,5e-05,
llm_only,claude,person_near,hazard,5,hazard,1,5,1,1,1,1,1,89,5427.1,245,126,0.002625,
llm_only,gpt4o,person_near,hazard,5,caution,0,4,1,1,0,1,1,48,2558.1,182,61,0.001825,
llm_only,gpt4o_mini,person_near,hazard,5,caution,0,4,1,1,0,1,1,60,2359.0,2949,76,0.000488,
llm_only,gemini,person_near,hazard,5,caution,0,4,1,1,0,1,1,52,2573.9,372,73,5e-05,
combined,claude,person_near,hazard,1,hazard,1,5,1,1,1,1,1,112,6162.5,338,166,0.003504,
combined,gpt4o,person_near,hazard,1,caution,0,4,1,1,0,1,1,43,2627.3,268,59,0.002225,
combined,gpt4o_mini,person_near,hazard,1,caution,0,4,1,1,0,1,1,55,2354.8,3035,75,0.0005,
combined,gemini,person_near,hazard,1,hazard,1,5,1,1,1,1,1,61,1849.5,476,85,6.1e-05,
combined,claude,person_near,hazard,2,hazard,1,5,1,1,1,1,1,100,5071.2,338,140,0.003114,
combined,gpt4o,person_near,hazard,2,caution,0,4,1,1,0,1,1,47,2810.0,268,67,0.002345,
combined,gpt4o_mini,person_near,hazard,2,caution,0,4,1,1,0,1,1,55,2455.7,3035,77,0.000501,
combined,gemini,person_near,hazard,2,hazard,1,5,1,1,1,1,1,66,3794.3,476,90,6.3e-05,
combined,claude,person_near,hazard,3,hazard,1,5,1,1,1,1,1,119,5833.0,338,177,0.003669,
combined,gpt4o,person_near,hazard,3,caution,0,4,1,1,0,1,1,47,2661.5,268,67,0.002345,
combined,gpt4o_mini,person_near,hazard,3,caution,0,4,1,1,0,1,1,55,2151.8,3035,77,0.000501,
combined,gemini,person_near,hazard,3,hazard,1,5,1,1,1,1,1,61,3383.8,476,85,6.1e-05,
combined,claude,person_near,hazard,4,hazard,1,5,1,1,1,1,1,101,5220.6,338,143,0.003159,
combined,gpt4o,person_near,hazard,4,caution,0,4,1,1,0,1,1,47,2385.0,268,66,0.00233,
combined,gpt4o_mini,person_near,hazard,4,caution,0,4,1,1,0,1,1,55,2300.2,3035,75,0.0005,
combined,gemini,person_near,hazard,4,hazard,1,5,1,1,1,1,1,61,3510.9,476,85,6.1e-05,
combined,claude,person_near,hazard,5,hazard,1,5,1,1,1,1,1,111,5985.4,338,170,0.003564,
combined,gpt4o,person_near,hazard,5,caution,0,4,1,1,0,1,1,47,2453.1,268,67,0.002345,
combined,gpt4o_mini,person_near,hazard,5,caution,0,4,1,1,0,1,1,55,2211.8,3035,77,0.000501,
combined,gemini,person_near,hazard,5,hazard,1,5,1,1,1,1,1,61,2666.3,476,85,6.1e-05,
yolo_only,yolo,wall_close,hazard,1,safe,0,0,0,0,0,0,0,0,31.22,0,0,0.0,
yolo_only,yolo,wall_close,hazard,2,safe,0,0,0,0,0,0,0,0,30.2,0,0,0.0,
yolo_only,yolo,wall_close,hazard,3,safe,0,0,0,0,0,0,0,0,29.91,0,0,0.0,
yolo_only,yolo,wall_close,hazard,4,safe,0,0,0,0,0,0,0,0,27.82,0,0,0.0,
yolo_only,yolo,wall_close,hazard,5,safe,0,0,0,0,0,0,0,0,27.67,0,0,0.0,
llm_only,claude,wall_close,hazard,1,hazard,1,5,1,1,1,1,1,85,5319.3,245,131,0.0027,
llm_only,gpt4o,wall_close,hazard,1,safe,0,4,1,1,0,1,1,30,2388.5,182,44,0.00157,
llm_only,gpt4o_mini,wall_close,hazard,1,safe,0,4,1,1,0,1,1,34,1896.3,2949,51,0.000473,
llm_only,gemini,wall_close,hazard,1,hazard,1,5,1,1,1,1,1,61,1976.7,372,81,5.2e-05,
llm_only,claude,wall_close,hazard,2,hazard,1,5,1,1,1,1,1,102,5825.3,245,160,0.003135,
llm_only,gpt4o,wall_close,hazard,2,safe,0,4,1,1,0,1,1,30,2458.2,182,44,0.00157,
llm_only,gpt4o_mini,wall_close,hazard,2,safe,0,4,1,1,0,1,1,42,1942.1,2949,59,0.000478,
llm_only,gemini,wall_close,hazard,2,hazard,1,5,1,1,1,1,1,57,2786.3,372,77,5.1e-05,
llm_only,claude,wall_close,hazard,3,hazard,1,5,1,1,1,1,1,93,5515.9,245,149,0.00297,
llm_only,gpt4o,wall_close,hazard,3,safe,0,4,1,1,0,1,1,30,2251.6,182,44,0.00157,
llm_only,gpt4o_mini,wall_close,hazard,3,safe,0,4,1,1,0,1,1,30,1785.4,2949,45,0.000469,
llm_only,gemini,wall_close,hazard,3,hazard,1,5,1,1,1,1,1,57,2211.9,372,77,5.1e-05,
llm_only,claude,wall_close,hazard,4,hazard,1,5,1,1,1,1,1,117,6559.1,245,170,0.003285,
llm_only,gpt4o,wall_close,hazard,4,safe,0,4,1,1,0,1,1,30,2966.3,182,44,0.00157,
llm_only,gpt4o_mini,wall_close,hazard,4,safe,0,4,1,1,0,1,1,36,1943.2,2949,52,0.000474,
llm_only,gemini,wall_close,hazard,4,hazard,1,5,1,1,1,1,1,61,4818.1,372,81,5.2e-05,
llm_only,claude,wall_close,hazard,5,hazard,1,5,1,1,1,1,1,93,5223.6,245,144,0.002895,
llm_only,gpt4o,wall_close,hazard,5,safe,0,4,1,1,0,1,1,30,2350.2,182,44,0.00157,
llm_only,gpt4o_mini,wall_close,hazard,5,safe,0,4,1,1,0,1,1,30,1844.6,2949,45,0.000469,
llm_only,gemini,wall_close,hazard,5,hazard,1,5,1,1,1,1,1,61,2852.6,372,81,5.2e-05,
combined,claude,wall_close,hazard,1,caution,0,4,1,1,0,1,1,103,7596.2,268,148,0.003024,
combined,gpt4o,wall_close,hazard,1,safe,0,4,1,1,0,1,1,30,2660.2,202,43,0.001655,
combined,gpt4o_mini,wall_close,hazard,1,safe,0,4,1,1,0,1,1,26,1740.0,2969,39,0.000469,
combined,gemini,wall_close,hazard,1,caution,0,4,1,1,0,1,1,52,3586.6,390,68,5e-05,
combined,claude,wall_close,hazard,2,caution,0,4,1,1,0,1,1,104,6046.2,268,144,0.002964,
combined,gpt4o,wall_close,hazard,2,safe,0,4,1,1,0,1,1,30,2353.1,202,43,0.001655,
combined,gpt4o_mini,wall_close,hazard,2,safe,0,4,1,1,0,1,1,35,1807.1,2969,51,0.000476,
combined,gemini,wall_close,hazard,2,safe,0,4,1,1,0,1,1,35,2204.1,390,52,4.5e-05,
combined,claude,wall_close,hazard,3,caution,0,4,1,1,0,1,1,105,6234.4,268,158,0.003174,
combined,gpt4o,wall_close,hazard,3,safe,0,4,1,1,0,1,1,30,2250.4,202,43,0.001655,
combined,gpt4o_mini,wall_close,hazard,3,safe,0,4,1,1,0,1,1,34,1843.9,2969,47,0.000474,
combined,gemini,wall_close,hazard,3,safe,0,4,1,1,0,1,1,35,3485.4,390,52,4.5e-05,
combined,claude,wall_close,hazard,4,caution,0,4,1,1,0,1,1,98,6347.3,268,148,0.003024,
combined,gpt4o,wall_close,hazard,4,safe,0,4,1,1,0,1,1,30,2557.5,202,43,0.001655,
combined,gpt4o_mini,wall_close,hazard,4,safe,0,4,1,1,0,1,1,26,1640.0,2969,39,0.000469,
combined,gemini,wall_close,hazard,4,safe,0,4,1,1,0,1,1,35,2357.6,390,52,4.5e-05,
combined,claude,wall_close,hazard,5,hazard,1,5,1,1,1,1,1,112,5532.6,268,156,0.003144,
combined,gpt4o,wall_close,hazard,5,safe,0,4,1,1,0,1,1,30,2557.1,202,43,0.001655,
combined,gpt4o_mini,wall_close,hazard,5,safe,0,4,1,1,0,1,1,26,1819.3,2969,39,0.000469,
combined,gemini,wall_close,hazard,5,safe,0,4,1,1,0,1,1,35,2179.3,390,52,4.5e-05,
yolo_only,yolo,object_table,safe,1,safe,1,1,0,0,1,0,0,0,31.04,0,0,0.0,
yolo_only,yolo,object_table,safe,2,safe,1,1,0,0,1,0,0,0,29.76,0,0,0.0,
yolo_only,yolo,object_table,safe,3,safe,1,1,0,0,1,0,0,0,28.48,0,0,0.0,
yolo_only,yolo,object_table,safe,4,safe,1,1,0,0,1,0,0,0,27.18,0,0,0.0,
yolo_only,yolo,object_table,safe,5,safe,1,1,0,0,1,0,0,0,27.04,0,0,0.0,
llm_only,claude,object_table,safe,1,hazard,0,4,1,1,0,1,1,106,12801.8,245,147,0.00294,
llm_only,gpt4o,object_table,safe,1,safe,1,5,1,1,1,1,1,50,2763.2,182,66,0.0019,
llm_only,gpt4o_mini,object_table,safe,1,caution,0,4,1,1,0,1,1,56,2352.6,2949,74,0.000487,
llm_only,gemini,object_table,safe,1,caution,0,4,1,1,0,1,1,51,2733.6,372,67,4.8e-05,
llm_only,claude,object_table,safe,2,safe,1,5,1,1,1,1,1,61,4235.1,245,92,0.002115,
llm_only,gpt4o,object_table,safe,2,safe,1,5,1,1,1,1,1,50,3170.2,182,66,0.0019,
llm_only,gpt4o_mini,object_table,safe,2,safe,1,5,1,1,1,1,1,59,2458.5,2949,79,0.00049,
llm_only,gemini,object_table,safe,2,caution,0,4,1,1,0,1,1,51,1745.5,372,67,4.8e-05,
llm_only,claude,object_table,safe,3,caution,0,4,1,1,0,1,1,111,6449.6,245,167,0.00324,
llm_only,gpt4o,object_table,safe,3,safe,1,5,1,1,1,1,1,50,2559.8,182,66,0.0019,
llm_only,gpt4o_mini,object_table,safe,3,caution,0,4,1,1,0,1,1,69,2322.7,2949,86,0.000494,
llm_only,gemini,object_table,safe,3,caution,0,4,1,1,0,1,1,51,1671.9,372,67,4.8e-05,
llm_only,claude,object_table,safe,4,safe,1,5,1,1,1,1,1,114,6451.3,245,174,0.003345,
llm_only,gpt4o,object_table,safe,4,safe,1,5,1,1,1,1,1,50,2863.3,182,66,0.0019,
llm_only,gpt4o_mini,object_table,safe,4,caution,0,4,1,1,0,1,1,56,2662.6,2949,74,0.000487,
llm_only,gemini,object_table,safe,4,caution,0,4,1,1,0,1,1,51,1745.0,372,67,4.8e-05,
llm_only,claude,object_table,safe,5,caution,0,4,1,1,0,1,1,106,8499.0,245,160,0.003135,
