condition,model,n_trials,label_acc,acc_lo,acc_hi,action_safe,safe_lo,safe_hi,n_dangerous,total_ms
tier1_5_only,rule_based,40,0.5,0.352,0.648,1.0,0.9124,1.0,0,14.8
tier2_only,rule_based,40,0.5,0.352,0.648,0.875,0.7389,0.9454,5,275.1
tier3_only,claude,40,0.675,0.5202,0.7992,1.0,0.9124,1.0,0,5078.5
tier3_only,gpt4o,40,0.9,0.7695,0.9604,1.0,0.9124,1.0,0,2239.1
tier3_only,gpt4o_mini,40,0.525,0.375,0.6706,0.875,0.7389,0.9454,5,5540.9
tier3_only,gemini,40,0.625,0.4703,0.7578,1.0,0.9124,1.0,0,1961.0
tier1_5_tier2_tier3,claude,39,0.4615,0.3157,0.6143,0.9744,0.8682,0.9955,1,8031.6
tier1_5_tier2_tier3,gpt4o,40,0.575,0.4219,0.7149,0.95,0.835,0.9862,2,2923.5
tier1_5_tier2_tier3,gpt4o_mini,40,0.7,0.5457,0.8193,0.975,0.8712,0.9956,1,8114.5
tier1_5_tier2_tier3,gemini,40,0.5,0.352,0.648,1.0,0.9124,1.0,0,2570.4
