strategy,model,seq,llm_calls,scheduled_calls,yolo_calls,cost_usd,hazard_caught,catch_frame,frames_late
scheduled,claude,1,2,2,0,0.00984,1,6,3
scheduled,claude,2,2,2,0,0.009849,1,6,3
scheduled,claude,3,2,2,0,0.009717,1,6,3
scheduled,claude,4,2,2,0,0.010281,1,6,3
scheduled,claude,5,2,2,0,0.01023,1,6,3
scheduled,gpt4o,1,2,2,0,0.00959,1,6,3
scheduled,gpt4o,2,2,2,0,0.009675,1,6,3
scheduled,gpt4o,3,2,2,0,0.00974,1,6,3
scheduled,gpt4o,4,2,2,0,0.009455,1,6,3
scheduled,gpt4o,5,2,2,0,0.00995,1,6,3
scheduled,gpt4o_mini,1,2,2,0,0.001174,0,-1,-1
scheduled,gpt4o_mini,2,2,2,0,0.00119,1,6,3
scheduled,gpt4o_mini,3,2,2,0,0.001164,0,-1,-1
scheduled,gpt4o_mini,4,2,2,0,0.001185,1,6,3
scheduled,gpt4o_mini,5,2,2,0,0.001172,0,-1,-1
scheduled,gemini,1,2,2,0,0.00019,1,6,3
scheduled,gemini,2,2,2,0,0.00021,1,6,3
scheduled,gemini,3,2,2,0,0.000195,1,6,3
scheduled,gemini,4,2,2,0,0.000193,1,6,3
scheduled,gemini,5,2,2,0,0.00019,1,6,3
hybrid,claude,1,3,2,1,0.015069,1,3,0
hybrid,claude,2,3,2,1,0.015162,1,3,0
hybrid,claude,3,3,2,1,0.014601,1,3,0
hybrid,claude,4,3,2,1,0.01512,1,3,0
hybrid,claude,5,3,2,1,0.015114,1,3,0
hybrid,gpt4o,1,3,2,1,0.01452,1,3,0
hybrid,gpt4o,2,3,2,1,0.014795,1,3,0
hybrid,gpt4o,3,3,2,1,0.01464,1,3,0
hybrid,gpt4o,4,3,2,1,0.01443,1,3,0
hybrid,gpt4o,5,3,2,1,0.014505,1,3,0
hybrid,gpt4o_mini,1,4,2,2,0.00235,0,-1,-1
hybrid,gpt4o_mini,2,3,2,1,0.001782,1,6,3
hybrid,gpt4o_mini,3,3,2,1,0.001783,1,3,0
hybrid,gpt4o_mini,4,3,2,1,0.001783,1,3,0
hybrid,gpt4o_mini,5,4,2,2,0.002341,0,-1,-1
hybrid,gemini,1,3,2,1,0.000284,1,3,0
hybrid,gemini,2,3,2,1,0.000315,1,3,0
hybrid,gemini,3,3,2,1,0.000288,1,3,0
hybrid,gemini,4,3,2,1,0.000291,1,3,0
hybrid,gemini,5,3,2,1,0.000284,1,3,0
