strategy,model,seq,llm_calls,scheduled_calls,local_calls,cost_usd,hazard_caught,catch_frame,frames_late
scheduled,claude,1,2,2,0,0.011709,1,6,3
scheduled,claude,2,2,2,0,0.011673,1,6,3
scheduled,claude,3,2,2,0,0.012333,1,6,3
scheduled,claude,4,2,2,0,0.014103,1,6,3
scheduled,claude,5,2,2,0,0.012954,1,6,3
scheduled,gpt4o,1,2,2,0,0.010515,1,6,3
scheduled,gpt4o,2,2,2,0,0.01054,1,6,3
scheduled,gpt4o,3,2,2,0,0.01045,1,6,3
scheduled,gpt4o,4,2,2,0,0.01051,1,6,3
scheduled,gpt4o,5,2,2,0,0.010485,1,6,3
scheduled,gpt4o_mini,1,2,2,0,0.001185,1,6,3
scheduled,gpt4o_mini,2,2,2,0,0.001182,1,6,3
scheduled,gpt4o_mini,3,2,2,0,0.001178,1,6,3
scheduled,gpt4o_mini,4,2,2,0,0.001191,1,6,3
scheduled,gpt4o_mini,5,2,2,0,0.001199,1,6,3
scheduled,gemini,1,2,2,0,0.000224,1,6,3
scheduled,gemini,2,2,2,0,0.000246,1,6,3
scheduled,gemini,3,2,2,0,0.000243,1,6,3
scheduled,gemini,4,2,2,0,0.000243,1,6,3
scheduled,gemini,5,2,2,0,0.000236,1,6,3
hybrid,claude,1,3,2,1,0.01668,1,3,0
hybrid,claude,2,3,2,1,0.019305,1,3,0
hybrid,claude,3,3,2,1,0.017523,1,3,0
hybrid,claude,4,3,2,1,0.019764,1,3,0
hybrid,claude,5,3,2,1,0.01671,1,3,0
hybrid,gpt4o,1,3,2,1,0.01561,1,3,0
hybrid,gpt4o,2,3,2,1,0.015565,1,3,0
hybrid,gpt4o,3,3,2,1,0.015735,1,3,0
hybrid,gpt4o,4,3,2,1,0.01586,1,3,0
hybrid,gpt4o,5,3,2,1,0.01579,1,3,0
hybrid,gpt4o_mini,1,3,2,1,0.001815,1,3,0
hybrid,gpt4o_mini,2,3,2,1,0.00179,1,3,0
hybrid,gpt4o_mini,3,3,2,1,0.001789,1,3,0
hybrid,gpt4o_mini,4,3,2,1,0.001795,1,3,0
hybrid,gpt4o_mini,5,3,2,1,0.001795,1,3,0
hybrid,gemini,1,3,2,1,0.000343,1,3,0
hybrid,gemini,2,3,2,1,0.00036,1,3,0
hybrid,gemini,3,3,2,1,0.000358,1,3,0
hybrid,gemini,4,3,2,1,0.000368,1,3,0
hybrid,gemini,5,3,2,1,0.000343,1,3,0
