scene_id,scene_label,truth,model,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,1,5,1,1,1,1,1,hazard,STOP,91,5535.8,331,135,0.003018,
1,person_near,hazard,gpt4o,1,4,1,1,0,1,1,caution,HOLD,46,4589.8,258,60,0.00219,
1,person_near,hazard,gpt4o_mini,1,4,1,1,0,1,1,caution,SLOW_DOWN,49,2985.1,3025,68,0.000495,
1,person_near,hazard,gemini,1,5,1,1,1,1,1,hazard,STOP,45,3195.9,459,61,5.3e-05,
1,person_near,hazard,claude,2,4,1,1,0,1,1,caution,SLOW_DOWN,114,6456.7,297,170,0.003441,
1,person_near,hazard,gpt4o,2,4,1,1,0,1,1,safe,PROCEED,45,2781.4,226,60,0.00203,
1,person_near,hazard,gpt4o_mini,2,4,1,1,0,1,1,safe,PROCEED,48,2757.4,2993,65,0.000488,
1,person_near,hazard,gemini,2,4,1,1,0,1,1,safe,PROCEED,63,3679.0,415,81,5.5e-05,
1,person_near,hazard,claude,3,5,1,1,1,1,1,hazard,STOP,104,5899.7,331,158,0.003363,
1,person_near,hazard,gpt4o,3,4,1,1,0,1,1,caution,HOLD,37,2567.1,258,52,0.00207,
1,person_near,hazard,gpt4o_mini,3,4,1,1,0,1,1,caution,SLOW_DOWN,45,2480.6,3025,62,0.000491,
1,person_near,hazard,gemini,3,5,1,1,1,1,1,hazard,STOP,52,3009.9,457,68,5.5e-05,
1,person_near,hazard,claude,4,5,1,1,1,1,1,hazard,STOP,99,6142.4,331,143,0.003138,
1,person_near,hazard,gpt4o,4,4,1,1,0,1,1,caution,HOLD,40,2550.0,258,55,0.002115,
1,person_near,hazard,gpt4o_mini,4,4,1,1,0,1,1,caution,SLOW_DOWN,52,2667.7,3025,69,0.000495,
1,person_near,hazard,gemini,4,5,1,1,1,1,1,hazard,STOP,55,3377.1,458,72,5.6e-05,
1,person_near,hazard,claude,5,5,1,1,1,1,1,hazard,STOP,121,6754.2,331,179,0.003678,
1,person_near,hazard,gpt4o,5,4,1,1,0,1,1,caution,HOLD,37,2867.4,258,52,0.00207,
1,person_near,hazard,gpt4o_mini,5,4,1,1,0,1,1,caution,SLOW_DOWN,51,3179.8,3025,68,0.000495,
1,person_near,hazard,gemini,5,5,1,1,1,1,1,hazard,STOP,41,2352.3,457,56,5.1e-05,
3,object_table,safe,claude,1,4,1,1,0,1,1,caution,SLOW_DOWN,110,7382.5,297,175,0.003516,
3,object_table,safe,gpt4o,1,5,1,1,1,1,1,safe,PROCEED,49,3581.2,226,65,0.002105,
3,object_table,safe,gpt4o_mini,1,5,1,1,1,1,1,safe,PROCEED,57,3379.0,2993,75,0.000494,
3,object_table,safe,gemini,1,4,1,1,0,1,1,caution,SLOW_DOWN,50,4000.7,415,70,5.2e-05,
3,object_table,safe,claude,2,4,1,1,0,1,1,caution,SLOW_DOWN,100,5845.4,297,151,0.003156,
3,object_table,safe,gpt4o,2,5,1,1,1,1,1,safe,PROCEED,40,2878.0,226,55,0.001955,
3,object_table,safe,gpt4o_mini,2,5,1,1,1,1,1,safe,PROCEED,50,2958.7,2993,70,0.000491,
3,object_table,safe,gemini,2,5,1,1,1,1,1,safe,PROCEED,48,2766.6,415,64,5e-05,
3,object_table,safe,claude,3,4,1,1,0,1,1,caution,SLOW_DOWN,109,6546.1,331,158,0.003363,
3,object_table,safe,gpt4o,3,5,1,1,1,1,1,safe,PROCEED,45,3181.0,258,61,0.002205,
3,object_table,safe,gpt4o_mini,3,4,1,1,0,1,1,caution,SLOW_DOWN,43,2856.2,3025,59,0.000489,
3,object_table,safe,gemini,3,5,1,1,1,1,1,safe,PROCEED,44,2563.5,458,60,5.2e-05,
3,object_table,safe,claude,4,4,1,1,0,1,1,hazard,STOP,130,7286.3,331,199,0.003978,
3,object_table,safe,gpt4o,4,5,1,1,1,1,1,safe,PROCEED,42,2951.4,258,58,0.00216,
3,object_table,safe,gpt4o_mini,4,5,1,1,1,1,1,safe,PROCEED,46,2867.2,3025,64,0.000492,
3,object_table,safe,gemini,4,4,1,1,0,1,1,caution,SLOW_DOWN,62,3485.1,455,87,6e-05,
3,object_table,safe,claude,5,4,1,1,0,1,1,caution,SLOW_DOWN,123,7061.5,331,195,0.003918,
3,object_table,safe,gpt4o,5,5,1,1,1,1,1,safe,PROCEED,34,2865.4,258,49,0.002025,
3,object_table,safe,gpt4o_mini,5,4,1,1,0,1,1,caution,SLOW_DOWN,45,2638.9,3025,61,0.00049,
3,object_table,safe,gemini,5,4,1,1,0,1,1,caution,SLOW_DOWN,52,3928.7,454,74,5.6e-05,
4,dim_light,caution,claude,1,4,1,1,0,1,1,hazard,SLOW_DOWN,127,6957.7,331,182,0.003723,
4,dim_light,caution,gpt4o,1,4,1,1,0,1,1,safe,PROCEED,54,3479.9,258,70,0.00234,
4,dim_light,caution,gpt4o_mini,1,5,1,1,1,1,1,caution,SLOW_DOWN,43,2516.7,3025,59,0.000489,
4,dim_light,caution,gemini,1,4,1,1,0,1,1,safe,PROCEED,43,2794.2,457,59,5.2e-05,
