scene_id,scene_label,truth,model,condition,run,quality_score,s3_risk,detected_risk,word_count,latency_ms,call2_latency_ms,input_tokens,call2_tokens,output_tokens,cost_usd,error
2,wall_close,hazard,claude,react_agentic,1,3,0,,49,10963.0,3580.9,504,317,299,0.005997,
2,wall_close,hazard,gpt4o,react_agentic,1,4,0,caution,83,9219.2,3470.2,443,306,300,0.006715,
2,wall_close,hazard,gpt4o_mini,react_agentic,1,5,1,hazard,46,5421.1,1942.3,3210,306,270,0.000644,
2,wall_close,hazard,gemini,react_agentic,1,2,1,hazard,6,5739.8,1533.3,633,308,209,0.00011,
2,wall_close,hazard,claude,react_agentic,2,3,0,,66,15511.1,5025.3,471,284,300,0.005913,
2,wall_close,hazard,gpt4o,react_agentic,2,1,0,safe,8,4905.1,1944.7,300,163,106,0.00309,
2,wall_close,hazard,gpt4o_mini,react_agentic,2,1,0,safe,8,3959.9,1400.1,3073,169,112,0.000528,
2,wall_close,hazard,gemini,react_agentic,2,2,1,hazard,6,5363.4,1329.8,593,268,209,0.000107,
2,wall_close,hazard,claude,react_agentic,3,5,1,hazard,62,12455.1,4500.9,470,283,299,0.005895,
2,wall_close,hazard,gpt4o,react_agentic,3,1,0,safe,6,5632.9,2562.4,293,156,96,0.002905,
2,wall_close,hazard,gpt4o_mini,react_agentic,3,1,0,safe,8,4294.0,1421.9,3057,153,96,0.000516,
2,wall_close,hazard,gemini,react_agentic,3,2,1,hazard,6,4612.1,1223.4,530,205,146,8.3e-05,
2,wall_close,hazard,claude,react_agentic,4,3,0,,71,10489.4,3781.5,471,284,300,0.005913,
2,wall_close,hazard,gpt4o,react_agentic,4,4,1,hazard,33,5307.1,1950.6,287,150,124,0.003295,
2,wall_close,hazard,gpt4o_mini,react_agentic,4,1,0,safe,9,3683.6,1435.5,3049,145,90,0.000511,
2,wall_close,hazard,gemini,react_agentic,4,1,0,safe,6,5220.1,1225.4,593,268,210,0.000107,
2,wall_close,hazard,claude,react_agentic,5,4,0,safe,68,13086.2,5357.9,470,283,300,0.00591,
2,wall_close,hazard,gpt4o,react_agentic,5,1,0,safe,8,6191.9,3071.7,304,167,110,0.00317,
2,wall_close,hazard,gpt4o_mini,react_agentic,5,1,0,safe,8,4607.7,1843.8,3060,156,99,0.000518,
2,wall_close,hazard,gemini,react_agentic,5,1,0,safe,6,6460.1,1465.8,593,268,210,0.000107,
6,door_open,safe,claude,react_agentic,1,3,0,,68,11197.8,4448.9,471,284,300,0.005913,
6,door_open,safe,gpt4o,react_agentic,1,2,1,safe,6,4603.2,1737.8,292,155,95,0.002885,
6,door_open,safe,gpt4o_mini,react_agentic,1,2,1,safe,8,4407.4,1766.3,3059,155,98,0.000517,
6,door_open,safe,gemini,react_agentic,1,1,0,hazard,6,5322.4,1123.0,593,268,209,0.000107,
6,door_open,safe,claude,react_agentic,2,3,0,hazard,65,12067.1,4047.6,470,283,299,0.005895,
6,door_open,safe,gpt4o,react_agentic,2,4,0,hazard,67,6437.8,2140.1,410,273,300,0.00655,
6,door_open,safe,gpt4o_mini,react_agentic,2,2,1,safe,9,4870.9,1433.2,3178,274,221,0.00061,
6,door_open,safe,gemini,react_agentic,2,1,0,caution,6,6554.6,1739.3,593,268,212,0.000108,
6,door_open,safe,claude,react_agentic,3,3,0,,65,11588.4,4095.6,471,284,300,0.005913,
6,door_open,safe,gpt4o,react_agentic,3,4,1,safe,75,7782.8,2955.4,411,274,296,0.006495,
6,door_open,safe,gpt4o_mini,react_agentic,3,5,1,safe,50,6344.8,2561.9,3178,274,270,0.000639,
6,door_open,safe,gemini,react_agentic,3,2,0,,82,5737.1,2152.4,593,268,300,0.000134,
6,door_open,safe,claude,react_agentic,4,2,0,,59,11436.1,4036.2,470,283,300,0.00591,
6,door_open,safe,gpt4o,react_agentic,4,4,0,caution,82,8089.9,2954.7,411,274,300,0.006555,
6,door_open,safe,gpt4o_mini,react_agentic,4,2,1,safe,9,4708.5,1672.8,3178,274,220,0.000609,
6,door_open,safe,gemini,react_agentic,4,1,0,hazard,6,7749.5,1328.0,593,268,209,0.000107,
6,door_open,safe,claude,react_agentic,5,3,0,hazard,70,13139.2,5016.3,471,284,300,0.005913,
6,door_open,safe,gpt4o,react_agentic,5,4,0,caution,85,7575.5,2965.1,411,274,300,0.006555,
6,door_open,safe,gpt4o_mini,react_agentic,5,2,1,safe,8,5458.9,2031.8,3178,274,218,0.000608,
6,door_open,safe,gemini,react_agentic,5,1,0,hazard,6,4766.8,1370.4,593,268,210,0.000107,
8,blocked_lens,hazard,claude,react_agentic,1,4,1,hazard,65,11660.4,4406.1,471,284,300,0.005913,
8,blocked_lens,hazard,gpt4o,react_agentic,1,4,0,safe,46,7680.0,2862.7,411,274,261,0.00597,
8,blocked_lens,hazard,gpt4o_mini,react_agentic,1,1,0,safe,8,5087.1,1199.2,3178,274,219,0.000608,
8,blocked_lens,hazard,gemini,react_agentic,1,1,0,safe,6,5850.1,1418.2,593,268,210,0.000107,
8,blocked_lens,hazard,claude,react_agentic,2,2,0,,60,12554.9,4882.4,471,284,300,0.005913,
8,blocked_lens,hazard,gpt4o,react_agentic,2,3,1,hazard,52,7609.8,3130.7,322,185,177,0.004265,
8,blocked_lens,hazard,gpt4o_mini,react_agentic,2,2,1,hazard,8,4526.2,1351.5,3068,164,107,0.000525,
8,blocked_lens,hazard,gemini,react_agentic,2,2,1,hazard,6,7556.0,1227.5,478,153,94,6.4e-05,
8,blocked_lens,hazard,claude,react_agentic,3,3,1,hazard,55,10851.7,3474.8,471,284,300,0.005913,
8,blocked_lens,hazard,gpt4o,react_agentic,3,4,1,hazard,54,93696.9,3077.4,319,182,173,0.00419,
8,blocked_lens,hazard,gpt4o_mini,react_agentic,3,2,1,hazard,8,4195.4,1581.6,3073,169,115,0.00053,
8,blocked_lens,hazard,gemini,react_agentic,3,2,1,hazard,6,6152.9,1339.0,548,223,164,9e-05,
8,blocked_lens,hazard,claude,react_agentic,4,4,1,hazard,56,11586.5,4172.3,471,284,299,0.005898,
8,blocked_lens,hazard,gpt4o,react_agentic,4,5,1,hazard,63,6086.4,3000.9,312,175,179,0.004245,
8,blocked_lens,hazard,gpt4o_mini,react_agentic,4,1,0,safe,8,4570.0,1340.5,3055,151,98,0.000517,
