scene_id,scene_label,truth,model,technique,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,zero_shot,1,4,1,1,1,0,1,hazard,STOP,180,16105.6,225,318,0.005445,
1,person_near,hazard,gpt4o,zero_shot,1,4,1,1,0,1,1,safe,PROCEED,64,4512.2,169,82,0.002075,
1,person_near,hazard,gpt4o_mini,zero_shot,1,3,1,0,0,1,1,safe,PROCEED,46,3162.2,2936,58,0.000475,
1,person_near,hazard,gemini,zero_shot,1,3,1,1,0,0,1,caution,SLOW_DOWN,173,4200.4,366,214,9.2e-05,
1,person_near,hazard,claude,few_shot_3,1,4,1,1,1,0,1,hazard,STOP,165,8909.4,371,270,0.005163,
1,person_near,hazard,gpt4o,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,50,4003.4,301,67,0.00251,
1,person_near,hazard,gpt4o_mini,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,53,2447.1,3068,70,0.000502,
1,person_near,hazard,gemini,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,34,2252.0,506,49,5.3e-05,
1,person_near,hazard,claude,cot,1,4,1,1,1,0,1,hazard,STOP,184,10036.4,290,320,0.00567,
1,person_near,hazard,gpt4o,cot,1,4,1,1,0,1,1,caution,SLOW_DOWN,69,4553.7,230,94,0.00256,
1,person_near,hazard,gpt4o_mini,cot,1,4,1,1,0,1,1,caution,SLOW_DOWN,123,3251.0,2997,161,0.000546,
1,person_near,hazard,gemini,cot,1,4,1,1,1,0,1,hazard,SLOW_DOWN,207,2952.9,431,276,0.000115,
1,person_near,hazard,claude,structured,1,5,1,1,1,1,1,hazard,STOP,59,6033.9,315,146,0.003135,
1,person_near,hazard,gpt4o,structured,1,4,1,1,0,1,1,safe,PROCEED,31,2863.3,244,77,0.002375,
1,person_near,hazard,gpt4o_mini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,28,3173.7,3011,73,0.000495,
1,person_near,hazard,gemini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,35,2264.4,451,95,6.2e-05,
1,person_near,hazard,claude,react,1,3,1,1,1,0,0,hazard,,169,10750.4,295,320,0.005685,
1,person_near,hazard,gpt4o,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,106,3683.8,232,140,0.00326,
1,person_near,hazard,gpt4o_mini,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,129,3481.3,2999,165,0.000549,
1,person_near,hazard,gemini,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,98,2565.8,432,135,7.3e-05,
1,person_near,hazard,claude,zero_shot,2,4,1,1,1,0,1,hazard,STOP,174,8938.7,225,280,0.004875,
1,person_near,hazard,gpt4o,zero_shot,2,4,1,1,0,1,1,safe,PROCEED,42,3261.0,169,53,0.00164,
1,person_near,hazard,gpt4o_mini,zero_shot,2,3,1,0,0,1,1,safe,PROCEED,45,2447.7,2936,58,0.000475,
1,person_near,hazard,gemini,zero_shot,2,5,1,1,1,1,1,hazard,STOP,90,3099.4,363,109,6e-05,
1,person_near,hazard,claude,few_shot_3,2,4,1,1,1,0,1,hazard,STOP,166,8191.0,371,232,0.004593,
1,person_near,hazard,gpt4o,few_shot_3,2,5,1,1,1,1,1,hazard,HOLD,44,2810.8,301,56,0.002345,
1,person_near,hazard,gpt4o_mini,few_shot_3,2,5,1,1,1,1,1,hazard,STOP,50,2611.4,3068,64,0.000499,
1,person_near,hazard,gemini,few_shot_3,2,5,1,1,1,1,1,hazard,STOP,25,1973.2,503,36,4.9e-05,
1,person_near,hazard,claude,cot,2,4,1,1,1,0,1,hazard,STOP,183,9606.2,290,320,0.00567,
1,person_near,hazard,gpt4o,cot,2,5,1,1,1,1,1,hazard,STOP,76,3741.0,230,98,0.00262,
1,person_near,hazard,gpt4o_mini,cot,2,4,1,1,0,1,1,caution,SLOW_DOWN,107,3933.5,2997,145,0.000537,
1,person_near,hazard,gemini,cot,2,5,1,1,1,1,1,hazard,STOP,129,2874.3,428,168,8.2e-05,
1,person_near,hazard,claude,structured,2,5,1,1,1,1,1,hazard,STOP,54,4093.9,315,126,0.002835,
1,person_near,hazard,gpt4o,structured,2,4,1,1,0,1,1,caution,HOLD,29,2860.8,244,74,0.00233,
1,person_near,hazard,gpt4o_mini,structured,2,4,1,1,0,1,1,caution,SLOW_DOWN,25,2967.4,3011,70,0.000494,
1,person_near,hazard,gemini,structured,2,5,1,1,1,1,1,hazard,LAND,32,2151.2,448,91,6.1e-05,
1,person_near,hazard,claude,react,2,4,1,1,1,0,1,hazard,STOP,172,9777.2,295,320,0.005685,
1,person_near,hazard,gpt4o,react,2,4,1,1,0,1,1,caution,HOLD,100,4473.1,232,124,0.00302,
1,person_near,hazard,gpt4o_mini,react,2,4,1,1,0,1,1,caution,SLOW_DOWN,106,3053.0,2999,136,0.000531,
1,person_near,hazard,gemini,react,2,5,1,1,1,1,1,hazard,STOP,103,3490.2,429,139,7.4e-05,
1,person_near,hazard,claude,zero_shot,3,4,1,1,1,0,1,hazard,STOP,181,9874.5,261,319,0.005568,
1,person_near,hazard,gpt4o,zero_shot,3,4,1,1,0,1,1,safe,PROCEED,51,3275.3,203,61,0.00193,
1,person_near,hazard,gpt4o_mini,zero_shot,3,4,1,1,0,1,1,safe,PROCEED,55,2347.7,2970,66,0.000485,
1,person_near,hazard,gemini,zero_shot,3,5,1,1,1,1,1,hazard,STOP,89,2945.3,408,116,6.5e-05,
1,person_near,hazard,claude,few_shot_3,3,4,1,1,1,0,1,hazard,STOP,169,8737.9,407,260,0.005121,
1,person_near,hazard,gpt4o,few_shot_3,3,4,1,1,0,1,1,caution,HOLD,52,4196.4,335,66,0.002665,
1,person_near,hazard,gpt4o_mini,few_shot_3,3,5,1,1,1,1,1,hazard,STOP,58,2862.7,3102,73,0.000509,
1,person_near,hazard,gemini,few_shot_3,3,5,1,1,1,1,1,hazard,STOP,33,2098.3,548,47,5.5e-05,
1,person_near,hazard,claude,cot,3,4,1,1,1,0,1,hazard,STOP,179,9480.9,326,320,0.005778,
1,person_near,hazard,gpt4o,cot,3,4,1,1,0,1,1,caution,SLOW_DOWN,73,3448.4,264,101,0.002835,
1,person_near,hazard,gpt4o_mini,cot,3,4,1,1,0,1,1,caution,SLOW_DOWN,101,3193.7,3031,158,0.000549,
1,person_near,hazard,gemini,cot,3,5,1,1,1,1,1,hazard,STOP,139,2875.2,473,180,8.9e-05,
1,person_near,hazard,claude,structured,3,5,1,1,1,1,1,hazard,STOP,48,4079.6,351,123,0.002898,
1,person_near,hazard,gpt4o,structured,3,4,1,1,0,1,1,caution,SLOW_DOWN,34,4209.0,278,80,0.00259,
1,person_near,hazard,gpt4o_mini,structured,3,4,1,1,0,1,1,caution,SLOW_DOWN,36,2966.7,3045,89,0.00051,
1,person_near,hazard,gemini,structured,3,5,1,1,1,1,1,hazard,STOP,49,2153.8,493,104,6.8e-05,
1,person_near,hazard,claude,react,3,4,1,1,1,0,1,hazard,STOP,180,9931.6,331,320,0.005793,
1,person_near,hazard,gpt4o,react,3,4,1,1,0,1,1,caution,SLOW_DOWN,114,5089.8,266,138,0.0034,
1,person_near,hazard,gpt4o_mini,react,3,4,1,1,0,1,1,caution,SLOW_DOWN,121,3508.8,3033,163,0.000553,
1,person_near,hazard,gemini,react,3,5,1,1,1,1,1,hazard,STOP,125,2769.7,474,165,8.5e-05,
1,person_near,hazard,claude,zero_shot,4,4,1,1,1,0,1,hazard,STOP,206,9490.2,225,320,0.005475,
1,person_near,hazard,gpt4o,zero_shot,4,4,1,1,0,1,1,safe,PROCEED,57,2813.0,169,74,0.001955,
1,person_near,hazard,gpt4o_mini,zero_shot,4,4,1,1,0,1,1,safe,PROCEED,47,2529.0,2936,59,0.000476,
1,person_near,hazard,gemini,zero_shot,4,5,1,1,1,1,1,hazard,STOP,103,2812.9,365,124,6.5e-05,
1,person_near,hazard,claude,few_shot_3,4,4,1,1,1,0,1,hazard,STOP,157,9694.9,371,291,0.005478,
1,person_near,hazard,gpt4o,few_shot_3,4,4,1,1,0,1,1,caution,SLOW_DOWN,43,3617.6,301,55,0.00233,
1,person_near,hazard,gpt4o_mini,few_shot_3,4,4,1,1,0,1,1,caution,SLOW_DOWN,49,3353.7,3068,63,0.000498,
1,person_near,hazard,gemini,few_shot_3,4,4,1,1,0,1,1,caution,SLOW_DOWN,57,2082.8,505,74,6e-05,
1,person_near,hazard,claude,cot,4,4,1,1,1,0,1,hazard,STOP,186,9408.6,290,320,0.00567,
1,person_near,hazard,gpt4o,cot,4,4,1,1,0,1,1,caution,SLOW_DOWN,79,3695.0,230,104,0.00271,
1,person_near,hazard,gpt4o_mini,cot,4,4,1,1,0,1,1,caution,SLOW_DOWN,111,3675.7,2997,147,0.000538,
