model,technique,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,latency_ms,cost_usd
all,zero_shot,160,0.6,0.5226,0.6727,4.1,3.9688,4.2188,4134.7925,0.0019
all,few_shot_3,160,0.6062,0.5289,0.6786,4.2438,4.125,4.3625,3840.6206,0.0022
all,cot,160,0.625,0.5479,0.6963,3.7125,3.5375,3.8875,5016.2937,0.0025
all,structured,160,0.6562,0.5798,0.7254,4.6562,4.5812,4.7313,3172.6531,0.0016
all,react,160,0.6125,0.5352,0.6845,3.875,3.7125,4.0312,4689.0688,0.0024
claude,zero_shot,40,0.425,0.2851,0.5781,3.375,3.175,3.55,8643.22,0.005
claude,few_shot_3,40,0.55,0.3983,0.6929,3.8,3.575,4.025,8322.0625,0.0053
claude,cot,40,0.425,0.2851,0.5781,2.5,2.325,2.7,8703.15,0.0056
claude,structured,40,0.5,0.352,0.648,4.5,4.35,4.65,4543.6575,0.0031
claude,react,40,0.35,0.2213,0.5049,2.525,2.35,2.7,8857.3175,0.0056
gpt4o,zero_shot,40,0.65,0.4951,0.7787,4.375,4.125,4.6,2546.3325,0.0019
gpt4o,few_shot_3,40,0.625,0.4703,0.7578,4.475,4.2994,4.675,2581.3275,0.0028
gpt4o,cot,40,0.75,0.5981,0.8581,4.75,4.625,4.875,3515.1075,0.0038
gpt4o,structured,40,0.625,0.4703,0.7578,4.625,4.4744,4.775,2684.845,0.0025
gpt4o,react,40,0.75,0.5981,0.8581,4.4,4.25,4.55,3324.8775,0.0035
gpt4o_mini,zero_shot,40,0.75,0.5981,0.8581,4.275,4.025,4.5006,2980.135,0.0005
gpt4o_mini,few_shot_3,40,0.625,0.4703,0.7578,4.5,4.275,4.7,2751.295,0.0005
gpt4o_mini,cot,40,0.75,0.5981,0.8581,4.325,4.1,4.525,4944.2225,0.0006
gpt4o_mini,structured,40,0.875,0.7389,0.9454,4.875,4.775,4.975,3364.9375,0.0005
gpt4o_mini,react,40,0.75,0.5981,0.8581,4.275,4.025,4.5,4035.9325,0.0005
gemini,zero_shot,40,0.575,0.4219,0.7149,4.375,4.225,4.55,2369.4825,0.0001
gemini,few_shot_3,40,0.625,0.4703,0.7578,4.2,4.0,4.4,1707.7975,0.0001
gemini,cot,40,0.575,0.4219,0.7149,3.275,3.0,3.55,2902.695,0.0001
gemini,structured,40,0.625,0.4703,0.7578,4.625,4.4744,4.775,2097.1725,0.0001
gemini,react,40,0.6,0.446,0.7365,4.3,4.125,4.475,2538.1475,0.0001
