scene_id,scene_label,truth,model,max_tokens,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,truncated,latency_ms,input_tokens,output_tokens,cost_usd,efficiency,error
1,person_near,hazard,claude,64,1,3,1,1,0,1,0,,50,1,4043.3,367,64,0.002061,1455.6,
1,person_near,hazard,claude,128,1,5,1,1,1,1,1,hazard,80,1,5468.1,367,128,0.003021,1655.08,
1,person_near,hazard,claude,256,1,5,1,1,1,1,1,hazard,130,0,6623.7,367,196,0.004041,1237.32,
1,person_near,hazard,claude,512,1,5,1,1,1,1,1,hazard,105,0,6139.7,367,163,0.003546,1410.04,
1,person_near,hazard,gpt4o,64,1,4,1,1,0,1,1,caution,39,1,3397.0,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o,128,1,4,1,1,0,1,1,caution,39,1,3461.7,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,256,1,4,1,1,0,1,1,caution,39,1,3892.4,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,512,1,4,1,1,0,1,1,caution,35,1,2871.0,292,50,0.00221,1809.95,
1,person_near,hazard,gpt4o_mini,64,1,3,1,1,0,1,0,,50,1,2872.9,3059,64,0.000497,6036.22,
1,person_near,hazard,gpt4o_mini,128,1,4,1,1,0,1,1,caution,55,1,2818.0,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,256,1,4,1,1,0,1,1,caution,55,1,2597.2,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,512,1,4,1,1,0,1,1,caution,56,1,2870.4,3059,76,0.000504,7936.51,
1,person_near,hazard,gemini,64,1,3,1,1,0,1,0,,54,1,3278.0,501,63,5.6e-05,53571.43,
1,person_near,hazard,gemini,128,1,5,1,1,1,1,1,hazard,70,1,3479.2,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,256,1,5,1,1,1,1,1,hazard,70,1,1945.2,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,512,1,5,1,1,1,1,1,hazard,70,1,1742.9,501,96,6.6e-05,75757.58,
1,person_near,hazard,claude,64,2,3,1,1,0,1,0,caution,50,1,4930.8,367,64,0.002061,1455.6,
1,person_near,hazard,claude,128,2,5,1,1,1,1,1,hazard,79,1,5351.7,367,128,0.003021,1655.08,
1,person_near,hazard,claude,256,2,5,1,1,1,1,1,hazard,96,0,5811.4,367,140,0.003201,1562.01,
1,person_near,hazard,claude,512,2,5,1,1,1,1,1,hazard,121,0,7376.4,367,184,0.003861,1295.0,
1,person_near,hazard,gpt4o,64,2,4,1,1,0,1,1,caution,39,1,3082.5,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,128,2,4,1,1,0,1,1,caution,43,1,2927.2,292,59,0.002345,1705.76,
1,person_near,hazard,gpt4o,256,2,4,1,1,0,1,1,caution,39,1,3404.4,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o,512,2,4,1,1,0,1,1,caution,35,1,2731.8,292,50,0.00221,1809.95,
1,person_near,hazard,gpt4o_mini,64,2,3,1,1,0,1,0,,50,0,2699.7,3059,64,0.000497,6036.22,
1,person_near,hazard,gpt4o_mini,128,2,4,1,1,0,1,1,caution,55,1,2669.8,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,256,2,4,1,1,0,1,1,caution,55,1,2557.4,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,512,2,4,1,1,0,1,1,caution,55,1,2960.8,3059,75,0.000504,7936.51,
1,person_near,hazard,gemini,64,2,3,1,1,0,1,0,,54,1,2151.9,501,63,5.6e-05,53571.43,
1,person_near,hazard,gemini,128,2,5,1,1,1,1,1,hazard,70,1,1864.9,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,256,2,5,1,1,1,1,1,hazard,70,1,1820.5,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,512,2,5,1,1,1,1,1,hazard,70,1,1841.1,501,96,6.6e-05,75757.58,
1,person_near,hazard,claude,64,3,3,1,1,0,1,0,,50,1,3812.9,367,64,0.002061,1455.6,
1,person_near,hazard,claude,128,3,5,1,1,1,1,1,hazard,84,1,5834.8,367,128,0.003021,1655.08,
1,person_near,hazard,claude,256,3,5,1,1,1,1,1,hazard,128,0,6688.0,367,206,0.004191,1193.03,
1,person_near,hazard,claude,512,3,5,1,1,1,1,1,hazard,127,0,7029.5,367,194,0.004011,1246.57,
1,person_near,hazard,gpt4o,64,3,4,1,1,0,1,1,caution,39,1,3220.5,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o,128,3,4,1,1,0,1,1,caution,35,1,3740.9,292,50,0.00221,1809.95,
1,person_near,hazard,gpt4o,256,3,4,1,1,0,1,1,caution,43,1,2921.8,292,59,0.002345,1705.76,
1,person_near,hazard,gpt4o,512,3,4,1,1,0,1,1,caution,39,1,3123.8,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o_mini,64,3,3,1,1,0,1,0,,50,1,2966.7,3059,64,0.000497,6036.22,
1,person_near,hazard,gpt4o_mini,128,3,4,1,1,0,1,1,caution,55,1,2571.4,3059,75,0.000504,7936.51,
