scene_id,scene_label,truth,model,max_tokens,run,local_ms,local_risk,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,truncated,latency_ms,input_tokens,output_tokens,cost_usd,efficiency,error
1,person_near,hazard,claude,64,1,15.6,hazard,3,1,1,0,1,0,,50,1,3713.9,1030,64,0.00405,740.74,
1,person_near,hazard,claude,128,1,15.6,hazard,4,1,1,1,1,0,hazard,92,0,5278.9,1030,128,0.00501,798.4,
1,person_near,hazard,claude,256,1,15.6,hazard,5,1,1,1,1,1,hazard,148,1,7375.0,1030,228,0.00651,768.05,
1,person_near,hazard,claude,512,1,15.6,hazard,4,1,1,0,1,1,safe,137,1,8166.8,1030,209,0.006225,642.57,
1,person_near,hazard,gpt4o,64,1,15.6,hazard,3,1,1,0,1,0,,51,1,3306.9,840,64,0.00516,581.4,
1,person_near,hazard,gpt4o,128,1,15.6,hazard,5,1,1,1,1,1,hazard,47,1,3472.6,840,63,0.005145,971.82,
1,person_near,hazard,gpt4o,256,1,15.6,hazard,5,1,1,1,1,1,hazard,59,1,2662.5,840,75,0.005325,938.97,
1,person_near,hazard,gpt4o,512,1,15.6,hazard,5,1,1,1,1,1,hazard,57,1,2572.2,840,73,0.005295,944.29,
1,person_near,hazard,gpt4o_mini,64,1,15.6,hazard,3,1,1,0,1,0,,49,1,2980.0,3607,64,0.000579,5181.35,
1,person_near,hazard,gpt4o_mini,128,1,15.6,hazard,5,1,1,1,1,1,hazard,75,1,3662.6,3607,106,0.000605,8264.46,
1,person_near,hazard,gpt4o_mini,256,1,15.6,hazard,5,1,1,1,1,1,hazard,75,1,3536.1,3607,107,0.000605,8264.46,
1,person_near,hazard,gpt4o_mini,512,1,15.6,hazard,5,1,1,1,1,1,hazard,75,1,3572.1,3607,107,0.000605,8264.46,
1,person_near,hazard,gemini,64,1,15.6,hazard,3,1,1,0,1,0,,54,0,6820.9,1075,64,0.0001,30000.0,
1,person_near,hazard,gemini,128,1,15.6,hazard,3,1,1,0,1,0,,92,0,2150.6,1075,128,0.000119,25210.08,
1,person_near,hazard,gemini,256,1,15.6,hazard,5,1,1,1,1,1,hazard,97,1,2214.1,1075,136,0.000121,41322.31,
1,person_near,hazard,gemini,512,1,15.6,hazard,5,1,1,1,1,1,hazard,97,1,2393.7,1075,136,0.000121,41322.31,
1,person_near,hazard,claude,64,2,15.6,hazard,3,1,1,0,1,0,,48,1,4010.8,1030,64,0.00405,740.74,
1,person_near,hazard,claude,128,2,15.6,hazard,3,1,1,0,1,0,safe,85,0,5017.8,1030,126,0.00498,602.41,
1,person_near,hazard,claude,256,2,15.6,hazard,0,0,0,0,0,0,,0,1,60592.6,0,0,0.0,0.0,The read operation timed out
1,person_near,hazard,claude,512,2,15.6,hazard,5,1,1,1,1,1,hazard,137,1,6987.1,1030,215,0.006315,791.77,
