scene_id,scene_label,truth,model,max_tokens,run,local_ms,local_risk,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,truncated,latency_ms,input_tokens,output_tokens,cost_usd,efficiency,error
1,person_near,hazard,claude,64,1,30.84,hazard,3,1,1,0,1,0,,48,1,4833.9,974,64,0.003882,772.8,
1,person_near,hazard,claude,128,1,30.84,hazard,5,1,1,1,1,1,hazard,83,1,5934.4,974,128,0.004842,1032.63,
1,person_near,hazard,claude,256,1,30.84,hazard,4,1,1,1,0,1,hazard,172,1,8293.2,974,256,0.006762,591.54,
1,person_near,hazard,claude,512,1,30.84,hazard,4,1,1,1,0,1,hazard,164,0,8396.9,974,271,0.006987,572.49,
1,person_near,hazard,gpt4o,64,1,30.84,hazard,3,1,1,0,1,0,,53,0,3508.1,789,64,0.004905,611.62,
1,person_near,hazard,gpt4o,128,1,30.84,hazard,5,1,1,1,1,1,hazard,59,1,3028.5,789,75,0.00507,986.19,
1,person_near,hazard,gpt4o,256,1,30.84,hazard,5,1,1,1,1,1,hazard,59,1,2469.7,789,75,0.00507,986.19,
1,person_near,hazard,gpt4o,512,1,30.84,hazard,5,1,1,1,1,1,hazard,59,1,3395.2,789,75,0.00507,986.19,
1,person_near,hazard,gpt4o_mini,64,1,30.84,hazard,3,1,1,0,1,0,,49,1,3772.9,3556,64,0.000572,5244.76,
1,person_near,hazard,gpt4o_mini,128,1,30.84,hazard,5,1,1,1,1,1,hazard,47,1,3891.6,3556,70,0.000575,8695.65,
1,person_near,hazard,gpt4o_mini,256,1,30.84,hazard,5,1,1,1,1,1,hazard,61,1,5222.3,3556,88,0.000586,8532.42,
1,person_near,hazard,gpt4o_mini,512,1,30.84,hazard,5,1,1,1,1,1,hazard,57,1,4198.2,3556,83,0.000583,8576.33,
1,person_near,hazard,gemini,64,1,30.84,hazard,3,1,1,0,1,0,,52,1,2972.3,1026,64,9.6e-05,31250.0,
1,person_near,hazard,gemini,128,1,30.84,hazard,5,1,1,1,1,1,hazard,89,1,2151.1,1026,124,0.000114,43859.65,
1,person_near,hazard,gemini,256,1,30.84,hazard,5,1,1,1,1,1,hazard,88,1,1661.4,1026,123,0.000114,43859.65,
1,person_near,hazard,gemini,512,1,30.84,hazard,5,1,1,1,1,1,hazard,89,1,2229.3,1026,124,0.000114,43859.65,
1,person_near,hazard,claude,64,2,30.84,hazard,3,1,1,0,1,0,,46,1,3672.6,974,64,0.003882,772.8,
1,person_near,hazard,claude,128,2,30.84,hazard,3,1,1,0,1,0,caution,86,0,5317.2,974,128,0.004842,619.58,
1,person_near,hazard,claude,256,2,30.84,hazard,5,1,1,1,1,1,hazard,108,1,6846.8,974,173,0.005517,906.29,
1,person_near,hazard,claude,512,2,30.84,hazard,5,1,1,1,1,1,hazard,116,1,7110.8,974,182,0.005652,884.64,
1,person_near,hazard,gpt4o,64,2,30.84,hazard,3,1,1,0,1,0,,53,0,2433.9,789,64,0.004905,611.62,
1,person_near,hazard,gpt4o,128,2,30.84,hazard,5,1,1,1,1,1,hazard,60,1,2683.4,789,80,0.005145,971.82,
1,person_near,hazard,gpt4o,256,2,30.84,hazard,5,1,1,1,1,1,hazard,59,1,2467.1,789,79,0.00513,974.66,
1,person_near,hazard,gpt4o,512,2,30.84,hazard,5,1,1,1,1,1,hazard,57,1,3399.4,789,78,0.005115,977.52,
1,person_near,hazard,gpt4o_mini,64,2,30.84,hazard,3,1,1,0,1,0,,50,1,3559.5,3556,64,0.000572,5244.76,
1,person_near,hazard,gpt4o_mini,128,2,30.84,hazard,5,1,1,1,1,1,hazard,75,1,5164.2,3556,106,0.000597,8375.21,
1,person_near,hazard,gpt4o_mini,256,2,30.84,hazard,5,1,1,1,1,1,hazard,62,1,4368.8,3556,90,0.000587,8517.89,
