model,max_tokens,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,word_count,truncation_rate,latency_ms,cost_usd,efficiency
all,64,160,0.2938,0.2287,0.3685,3.6875,3.5938,3.7875,45.2188,0.9,3258.3725,0.0011,19675.5387
all,128,160,0.4125,0.3391,0.49,4.4125,4.3375,4.4875,56.625,0.9938,3516.44,0.0014,23467.086
all,256,160,0.3937,0.3214,0.4711,4.3937,4.3187,4.4688,64.175,0.7937,3769.6356,0.0015,23507.0863
all,512,160,0.4125,0.3391,0.49,4.4125,4.3375,4.4938,64.1,0.8063,3790.1262,0.0015,23438.1613
claude,64,40,0.3,0.1807,0.4543,3.3,0,0,47.55,0.9,4259.27,0.0019,0
claude,128,40,0.5,0.352,0.648,4.5,0,0,84.275,0.975,5834.6375,0.0028,0
claude,256,40,0.425,0.2851,0.5781,4.425,0,0,115.625,0.175,6757.1425,0.0035,0
claude,512,40,0.475,0.3294,0.625,4.475,0,0,115.1,0.225,6859.8875,0.0035,0
gpt4o,64,40,0.4,0.2635,0.554,4.325,0,0,40.075,0.975,3387.2475,0.002,0
gpt4o,128,40,0.4,0.2635,0.554,4.4,0,0,40.55,1.0,3119.15,0.002,0
gpt4o,256,40,0.4,0.2635,0.554,4.4,0,0,40.175,1.0,3211.18,0.002,0
gpt4o,512,40,0.425,0.2851,0.5781,4.425,0,0,39.85,1.0,3083.6275,0.002,0
gpt4o_mini,64,40,0.35,0.2213,0.5049,3.75,0,0,45.875,0.9,2769.8075,0.0005,0
gpt4o_mini,128,40,0.375,0.2422,0.5297,4.375,0,0,48.55,1.0,2805.4875,0.0005,0
gpt4o_mini,256,40,0.375,0.2422,0.5297,4.375,0,0,48.35,1.0,2791.925,0.0005,0
gpt4o_mini,512,40,0.375,0.2422,0.5297,4.375,0,0,48.75,1.0,2752.8075,0.0005,0
gemini,64,40,0.125,0.0546,0.2611,3.375,0,0,47.375,0.825,2617.165,0.0001,0
gemini,128,40,0.375,0.2422,0.5297,4.375,0,0,53.125,1.0,2306.485,0.0001,0
gemini,256,40,0.375,0.2422,0.5297,4.375,0,0,52.55,1.0,2318.295,0.0001,0
gemini,512,40,0.375,0.2422,0.5297,4.375,0,0,52.7,1.0,2464.1825,0.0001,0
