model,max_tokens,n_trials,accuracy,acc_lo,acc_hi,quality,q_lo,q_hi,word_count,truncation_rate,latency_ms,cost_usd,efficiency
all,64,160,0.3563,0.2862,0.433,3.2812,3.1938,3.3687,48.3,0.7937,3171.1519,0.0023,10534.4767
all,128,160,0.5375,0.4603,0.613,4.2,4.0811,4.3187,74.0563,0.9563,3860.1438,0.0026,11936.8092
all,256,160,0.575,0.4975,0.649,4.475,4.3812,4.5625,89.175,0.9437,4408.5119,0.003,12329.6353
all,512,160,0.5687,0.4913,0.643,4.4688,4.3688,4.5687,90.5563,0.8812,4457.6406,0.003,12313.0424
claude,64,40,0.4,0.2635,0.554,3.2,0,0,45.7,0.75,4134.485,0.0038,0
claude,128,40,0.35,0.2213,0.5049,3.325,0,0,86.475,0.85,5536.8875,0.0048,0
claude,256,40,0.55,0.3983,0.6929,4.15,0,0,141.175,0.775,8026.565,0.0062,0
claude,512,40,0.475,0.3294,0.625,4.075,0,0,144.85,0.525,8166.7925,0.0063,0
gpt4o,64,40,0.4,0.2635,0.554,3.4,0,0,49.125,0.775,2747.0775,0.0048,0
gpt4o,128,40,0.6,0.446,0.7365,4.6,0,0,58.075,1.0,3241.34,0.0051,0
gpt4o,256,40,0.6,0.446,0.7365,4.6,0,0,57.9,1.0,3028.9075,0.0051,0
gpt4o,512,40,0.575,0.4219,0.7149,4.575,0,0,57.575,1.0,3005.0125,0.0051,0
gpt4o_mini,64,40,0.25,0.1419,0.4019,3.2,0,0,48.125,1.0,3433.0775,0.0006,0
gpt4o_mini,128,40,0.725,0.5716,0.8389,4.7,0,0,67.325,0.975,4436.2825,0.0006,0
gpt4o_mini,256,40,0.65,0.4951,0.7787,4.65,0,0,66.075,1.0,4291.225,0.0006,0
gpt4o_mini,512,40,0.725,0.5716,0.8389,4.725,0,0,66.475,1.0,4413.74,0.0006,0
gemini,64,40,0.375,0.2422,0.5297,3.325,0,0,50.25,0.65,2369.9675,0.0001,0
gemini,128,40,0.475,0.3294,0.625,4.175,0,0,84.35,1.0,2226.065,0.0001,0
gemini,256,40,0.5,0.352,0.648,4.5,0,0,91.55,1.0,2287.35,0.0001,0
gemini,512,40,0.5,0.352,0.648,4.5,0,0,93.325,1.0,2245.0175,0.0001,0
