history_mode,model,n_trials,risk_accuracy,acc_lo,acc_hi,change_detect,cd_lo,cd_hi,mean_input_tokens,latency_ms,cost_usd
stateless,claude,25,0.0,0.0,0.1332,0.5,0.2366,0.7634,258.0,4724.224,0.0019
stateless,gpt4o,25,0.56,0.3707,0.7333,0.8,0.4902,0.9433,167.52,3667.536,0.0022
stateless,gpt4o_mini,25,0.32,0.172,0.5159,0.7,0.3968,0.8922,2934.52,2963.928,0.0005
stateless,gemini,25,0.72,0.5242,0.8572,0.9,0.5958,0.9821,356.32,3538.748,0.0001
short,claude,25,0.4,0.234,0.5926,0.5,0.2366,0.7634,295.56,4692.552,0.002
short,gpt4o,25,0.6,0.4074,0.766,0.9,0.5958,0.9821,204.24,3544.096,0.0019
short,gpt4o_mini,25,0.32,0.172,0.5159,0.5,0.2366,0.7634,2970.0,2970.892,0.0005
short,gemini,25,0.6,0.4074,0.766,0.6,0.3127,0.8318,393.44,2304.268,0.0001
full,claude,25,0.4,0.234,0.5926,0.5,0.2366,0.7634,309.76,5038.18,0.0021
full,gpt4o,25,0.72,0.5242,0.8572,0.9,0.5958,0.9821,218.8,3682.908,0.0021
full,gpt4o_mini,25,0.24,0.115,0.4343,0.5,0.2366,0.7634,2984.44,3084.14,0.0005
full,gemini,25,0.68,0.4841,0.828,0.7,0.3968,0.8922,406.76,2484.592,0.0001
