scene_id,scene_label,truth,model,temperature,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,0.0,1,5,1,1,1,1,1,hazard,114,7035.6,367,167,0.003606,
1,person_near,hazard,claude,0.2,1,5,1,1,1,1,1,hazard,104,6143.0,367,151,0.003366,
1,person_near,hazard,claude,0.5,1,5,1,1,1,1,1,hazard,132,8649.7,367,194,0.004011,
1,person_near,hazard,claude,0.8,1,5,1,1,1,1,1,hazard,107,6533.5,367,167,0.003606,
1,person_near,hazard,claude,1.0,1,5,1,1,1,1,1,hazard,99,5603.4,367,145,0.003276,
1,person_near,hazard,gpt4o,0.0,1,4,1,1,0,1,1,caution,43,5861.0,292,57,0.002315,
1,person_near,hazard,gpt4o,0.2,1,4,1,1,0,1,1,caution,43,3764.6,292,59,0.002345,
1,person_near,hazard,gpt4o,0.5,1,4,1,1,0,1,1,caution,49,3480.5,292,70,0.00251,
1,person_near,hazard,gpt4o,0.8,1,4,1,1,0,1,1,caution,33,2882.9,292,48,0.00218,
1,person_near,hazard,gpt4o,1.0,1,4,1,1,0,1,1,caution,43,3465.8,292,64,0.00242,
1,person_near,hazard,gpt4o_mini,0.0,1,4,1,1,0,1,1,caution,55,3277.0,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.2,1,4,1,1,0,1,1,caution,55,2866.5,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.5,1,4,1,1,0,1,1,caution,55,2665.0,3059,77,0.000505,
1,person_near,hazard,gpt4o_mini,0.8,1,4,1,1,0,1,1,caution,57,2690.8,3059,77,0.000505,
1,person_near,hazard,gpt4o_mini,1.0,1,4,1,1,0,1,1,caution,44,3246.4,3059,65,0.000498,
1,person_near,hazard,gemini,0.0,1,5,1,1,1,1,1,hazard,70,4432.6,501,96,6.6e-05,
1,person_near,hazard,gemini,0.2,1,5,1,1,1,1,1,hazard,72,2947.4,501,96,6.6e-05,
1,person_near,hazard,gemini,0.5,1,5,1,1,1,1,1,hazard,57,2102.1,501,83,6.2e-05,
1,person_near,hazard,gemini,0.8,1,5,1,1,1,1,1,hazard,51,1725.7,501,76,6e-05,
1,person_near,hazard,gemini,1.0,1,5,1,1,1,1,1,hazard,67,1755.1,501,90,6.5e-05,
1,person_near,hazard,claude,0.0,2,5,1,1,1,1,1,hazard,106,8846.2,367,157,0.003456,
1,person_near,hazard,claude,0.2,2,5,1,1,1,1,1,hazard,115,6042.4,367,169,0.003636,
1,person_near,hazard,claude,0.5,2,5,1,1,1,1,1,hazard,120,8293.7,367,183,0.003846,
1,person_near,hazard,claude,0.8,2,5,1,1,1,1,1,hazard,115,7273.5,367,177,0.003756,
1,person_near,hazard,claude,1.0,2,5,1,1,1,1,1,hazard,122,6860.3,367,194,0.004011,
1,person_near,hazard,gpt4o,0.0,2,4,1,1,0,1,1,caution,43,3868.5,292,57,0.002315,
1,person_near,hazard,gpt4o,0.2,2,4,1,1,0,1,1,caution,39,3192.2,292,55,0.002285,
1,person_near,hazard,gpt4o,0.5,2,4,1,1,0,1,1,caution,40,3181.5,292,53,0.002255,
1,person_near,hazard,gpt4o,0.8,2,4,1,1,0,1,1,caution,46,3544.4,292,66,0.00245,
1,person_near,hazard,gpt4o,1.0,2,4,1,1,0,1,1,caution,50,3517.0,292,64,0.00242,
1,person_near,hazard,gpt4o_mini,0.0,2,4,1,1,0,1,1,caution,55,2829.6,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.2,2,4,1,1,0,1,1,caution,56,2267.3,3059,77,0.000505,
1,person_near,hazard,gpt4o_mini,0.5,2,4,1,1,0,1,1,caution,54,2412.8,3059,74,0.000503,
1,person_near,hazard,gpt4o_mini,0.8,2,4,1,1,0,1,1,caution,59,2458.1,3059,80,0.000507,
1,person_near,hazard,gpt4o_mini,1.0,2,4,1,1,0,1,1,caution,55,2417.4,3059,76,0.000504,
1,person_near,hazard,gemini,0.0,2,5,1,1,1,1,1,hazard,70,2664.8,501,96,6.6e-05,
1,person_near,hazard,gemini,0.2,2,5,1,1,1,1,1,hazard,70,3803.3,501,96,6.6e-05,
1,person_near,hazard,gemini,0.5,2,5,1,1,1,1,1,hazard,62,2238.7,501,86,6.3e-05,
1,person_near,hazard,gemini,0.8,2,5,1,1,1,1,1,hazard,58,3903.2,501,81,6.2e-05,
1,person_near,hazard,gemini,1.0,2,5,1,1,1,1,1,hazard,69,2142.6,501,93,6.5e-05,
1,person_near,hazard,claude,0.0,3,5,1,1,1,1,1,hazard,115,6823.1,367,170,0.003651,
1,person_near,hazard,claude,0.2,3,5,1,1,1,1,1,hazard,111,6195.8,367,171,0.003666,
1,person_near,hazard,claude,0.5,3,5,1,1,1,1,1,hazard,112,7150.5,367,169,0.003636,
1,person_near,hazard,claude,0.8,3,5,1,1,1,1,1,hazard,115,6040.2,367,169,0.003636,
1,person_near,hazard,claude,1.0,3,5,1,1,1,1,1,hazard,104,6453.4,367,158,0.003471,
1,person_near,hazard,gpt4o,0.0,3,4,1,1,0,1,1,caution,43,2888.3,292,59,0.002345,
1,person_near,hazard,gpt4o,0.2,3,4,1,1,0,1,1,caution,47,2891.5,292,67,0.002465,
1,person_near,hazard,gpt4o,0.5,3,4,1,1,0,1,1,caution,56,3265.3,292,72,0.00254,
1,person_near,hazard,gpt4o,0.8,3,4,1,1,0,1,1,caution,49,3168.9,292,70,0.00251,
1,person_near,hazard,gpt4o,1.0,3,4,1,1,0,1,1,caution,48,3342.7,292,68,0.00248,
1,person_near,hazard,gpt4o_mini,0.0,3,4,1,1,0,1,1,caution,55,2664.9,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.2,3,4,1,1,0,1,1,caution,55,2562.1,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.5,3,4,1,1,0,1,1,caution,55,2458.2,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.8,3,4,1,1,0,1,1,caution,54,2459.1,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,1.0,3,4,1,1,0,1,1,caution,56,2864.7,3059,76,0.000504,
1,person_near,hazard,gemini,0.0,3,5,1,1,1,1,1,hazard,70,2458.5,501,96,6.6e-05,
1,person_near,hazard,gemini,0.2,3,5,1,1,1,1,1,hazard,72,2264.0,501,96,6.6e-05,
1,person_near,hazard,gemini,0.5,3,5,1,1,1,1,1,hazard,72,3778.0,501,96,6.6e-05,
1,person_near,hazard,gemini,0.8,3,5,1,1,1,1,1,hazard,68,2255.2,501,93,6.5e-05,
1,person_near,hazard,gemini,1.0,3,5,1,1,1,1,1,hazard,55,1668.4,501,78,6.1e-05,
1,person_near,hazard,claude,0.0,4,5,1,1,1,1,1,hazard,100,5700.7,367,154,0.003411,
1,person_near,hazard,claude,0.2,4,5,1,1,1,1,1,hazard,102,6145.7,367,162,0.003531,
1,person_near,hazard,claude,0.5,4,5,1,1,1,1,1,hazard,103,6404.3,367,164,0.003561,
