model,temperature,n_trials,accuracy,acc_lo,acc_hi,quality,label_flip_rate,latency_ms,cost_usd
all,0.0,160,0.4062,0.3332,0.4837,4.4062,0.0547,3993.5613,0.0015
all,0.2,159,0.3899,0.3176,0.4675,4.3899,0.0781,3807.027,0.0015
all,0.5,160,0.3688,0.2979,0.4458,4.3625,0.125,3762.8919,0.0015
all,0.8,160,0.3688,0.2979,0.4458,4.3563,0.1562,3754.3119,0.0015
all,1.0,160,0.4,0.3273,0.4774,4.4,0.1641,3683.3806,0.0015
claude,0.0,40,0.475,0.3294,0.625,4.475,0.1562,6746.53,0.0035
claude,0.2,39,0.4359,0.293,0.5902,4.4359,0.0938,6709.7769,0.0035
claude,0.5,40,0.425,0.2851,0.5781,4.4,0.2188,6908.19,0.0036
claude,0.8,40,0.45,0.3071,0.6017,4.4,0.2812,6661.27,0.0036
claude,1.0,40,0.475,0.3294,0.625,4.475,0.25,6568.8575,0.0035
gpt4o,0.0,40,0.4,0.2635,0.554,4.4,0.0625,3344.8225,0.002
gpt4o,0.2,40,0.425,0.2851,0.5781,4.425,0.125,3431.6125,0.002
gpt4o,0.5,40,0.425,0.2851,0.5781,4.425,0.1875,3241.9575,0.002
gpt4o,0.8,40,0.35,0.2213,0.5049,4.35,0.1875,3130.65,0.002
gpt4o,1.0,40,0.45,0.3071,0.6017,4.45,0.125,3061.2275,0.002
gpt4o_mini,0.0,40,0.375,0.2422,0.5297,4.375,0.0,2832.85,0.0005
gpt4o_mini,0.2,40,0.375,0.2422,0.5297,4.375,0.0,2779.3675,0.0005
gpt4o_mini,0.5,40,0.375,0.2422,0.5297,4.375,0.0,2640.62,0.0005
gpt4o_mini,0.8,40,0.375,0.2422,0.5297,4.375,0.0,2724.3575,0.0005
gpt4o_mini,1.0,40,0.375,0.2422,0.5297,4.375,0.0,2674.1825,0.0005
gemini,0.0,40,0.375,0.2422,0.5297,4.375,0.0,3050.0425,0.0001
gemini,0.2,40,0.325,0.2008,0.4798,4.325,0.0938,2379.92,0.0001
gemini,0.5,40,0.25,0.1419,0.4019,4.25,0.0938,2260.8,0.0001
gemini,0.8,40,0.3,0.1807,0.4543,4.3,0.1562,2500.97,0.0001
gemini,1.0,40,0.3,0.1807,0.4543,4.3,0.2812,2429.255,0.0001
