t_s,z_vacuum_m,z_linear_m,z_quadratic_m,z_combined_m,linear_above_vacuum_mm,quad_above_vacuum_mm,combined_above_vacuum_mm
0.0,0.999755,0.999755,0.999755,0.999755,0.0,0.0,0.0
0.005,0.999264,0.999265,0.999264,0.999265,0.001,0.0,0.001
0.01,0.998529,0.998532,0.998529,0.998532,0.004,0.0,0.004
0.015,0.997548,0.997557,0.997548,0.997557,0.01,0.0,0.01
0.02,0.996321,0.996341,0.996321,0.996341,0.02,0.0,0.02
0.025,0.99485,0.994884,0.99485,0.994884,0.034,0.0,0.034
0.03,0.993133,0.993188,0.993133,0.993188,0.055,0.0,0.055
0.035,0.991171,0.991253,0.991171,0.991253,0.082,0.0,0.082
0.04,0.988964,0.989081,0.988964,0.989081,0.117,0.001,0.117
0.045,0.986511,0.986672,0.986512,0.986673,0.161,0.001,0.161
0.05,0.983814,0.984027,0.983815,0.984029,0.214,0.001,0.215
0.055,0.98087,0.981148,0.980872,0.98115,0.278,0.002,0.28
0.06,0.977682,0.978035,0.977685,0.978038,0.353,0.003,0.356
0.065,0.974249,0.97469,0.974252,0.974693,0.441,0.004,0.444
0.07,0.97057,0.971112,0.970575,0.971117,0.542,0.005,0.547
0.075,0.966646,0.967304,0.966652,0.96731,0.658,0.006,0.664
0.08,0.962477,0.963265,0.962484,0.963273,0.789,0.008,0.796
0.085,0.958062,0.958998,0.958072,0.959007,0.936,0.01,0.945
0.09,0.953403,0.954502,0.953414,0.954513,1.1,0.012,1.111
0.095,0.948497,0.949779,0.948512,0.949793,1.282,0.015,1.295
0.1,0.943347,0.94483,0.943365,0.944847,1.482,0.018,1.499
0.105,0.937952,0.939655,0.937973,0.939675,1.703,0.022,1.723
0.11,0.932311,0.934256,0.932337,0.93428,1.945,0.026,1.969
0.115,0.926425,0.928632,0.926455,0.928661,2.207,0.03,2.236
0.12,0.920294,0.922787,0.92033,0.92282,2.493,0.036,2.526
0.125,0.913917,0.916719,0.913959,0.916758,2.802,0.042,2.841
0.13,0.907296,0.91043,0.907344,0.910476,3.135,0.049,3.18
0.135,0.900429,0.903922,0.900485,0.903974,3.493,0.056,3.545
0.14,0.893316,0.897194,0.893381,0.897253,3.878,0.065,3.937
0.145,0.885959,0.890247,0.886033,0.890316,4.289,0.074,4.357
0.15,0.878356,0.883084,0.878441,0.883161,4.728,0.085,4.805
0.155,0.870508,0.875703,0.870604,0.875791,5.195,0.096,5.283
0.16,0.862415,0.868107,0.862524,0.868206,5.693,0.109,5.791
0.165,0.854076,0.860296,0.854199,0.860407,6.22,0.123,6.331
0.17,0.845492,0.852271,0.84563,0.852396,6.779,0.138,6.903
0.175,0.836664,0.844033,0.836818,0.844172,7.37,0.154,7.508
0.18,0.827589,0.835583,0.827761,0.835737,7.994,0.172,8.148
0.185,0.81827,0.826921,0.818461,0.827092,8.651,0.192,8.822
0.19,0.808705,0.818049,0.808918,0.818238,9.344,0.213,9.533
0.195,0.798895,0.808967,0.79913,0.809175,10.072,0.235,10.28
0.2,0.78884,0.799675,0.789099,0.799905,10.836,0.26,11.065
0.205,0.778539,0.790176,0.778825,0.790428,11.637,0.286,11.889
0.21,0.767993,0.78047,0.768308,0.780745,12.476,0.314,12.752
0.215,0.757203,0.770557,0.757547,0.770858,13.354,0.344,13.656
0.22,0.746166,0.760438,0.746543,0.760767,14.272,0.377,14.601
0.225,0.734885,0.750115,0.735296,0.750473,15.23,0.411,15.588
0.23,0.723358,0.739588,0.723806,0.739976,16.23,0.448,16.618
0.235,0.711586,0.728858,0.712073,0.729279,17.272,0.487,17.693
0.24,0.699569,0.717925,0.700098,0.718381,18.356,0.529,18.812
0.245,0.687306,0.706791,0.68788,0.707283,19.484,0.574,19.977
0.25,0.674798,0.695456,0.675419,0.695987,20.657,0.621,21.189
0.255,0.662045,0.683921,0.662717,0.684494,21.875,0.671,22.448
0.26,0.649047,0.672187,0.649771,0.672803,23.14,0.724,23.756
0.265,0.635804,0.660255,0.636584,0.660917,24.451,0.78,25.113
0.27,0.622315,0.648125,0.623155,0.648835,25.81,0.84,26.52
0.275,0.608581,0.635799,0.609483,0.636559,27.218,0.902,27.978
0.28,0.594602,0.623276,0.59557,0.62409,28.674,0.968,29.488
0.285,0.580377,0.610558,0.581415,0.611428,30.181,1.038,31.051
0.29,0.565908,0.597647,0.567019,0.598574,31.739,1.111,32.667
0.295,0.551193,0.584541,0.552381,0.58553,33.348,1.188,34.338
0.3,0.536232,0.571243,0.537502,0.572296,35.01,1.269,36.064
0.305,0.521027,0.557752,0.522381,0.558873,36.725,1.355,37.846
0.31,0.505576,0.54407,0.50702,0.545261,38.494,1.444,39.685
0.315,0.48988,0.530198,0.491418,0.531462,40.318,1.538,41.582
0.32,0.473939,0.516136,0.475574,0.517477,42.197,1.636,43.538
0.325,0.457752,0.501885,0.459491,0.503306,44.133,1.738,45.553
0.33,0.441321,0.487446,0.443166,0.488949,46.125,1.846,47.629
0.335,0.424644,0.472819,0.426602,0.474409,48.175,1.958,49.766
0.34,0.407721,0.458005,0.409797,0.459686,50.284,2.076,51.965
0.345,0.390554,0.443006,0.392752,0.44478,52.452,2.198,54.227
0.35,0.373141,0.427821,0.375467,0.429693,54.68,2.326,56.552
0.355,0.355483,0.412452,0.357943,0.414425,56.969,2.46,58.942
0.36,0.33758,0.396899,0.340179,0.398977,59.319,2.599,61.397
0.365,0.319431,0.381163,0.322175,0.38335,61.731,2.744,63.919
0.37,0.301038,0.365244,0.303932,0.367545,64.207,2.895,66.508
0.375,0.282399,0.349144,0.28545,0.351562,66.746,3.052,69.164
0.38,0.263514,0.332863,0.266729,0.335403,69.349,3.215,71.889
0.385,0.244385,0.316402,0.247769,0.319068,72.018,3.385,74.683
0.39,0.22501,0.299762,0.228571,0.302558,74.752,3.561,77.548
0.395,0.20539,0.282943,0.209134,0.285874,77.553,3.744,80.484
0.4,0.185525,0.265946,0.189459,0.269016,80.421,3.934,83.491
0.405,0.165414,0.248772,0.169545,0.251986,83.357,4.131,86.572
0.41,0.145059,0.231421,0.149394,0.234784,86.362,4.335,89.725
0.415,0.124458,0.213894,0.129005,0.217411,89.437,4.547,92.953
0.42,0.103611,0.196192,0.108378,0.199867,92.581,4.767,96.256
0.425,0.08252,0.178316,0.087514,0.182155,95.796,4.994,99.635
0.43,0.061183,0.160266,0.066412,0.164273,99.083,5.229,103.09
0.435,0.039601,0.142043,0.045074,0.146224,102.442,5.473,106.623
0.44,0.017774,0.123648,0.023499,0.128008,105.874,5.725,110.234
0.445,0.0,0.105081,0.001687,0.109625,105.081,1.687,109.625
0.45,0.0,0.086342,0.0,0.091077,86.342,0.0,91.077
0.455,0.0,0.067434,0.0,0.072365,67.434,0.0,72.365
0.46,0.0,0.048356,0.0,0.053488,48.356,0.0,53.488
0.465,0.0,0.029109,0.0,0.034448,29.109,0.0,34.448
0.47,0.0,0.009694,0.0,0.015245,9.694,0.0,15.245
0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
