t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
0.0,0.0168,0.1461,0.0027,8.587,5.8585,0.6147,4.6128,-0.0004
0.005,0.0348,0.2877,0.0095,13.2547,9.7003,1.1947,8.3569,0.0005
0.01,0.0537,0.4292,0.0199,16.2627,12.4754,1.7625,11.5292,0.0021
0.015,0.0709,0.568,0.0318,18.3555,14.5624,2.3156,14.2117,0.0022
0.02,0.0903,0.7172,0.0497,20.1897,16.4137,2.9,16.7945,0.0044
0.025,0.1089,0.8526,0.0682,21.2532,17.6265,3.4154,18.565,0.0058
0.03,0.1277,0.9941,0.0909,22.272,18.7542,3.9504,20.2927,0.0075
0.035,0.1452,1.1349,0.1154,23.1345,19.7192,4.479,21.8036,0.0078
0.04,0.1608,1.2649,0.1393,23.6649,20.3922,4.9573,22.8039,0.0062
0.045,0.1759,1.4006,0.1671,24.2595,21.0793,5.4566,23.8867,0.0042
0.05,0.1967,1.5492,0.2054,24.9342,21.7989,5.9869,25.0737,0.0077
0.055,0.214,1.6826,0.2404,25.3046,22.2707,6.4529,25.7046,0.0078
0.06,0.2327,1.8256,0.2822,25.7943,22.8061,6.9507,26.5394,0.0094
0.065,0.2497,1.9551,0.3219,26.0278,23.1417,7.3865,26.8704,0.0092
0.07,0.2655,2.0891,0.3652,26.3437,23.5165,7.8406,27.3642,0.0078
0.075,0.2853,2.2289,0.4163,26.6691,23.884,8.2998,27.8597,0.0105
0.08,0.3056,2.372,0.4721,27.0234,24.2574,8.7666,28.404,0.0135
0.085,0.3215,2.5054,0.5247,27.2639,24.5445,9.1981,28.7045,0.0122
0.09,0.3327,2.6289,0.5735,27.4065,24.7579,9.5958,28.805,0.0063
0.095,0.3542,2.7639,0.6362,27.5732,24.9803,10.0034,28.9488,0.0106
0.1,0.3716,2.8991,0.6999,27.7977,25.2272,10.421,29.2368,0.0109
0.105,0.3945,3.0339,0.7693,27.9305,25.4153,10.812,29.3055,0.0166
0.11,0.416,3.173,0.8433,28.1442,25.6421,11.2217,29.5722,0.0209
0.115,0.4333,3.2966,0.9103,28.1806,25.7622,11.5713,29.4407,0.0211
0.12,0.449,3.4229,0.9809,28.2843,25.9122,11.9342,29.4932,0.0195
0.125,0.4698,3.5558,1.0606,28.4137,26.0732,12.3037,29.6035,0.0232
0.13,0.4852,3.6856,1.1393,28.5717,26.242,12.6738,29.7971,0.0214
0.135,0.5031,3.8102,1.2189,28.6177,26.351,13.0066,29.7197,0.0221
0.14,0.5206,3.9283,1.2971,28.5846,26.4161,13.3086,29.4756,0.0224
0.145,0.5384,4.049,1.38,28.5934,26.4975,13.6173,29.3615,0.023
0.15,0.5551,4.1693,1.4651,28.6162,26.5815,13.9237,29.3016,0.0225
0.155,0.5735,4.2912,1.5547,28.6461,26.6664,14.2279,29.2675,0.0237
0.16,0.5907,4.4144,1.6478,28.7155,26.7661,14.5384,29.3402,0.0237
0.165,0.6126,4.5457,1.7511,28.8398,26.8909,14.865,29.534,0.0285
0.17,0.6281,4.6526,1.8373,28.7116,26.898,15.1022,29.1255,0.0268
0.175,0.6448,4.7908,1.9511,29.0137,27.0903,15.4712,29.7929,0.0263
0.18,0.6583,4.9155,2.0564,29.1593,27.2141,15.7864,30.0363,0.0226
0.185,0.6714,5.024,2.1514,29.0861,27.2442,16.0276,29.7368,0.0186
