t_s,z_true_m,z_raw_tof,z_mov_avg_10,z_lp_iir_085,z_complementary_098,z_kf1_1state,z_kf1_2state,z_kf1_3state,z_kalman9D_fw
0.0,1.0,0.999135,0.999914,0.99987,0.999983,0.999136,0.999136,0.999136,0.999138
0.005,1.0,0.999135,0.999914,0.99987,0.999982,0.999136,0.999135,0.999135,0.999138
0.01,1.0,0.999135,0.999914,0.99987,0.999982,0.999136,0.999135,0.999135,0.999138
0.015,1.0,0.999135,0.999914,0.99987,0.999982,0.999136,0.999135,0.999135,0.999138
0.02,1.0,1.001662,1.00008,1.000139,1.000014,1.000759,1.001521,1.001521,1.000398
0.025,1.0,1.001662,1.00008,1.000139,1.000014,1.000759,1.002083,1.002083,1.000397
0.03,1.0,1.001662,1.00008,1.000139,1.000013,1.000759,1.002644,1.002644,1.000397
0.035,1.0,1.001662,1.00008,1.000139,1.000013,1.000759,1.003205,1.003206,1.000396
0.04,1.0,1.005818,1.000661,1.000991,1.000129,1.003747,1.005445,1.005446,1.002201
0.045,1.0,1.005818,1.000661,1.000991,1.000132,1.003747,1.006255,1.006257,1.002201
0.05,1.0,1.005818,1.000661,1.000991,1.000135,1.003747,1.007065,1.007068,1.002201
0.055,1.0,1.005818,1.000661,1.000991,1.000137,1.003747,1.007875,1.007879,1.0022
0.06,1.0,1.001232,1.000785,1.001027,1.000161,1.002284,1.003506,1.003497,1.001958
0.065,1.0,1.001232,1.000785,1.001027,1.000165,1.002284,1.003762,1.003746,1.001957
0.07,1.0,1.001232,1.000785,1.001027,1.000168,1.002284,1.004019,1.003993,1.001956
0.075,1.0,1.001232,1.000785,1.001027,1.000171,1.002284,1.004275,1.00424,1.001956
0.08,1.0,0.992732,1.000058,0.999783,1.000026,0.996743,0.997468,0.997384,1.00011
0.085,1.0,0.992732,1.000058,0.999783,1.000026,0.996743,0.997132,0.997003,1.000109
0.09,1.0,0.992732,1.000058,0.999783,1.000026,0.996743,0.996797,0.996615,1.000109
0.095,1.0,0.992732,1.000058,0.999783,1.000026,0.996743,0.996462,0.996222,1.000109
0.1,1.0,1.001883,1.000246,1.000098,1.000063,0.999723,0.999149,0.999094,1.000405
0.105,1.0,1.001883,1.000246,1.000098,1.000065,0.999723,0.999022,0.998945,1.000405
0.11,1.0,1.001883,1.000246,1.000098,1.000066,0.999723,0.998896,0.998794,1.000405
0.115,1.0,1.001883,1.000246,1.000098,1.000068,0.999723,0.99877,0.998641,1.000406
0.12,1.0,0.992427,0.999489,0.998947,0.999916,0.995493,0.995734,0.995459,0.999262
0.125,1.0,0.992427,0.999489,0.998947,0.999913,0.995493,0.995435,0.995071,0.999261
0.13,1.0,0.992427,0.999489,0.998947,0.999909,0.995493,0.995136,0.994676,0.999259
0.135,1.0,0.992427,0.999489,0.998947,0.999904,0.995493,0.994836,0.994273,0.999257
0.14,1.0,1.003321,0.999821,0.999603,0.999969,1.000032,0.998258,0.998392,0.999767
0.145,1.0,1.003321,0.999821,0.999603,0.999966,1.000032,0.998156,0.998324,0.999765
0.15,1.0,1.003321,0.999821,0.999603,0.999963,1.000032,0.998053,0.998258,0.999763
0.155,1.0,1.003321,0.999821,0.999603,0.99996,1.000032,0.997951,0.998195,0.999761
0.16,1.0,0.998531,0.999674,0.999442,0.999929,0.999161,0.998114,0.998322,0.999621
0.165,1.0,0.998531,0.999674,0.999442,0.999925,0.999161,0.998024,0.998279,0.999618
0.17,1.0,0.998531,0.999674,0.999442,0.999922,0.999161,0.997934,0.99824,0.999616
0.175,1.0,0.998531,0.999674,0.999442,0.999919,0.999161,0.997845,0.998205,0.999614
0.18,1.0,1.00325,0.999999,1.000014,0.999983,1.001532,0.999742,1.000563,0.999983
0.185,1.0,1.00325,0.999999,1.000014,0.999982,1.001532,0.999742,1.000726,0.999982
0.19,1.0,1.00325,0.999999,1.000014,0.999981,1.001532,0.999742,1.000899,0.999981
0.195,1.0,1.00325,0.999999,1.000014,0.999979,1.001532,0.999742,1.001082,0.99998
0.2,1.0,1.002497,1.000335,1.000386,1.000028,1.002091,1.00068,1.00185,1.000214
0.205,1.0,1.002497,1.000335,1.000386,1.000027,1.002091,1.00072,1.002098,1.000212
0.21,1.0,1.002497,1.000335,1.000386,1.000028,1.002091,1.000761,1.002358,1.000211
0.215,1.0,1.002497,1.000335,1.000386,1.000028,1.002091,1.000802,1.00263,1.000211
0.22,1.0,1.003842,1.000553,1.000904,1.000104,1.003107,1.001815,1.003347,1.000524
0.225,1.0,1.003842,1.000553,1.000904,1.000106,1.003107,1.001896,1.003675,1.000524
0.23,1.0,1.003842,1.000553,1.000904,1.000108,1.003107,1.001978,1.004015,1.000525
0.235,1.0,1.003842,1.000553,1.000904,1.000111,1.003107,1.002059,1.004369,1.000525
0.24,1.0,0.99953,0.999924,1.000698,1.000103,1.001033,1.001326,1.002343,1.000446
0.245,1.0,0.99953,0.999924,1.000698,1.000105,1.001033,1.001374,1.002545,1.000447
0.25,1.0,0.99953,0.999924,1.000698,1.000108,1.001033,1.001422,1.002754,1.000447
0.255,1.0,0.99953,0.999924,1.000698,1.00011,1.001033,1.00147,1.00297,1.000448
0.26,1.0,1.000168,0.999818,1.000619,1.000113,1.000531,1.001108,1.001835,1.000427
0.265,1.0,1.000168,0.999818,1.000619,1.000116,1.000531,1.001139,1.00197,1.000427
0.27,1.0,1.000168,0.999818,1.000619,1.000118,1.000531,1.00117,1.002108,1.000427
0.275,1.0,1.000168,0.999818,1.000619,1.00012,1.000531,1.001201,1.002252,1.000427
0.28,1.0,1.011607,1.001706,1.002267,1.000352,1.006953,1.004312,1.006415,1.001244
0.285,1.0,1.011607,1.001706,1.002267,1.000361,1.006953,1.004469,1.006835,1.001248
0.29,1.0,1.011607,1.001706,1.002267,1.000369,1.006953,1.004627,1.007267,1.001252
0.295,1.0,1.011607,1.001706,1.002267,1.000377,1.006953,1.004784,1.007711,1.001256
0.3,1.0,1.004761,1.001993,1.002641,1.000472,1.005682,1.004889,1.006729,1.001505
0.305,1.0,1.004761,1.001993,1.002641,1.000482,1.005682,1.005044,1.007105,1.001509
0.31,1.0,1.004761,1.001993,1.002641,1.000491,1.005682,1.005199,1.007491,1.001513
0.315,1.0,1.004761,1.001993,1.002641,1.000501,1.005682,1.005355,1.007886,1.001517
0.32,1.0,0.998532,1.002604,1.002025,1.000471,1.001536,1.003488,1.00431,1.001318
0.325,1.0,0.998532,1.002604,1.002025,1.000478,1.001536,1.003559,1.004484,1.00132
0.33,1.0,0.998532,1.002604,1.002025,1.000485,1.001536,1.003631,1.004662,1.001322
0.335,1.0,0.998532,1.002604,1.002025,1.000492,1.001536,1.003703,1.004843,1.001323
0.34,1.0,1.005967,1.002868,1.002616,1.000608,1.004106,1.004406,1.005398,1.001633
0.345,1.0,1.005967,1.002868,1.002616,1.000618,1.004106,1.004504,1.005607,1.001636
0.35,1.0,1.005967,1.002868,1.002616,1.000628,1.004106,1.004602,1.005821,1.001639
0.355,1.0,1.005967,1.002868,1.002616,1.000637,1.004106,1.0047,1.006038,1.001643
0.36,1.0,1.004467,1.003462,1.002894,1.000724,1.004315,1.004703,1.005578,1.001831
0.365,1.0,1.004467,1.003462,1.002894,1.000736,1.004315,1.004797,1.005766,1.001836
0.37,1.0,1.004467,1.003462,1.002894,1.000748,1.004315,1.004891,1.005958,1.001841
0.375,1.0,1.004467,1.003462,1.002894,1.000761,1.004315,1.004985,1.006152,1.001846
0.38,1.0,1.006135,1.003751,1.00338,1.00088,1.00537,1.005381,1.006271,1.002128
0.385,1.0,1.006135,1.003751,1.00338,1.000895,1.00537,1.005488,1.006468,1.002136
0.39,1.0,1.006135,1.003751,1.00338,1.000911,1.00537,1.005595,1.006667,1.002144
0.395,1.0,1.006135,1.003751,1.00338,1.000927,1.00537,1.005701,1.00687,1.002152
0.4,1.0,1.000576,1.003558,1.002959,1.000937,1.00259,1.004309,1.004771,1.002059
0.405,1.0,1.000576,1.003558,1.002959,1.000953,1.00259,1.004353,1.004866,1.002067
0.41,1.0,1.000576,1.003558,1.002959,1.000969,1.00259,1.004397,1.004961,1.002074
0.415,1.0,1.000576,1.003558,1.002959,1.000984,1.00259,1.004441,1.005056,1.002082
0.42,1.0,1.004082,1.003582,1.003128,1.001062,1.003455,1.00437,1.004786,1.002218
0.425,1.0,1.004082,1.003582,1.003128,1.00108,1.003455,1.004409,1.004865,1.002227
0.43,1.0,1.004082,1.003582,1.003128,1.001097,1.003455,1.004448,1.004945,1.002236
0.435,1.0,1.004082,1.003582,1.003128,1.001115,1.003455,1.004488,1.005026,1.002245
0.44,1.0,0.99725,1.003354,1.002246,1.001055,0.999858,1.002444,1.002497,1.001929
0.445,1.0,0.99725,1.003354,1.002246,1.00107,0.999858,1.002396,1.002458,1.001935
0.45,1.0,0.99725,1.003354,1.002246,1.001086,0.999858,1.002348,1.002418,1.001941
0.455,1.0,0.99725,1.003354,1.002246,1.001102,0.999858,1.0023,1.002376,1.001947
0.46,1.0,0.997861,1.003124,1.001588,1.001052,0.9987,1.000995,1.000891,1.001685
0.465,1.0,0.997861,1.003124,1.001588,1.001067,0.9987,1.000895,1.000781,1.001689
0.47,1.0,0.997861,1.003124,1.001588,1.001082,0.9987,1.000794,1.000668,1.001693
0.475,1.0,0.997861,1.003124,1.001588,1.001096,0.9987,1.000694,1.000552,1.001697
0.48,1.0,0.993794,1.001342,1.000419,1.000964,0.995855,0.998647,0.998355,1.001177
0.485,1.0,0.993794,1.001342,1.000419,1.000975,0.995855,0.998465,0.998144,1.001175
0.49,1.0,0.993794,1.001342,1.000419,1.000986,0.995855,0.998283,0.997929,1.001173
0.495,1.0,0.993794,1.001342,1.000419,1.000997,0.995855,0.998102,0.997708,1.001171
0.5,1.0,1.011417,1.002008,1.002069,1.001216,1.004878,1.001784,1.001727,1.001858
0.505,1.0,1.011417,1.002008,1.002069,1.001232,1.004878,1.001763,1.001674,1.001864
0.51,1.0,1.011417,1.002008,1.002069,1.001248,1.004878,1.001743,1.001619,1.00187
0.515,1.0,1.011417,1.002008,1.002069,1.001265,1.004878,1.001723,1.001563,1.001876
0.52,1.0,1.001616,1.002316,1.002001,1.001287,1.002987,1.001678,1.001538,1.001863
0.525,1.0,1.001616,1.002316,1.002001,1.001304,1.002987,1.001656,1.001481,1.001869
0.53,1.0,1.001616,1.002316,1.002001,1.001321,1.002987,1.001635,1.001421,1.001875
0.535,1.0,1.001616,1.002316,1.002001,1.001337,1.002987,1.001614,1.00136,1.001881
0.54,1.0,1.007668,1.002486,1.002851,1.001481,1.005701,1.003331,1.003143,1.002289
0.545,1.0,1.007668,1.002486,1.002851,1.001501,1.005701,1.003382,1.003152,1.0023
0.55,1.0,1.007668,1.002486,1.002851,1.001522,1.005701,1.003434,1.003161,1.002312
0.555,1.0,1.007668,1.002486,1.002851,1.001542,1.005701,1.003485,1.003169,1.002323
0.56,1.0,1.000977,1.002137,1.00257,1.00155,1.002962,1.002804,1.002554,1.002237
0.565,1.0,1.000977,1.002137,1.00257,1.001569,1.002962,1.002825,1.002537,1.002246
0.57,1.0,1.000977,1.002137,1.00257,1.001589,1.002962,1.002845,1.00252,1.002256
0.575,1.0,1.000977,1.002137,1.00257,1.001609,1.002962,1.002866,1.002502,1.002266
0.58,1.0,0.992155,1.00074,1.001008,1.00144,0.996696,0.999816,0.999616,1.001545
0.585,1.0,0.992155,1.00074,1.001008,1.001455,0.996696,0.999708,0.999487,1.001546
0.59,1.0,0.992155,1.00074,1.001008,1.001471,0.996696,0.999601,0.999356,1.001548
0.595,1.0,0.992155,1.00074,1.001008,1.001486,0.996696,0.999493,0.999223,1.001549
0.6,1.0,0.999779,1.00066,1.000823,1.001468,0.998484,0.999498,0.999276,1.001421
0.605,1.0,0.999779,1.00066,1.000823,1.001484,0.998484,0.999395,0.999145,1.001421
0.61,1.0,0.999779,1.00066,1.000823,1.001499,0.998484,0.999292,0.999011,1.001422
0.615,1.0,0.999779,1.00066,1.000823,1.001515,0.998484,0.99919,0.998875,1.001423
0.62,1.0,0.996499,0.999902,1.000175,1.00143,0.997333,0.998346,0.998137,1.001054
0.625,1.0,0.996499,0.999902,1.000175,1.001444,0.997333,0.998212,0.997974,1.001051
0.63,1.0,0.996499,0.999902,1.000175,1.001458,0.997333,0.998079,0.997809,1.001049
0.635,1.0,0.996499,0.999902,1.000175,1.001472,0.997333,0.997945,0.99764,1.001046
0.64,1.0,1.003046,1.000481,1.000605,1.001518,1.000645,0.999309,0.998942,1.001197
0.645,1.0,1.003046,1.000481,1.000605,1.001534,1.000645,0.999238,0.998822,1.001197
0.65,1.0,1.003046,1.000481,1.000605,1.001551,1.000645,0.999166,0.998701,1.001198
0.655,1.0,1.003046,1.000481,1.000605,1.001568,1.000645,0.999095,0.998577,1.001199
0.66,1.0,1.00056,1.000751,1.000599,1.001565,1.000596,0.999463,0.999001,1.001151
0.665,1.0,1.00056,1.000751,1.000599,1.001582,1.000596,0.999411,0.998894,1.001152
0.67,1.0,1.00056,1.000751,1.000599,1.001599,1.000596,0.999358,0.998785,1.001153
0.675,1.0,1.00056,1.000751,1.000599,1.001617,1.000596,0.999305,0.998674,1.001155
0.68,1.0,0.997436,1.001115,1.000124,1.001551,0.998764,0.998732,0.998272,1.000864
0.685,1.0,0.997436,1.001115,1.000124,1.001566,0.998764,0.998658,0.998147,1.000862
