t_s,omega_sim_rad_s,omega_analytical_rad_s
0.0,0.0,0.0
0.005,436.3333,401.9108
0.01,799.9444,742.121
0.015,1102.9537,1030.1027
0.02,1355.4614,1273.874
0.025,1565.8845,1480.2219
0.03,1741.2371,1654.8916
0.035,1887.3642,1802.7464
0.04,2009.1369,1927.9027
0.045,2110.6141,2033.8452
0.05,2195.1784,2123.5237
0.055,2265.6487,2199.4348
0.06,2324.3739,2263.6922
0.065,2373.3116,2318.0849
0.07,2414.093,2364.1274
0.075,2448.0775,2403.1015
0.08,2476.3979,2436.0923
0.085,2499.9982,2464.0185
0.09,2519.6652,2487.6575
0.095,2536.0543,2507.6674
0.1,2549.7119,2524.6055
0.105,2561.0933,2538.9433
0.11,2570.5777,2551.0799
0.115,2578.4815,2561.3534
0.12,2585.0679,2570.0497
0.125,2590.5566,2577.4109
0.13,2595.1305,2583.6421
0.135,2598.9421,2588.9166
0.14,2602.1184,2593.3815
0.145,2604.7653,2597.1609
0.15,2606.9711,2600.3601
0.155,2608.8092,2603.0681
0.16,2610.341,2605.3604
0.165,2611.6175,2607.3008
0.17,2612.6813,2608.9434
0.175,2613.5677,2610.3337
0.18,2614.3064,2611.5106
0.185,2614.922,2612.5069
0.19,2615.435,2613.3502
0.195,2615.8625,2614.064
0.2,2616.2188,2614.6682
0.205,2616.5156,2615.1797
0.21,2616.763,2615.6127
0.215,2616.9692,2615.9792
0.22,2617.141,2616.2894
0.225,2617.2842,2616.552
0.23,2617.4035,2616.7743
0.235,2617.5029,2616.9625
0.24,2617.5857,2617.1218
0.245,2617.6548,2617.2566
0.25,2617.7123,2617.3707
0.255,2617.7603,2617.4673
0.26,2617.8002,2617.5491
0.265,2617.8335,2617.6183
0.27,2617.8613,2617.6769
0.275,2617.8844,2617.7265
0.28,2617.9037,2617.7685
0.285,2617.9197,2617.804
0.29,2617.9331,2617.8341
0.295,2617.9442,2617.8596
