soc_pct,v_oc_V,v_term_V,current_A,v_factor,thrust_N,thrust_pct
100.0,4.2,4.122,1.56,0.9632,0.34936,100.0
99.99,4.1998,4.1218,1.56,0.96312,0.34933,99.99
99.97,4.1997,4.1217,1.56,0.96304,0.3493,99.98
99.96,4.1995,4.1215,1.56,0.96296,0.34927,99.97
99.94,4.1993,4.1213,1.56,0.96288,0.34924,99.97
99.93,4.1991,4.1211,1.56,0.9628,0.34921,99.96
99.91,4.199,4.121,1.56,0.96272,0.34918,99.95
99.9,4.1988,4.1208,1.56,0.96264,0.34916,99.94
99.88,4.1986,4.1206,1.56,0.96255,0.34913,99.93
99.87,4.1984,4.1204,1.56,0.96247,0.3491,99.92
99.86,4.1983,4.1203,1.56,0.96239,0.34907,99.92
99.84,4.1981,4.1201,1.56,0.96231,0.34904,99.91
99.83,4.1979,4.1199,1.56,0.96223,0.34901,99.9
99.81,4.1977,4.1197,1.56,0.96215,0.34898,99.89
99.8,4.1976,4.1196,1.56,0.96207,0.34895,99.88
99.78,4.1974,4.1194,1.56,0.96199,0.34892,99.87
99.77,4.1972,4.1192,1.56,0.96191,0.34889,99.87
99.75,4.1971,4.1191,1.56,0.96183,0.34886,99.86
99.74,4.1969,4.1189,1.56,0.96174,0.34883,99.85
99.73,4.1967,4.1187,1.56,0.96166,0.3488,99.84
99.71,4.1965,4.1185,1.56,0.96158,0.34877,99.83
99.7,4.1964,4.1184,1.56,0.9615,0.34874,99.82
99.68,4.1962,4.1182,1.56,0.96142,0.34872,99.82
99.67,4.196,4.118,1.56,0.96134,0.34869,99.81
99.65,4.1958,4.1178,1.56,0.96126,0.34866,99.8
99.64,4.1957,4.1177,1.56,0.96118,0.34863,99.79
99.62,4.1955,4.1175,1.56,0.9611,0.3486,99.78
99.61,4.1953,4.1173,1.56,0.96102,0.34857,99.77
99.6,4.1951,4.1171,1.56,0.96094,0.34854,99.76
99.58,4.195,4.117,1.56,0.96085,0.34851,99.76
99.57,4.1948,4.1168,1.56,0.96077,0.34848,99.75
99.55,4.1946,4.1166,1.56,0.96069,0.34845,99.74
99.54,4.1945,4.1165,1.56,0.96061,0.34842,99.73
99.52,4.1943,4.1163,1.56,0.96053,0.34839,99.72
99.51,4.1941,4.1161,1.56,0.96045,0.34836,99.71
99.49,4.1939,4.1159,1.56,0.96037,0.34833,99.71
99.48,4.1938,4.1158,1.56,0.96029,0.3483,99.7
99.47,4.1936,4.1156,1.56,0.96021,0.34827,99.69
99.45,4.1934,4.1154,1.56,0.96013,0.34825,99.68
99.44,4.1932,4.1152,1.56,0.96005,0.34822,99.67
99.42,4.1931,4.1151,1.56,0.95996,0.34819,99.66
99.41,4.1929,4.1149,1.56,0.95988,0.34816,99.66
99.39,4.1927,4.1147,1.56,0.9598,0.34813,99.65
99.38,4.1925,4.1145,1.56,0.95972,0.3481,99.64
99.36,4.1924,4.1144,1.56,0.95964,0.34807,99.63
99.35,4.1922,4.1142,1.56,0.95956,0.34804,99.62
99.34,4.192,4.114,1.56,0.95948,0.34801,99.61
99.32,4.1919,4.1139,1.56,0.9594,0.34798,99.61
99.31,4.1917,4.1137,1.56,0.95932,0.34795,99.6
99.29,4.1915,4.1135,1.56,0.95924,0.34792,99.59
99.28,4.1913,4.1133,1.56,0.95916,0.34789,99.58
99.26,4.1912,4.1132,1.56,0.95908,0.34786,99.57
99.25,4.191,4.113,1.56,0.95899,0.34784,99.56
99.23,4.1908,4.1128,1.56,0.95891,0.34781,99.55
99.22,4.1906,4.1126,1.56,0.95883,0.34778,99.55
99.21,4.1905,4.1125,1.56,0.95875,0.34775,99.54
99.19,4.1903,4.1123,1.56,0.95867,0.34772,99.53
99.18,4.1901,4.1121,1.56,0.95859,0.34769,99.52
99.16,4.1899,4.1119,1.56,0.95851,0.34766,99.51
99.15,4.1898,4.1118,1.56,0.95843,0.34763,99.5
99.13,4.1896,4.1116,1.56,0.95835,0.3476,99.5
99.12,4.1894,4.1114,1.56,0.95827,0.34757,99.49
99.1,4.1893,4.1113,1.56,0.95819,0.34754,99.48
99.09,4.1891,4.1111,1.56,0.95811,0.34751,99.47
99.08,4.1889,4.1109,1.56,0.95802,0.34748,99.46
99.06,4.1887,4.1107,1.56,0.95794,0.34745,99.45
99.05,4.1886,4.1106,1.56,0.95786,0.34742,99.45
99.03,4.1884,4.1104,1.56,0.95778,0.3474,99.44
99.02,4.1882,4.1102,1.56,0.9577,0.34737,99.43
99.0,4.188,4.11,1.56,0.95762,0.34734,99.42
98.99,4.1879,4.1099,1.56,0.95754,0.34731,99.41
98.97,4.1877,4.1097,1.56,0.95746,0.34728,99.4
98.96,4.1875,4.1095,1.56,0.95738,0.34725,99.4
98.95,4.1873,4.1093,1.56,0.9573,0.34722,99.39
98.93,4.1872,4.1092,1.56,0.95722,0.34719,99.38
98.92,4.187,4.109,1.56,0.95714,0.34716,99.37
98.9,4.1868,4.1088,1.56,0.95706,0.34713,99.36
98.89,4.1867,4.1087,1.56,0.95697,0.3471,99.35
98.87,4.1865,4.1085,1.56,0.95689,0.34707,99.35
98.86,4.1863,4.1083,1.56,0.95681,0.34704,99.34
98.84,4.1861,4.1081,1.56,0.95673,0.34701,99.33
98.83,4.186,4.108,1.56,0.95665,0.34699,99.32
98.82,4.1858,4.1078,1.56,0.95657,0.34696,99.31
98.8,4.1856,4.1076,1.56,0.95649,0.34693,99.3
98.79,4.1854,4.1074,1.56,0.95641,0.3469,99.29
98.77,4.1853,4.1073,1.56,0.95633,0.34687,99.29
98.76,4.1851,4.1071,1.56,0.95625,0.34684,99.28
98.74,4.1849,4.1069,1.56,0.95617,0.34681,99.27
98.73,4.1847,4.1067,1.56,0.95609,0.34678,99.26
98.71,4.1846,4.1066,1.56,0.95601,0.34675,99.25
98.7,4.1844,4.1064,1.56,0.95593,0.34672,99.24
98.69,4.1842,4.1062,1.56,0.95584,0.34669,99.24
98.67,4.1841,4.1061,1.56,0.95576,0.34666,99.23
98.66,4.1839,4.1059,1.56,0.95568,0.34663,99.22
98.64,4.1837,4.1057,1.56,0.9556,0.3466,99.21
98.63,4.1835,4.1055,1.56,0.95552,0.34658,99.2
98.61,4.1834,4.1054,1.56,0.95544,0.34655,99.19
98.6,4.1832,4.1052,1.56,0.95536,0.34652,99.19
98.58,4.183,4.105,1.56,0.95528,0.34649,99.18
98.57,4.1828,4.1048,1.56,0.9552,0.34646,99.17
98.56,4.1827,4.1047,1.56,0.95512,0.34643,99.16
98.54,4.1825,4.1045,1.56,0.95504,0.3464,99.15
98.53,4.1823,4.1043,1.56,0.95496,0.34637,99.14
98.51,4.1821,4.1041,1.56,0.95488,0.34634,99.14
98.5,4.182,4.104,1.56,0.9548,0.34631,99.13
98.48,4.1818,4.1038,1.56,0.95472,0.34628,99.12
98.47,4.1816,4.1036,1.56,0.95463,0.34625,99.11
98.45,4.1815,4.1035,1.56,0.95455,0.34622,99.1
98.44,4.1813,4.1033,1.56,0.95447,0.3462,99.09
98.43,4.1811,4.1031,1.56,0.95439,0.34617,99.09
98.41,4.1809,4.1029,1.56,0.95431,0.34614,99.08
98.4,4.1808,4.1028,1.56,0.95423,0.34611,99.07
98.38,4.1806,4.1026,1.56,0.95415,0.34608,99.06
98.37,4.1804,4.1024,1.56,0.95407,0.34605,99.05
98.35,4.1802,4.1022,1.56,0.95399,0.34602,99.04
98.34,4.1801,4.1021,1.56,0.95391,0.34599,99.04
98.32,4.1799,4.1019,1.56,0.95383,0.34596,99.03
98.31,4.1797,4.1017,1.56,0.95375,0.34593,99.02
98.3,4.1795,4.1015,1.56,0.95367,0.3459,99.01
98.28,4.1794,4.1014,1.56,0.95359,0.34587,99.0
98.27,4.1792,4.1012,1.56,0.95351,0.34584,98.99
98.25,4.179,4.101,1.56,0.95343,0.34582,98.98
98.24,4.1789,4.1009,1.56,0.95334,0.34579,98.98
98.22,4.1787,4.1007,1.56,0.95326,0.34576,98.97
98.21,4.1785,4.1005,1.56,0.95318,0.34573,98.96
98.19,4.1783,4.1003,1.56,0.9531,0.3457,98.95
98.18,4.1782,4.1002,1.56,0.95302,0.34567,98.94
98.17,4.178,4.1,1.56,0.95294,0.34564,98.93
98.15,4.1778,4.0998,1.56,0.95286,0.34561,98.93
98.14,4.1776,4.0996,1.56,0.95278,0.34558,98.92
98.12,4.1775,4.0995,1.56,0.9527,0.34555,98.91
98.11,4.1773,4.0993,1.56,0.95262,0.34552,98.9
98.09,4.1771,4.0991,1.56,0.95254,0.34549,98.89
98.08,4.1769,4.0989,1.56,0.95246,0.34546,98.88
98.06,4.1768,4.0988,1.56,0.95238,0.34544,98.88
98.05,4.1766,4.0986,1.56,0.9523,0.34541,98.87
98.04,4.1764,4.0984,1.56,0.95222,0.34538,98.86
98.02,4.1763,4.0983,1.56,0.95214,0.34535,98.85
98.01,4.1761,4.0981,1.56,0.95206,0.34532,98.84
97.99,4.1759,4.0979,1.56,0.95198,0.34529,98.83
97.98,4.1757,4.0977,1.56,0.95189,0.34526,98.83
97.96,4.1756,4.0976,1.56,0.95181,0.34523,98.82
97.95,4.1754,4.0974,1.56,0.95173,0.3452,98.81
97.93,4.1752,4.0972,1.56,0.95165,0.34517,98.8
97.92,4.175,4.097,1.56,0.95157,0.34514,98.79
97.91,4.1749,4.0969,1.56,0.95149,0.34511,98.78
97.89,4.1747,4.0967,1.56,0.95141,0.34508,98.78
97.88,4.1745,4.0965,1.56,0.95133,0.34506,98.77
97.86,4.1743,4.0963,1.56,0.95125,0.34503,98.76
97.85,4.1742,4.0962,1.56,0.95117,0.345,98.75
97.83,4.174,4.096,1.56,0.95109,0.34497,98.74
97.82,4.1738,4.0958,1.56,0.95101,0.34494,98.73
97.8,4.1737,4.0957,1.56,0.95093,0.34491,98.73
97.79,4.1735,4.0955,1.56,0.95085,0.34488,98.72
97.78,4.1733,4.0953,1.56,0.95077,0.34485,98.71
97.76,4.1731,4.0951,1.56,0.95069,0.34482,98.7
97.75,4.173,4.095,1.56,0.95061,0.34479,98.69
97.73,4.1728,4.0948,1.56,0.95053,0.34476,98.68
97.72,4.1726,4.0946,1.56,0.95045,0.34473,98.68
97.7,4.1724,4.0944,1.56,0.95037,0.34471,98.67
97.69,4.1723,4.0943,1.56,0.95028,0.34468,98.66
97.67,4.1721,4.0941,1.56,0.9502,0.34465,98.65
97.66,4.1719,4.0939,1.56,0.95012,0.34462,98.64
97.65,4.1717,4.0937,1.56,0.95004,0.34459,98.63
97.63,4.1716,4.0936,1.56,0.94996,0.34456,98.63
97.62,4.1714,4.0934,1.56,0.94988,0.34453,98.62
97.6,4.1712,4.0932,1.56,0.9498,0.3445,98.61
97.59,4.1711,4.0931,1.56,0.94972,0.34447,98.6
97.57,4.1709,4.0929,1.56,0.94964,0.34444,98.59
97.56,4.1707,4.0927,1.56,0.94956,0.34441,98.58
97.54,4.1705,4.0925,1.56,0.94948,0.34438,98.58
97.53,4.1704,4.0924,1.56,0.9494,0.34436,98.57
97.52,4.1702,4.0922,1.56,0.94932,0.34433,98.56
97.5,4.17,4.092,1.56,0.94924,0.3443,98.55
97.49,4.1698,4.0918,1.56,0.94916,0.34427,98.54
97.47,4.1697,4.0917,1.56,0.94908,0.34424,98.53
97.46,4.1695,4.0915,1.56,0.949,0.34421,98.53
97.44,4.1693,4.0913,1.56,0.94892,0.34418,98.52
97.43,4.1691,4.0911,1.56,0.94884,0.34415,98.51
97.41,4.169,4.091,1.56,0.94876,0.34412,98.5
97.4,4.1688,4.0908,1.56,0.94868,0.34409,98.49
97.39,4.1686,4.0906,1.56,0.9486,0.34406,98.48
97.37,4.1685,4.0905,1.56,0.94852,0.34403,98.48
97.36,4.1683,4.0903,1.56,0.94843,0.34401,98.47
97.34,4.1681,4.0901,1.56,0.94835,0.34398,98.46
97.33,4.1679,4.0899,1.56,0.94827,0.34395,98.45
97.31,4.1678,4.0898,1.56,0.94819,0.34392,98.44
97.3,4.1676,4.0896,1.56,0.94811,0.34389,98.43
97.28,4.1674,4.0894,1.56,0.94803,0.34386,98.43
97.27,4.1672,4.0892,1.56,0.94795,0.34383,98.42
97.26,4.1671,4.0891,1.56,0.94787,0.3438,98.41
97.24,4.1669,4.0889,1.56,0.94779,0.34377,98.4
97.23,4.1667,4.0887,1.56,0.94771,0.34374,98.39
