t_s,z_true_m,z_ekf_m,z_setpoint_m,vz_m_s
0.0,0.985,0.9869,1.0,0.0048
0.005,0.985,0.9867,1.0,0.0046
0.01,0.9851,0.9867,1.0,0.0047
0.015,0.9851,0.9866,1.0,0.0045
0.02,0.9851,0.9867,1.0,0.0051
0.025,0.9851,0.9866,1.0,0.005
0.03,0.9851,0.9868,1.0,0.0059
0.035,0.9851,0.9869,1.0,0.0062
0.04,0.9852,0.9869,1.0,0.0062
0.045,0.9852,0.987,1.0,0.0068
0.05,0.9852,0.9869,1.0,0.0066
0.055,0.9852,0.9869,1.0,0.0066
0.06,0.9853,0.9869,1.0,0.0066
0.065,0.9853,0.9869,1.0,0.0069
0.07,0.9853,0.987,1.0,0.0073
0.075,0.9854,0.987,1.0,0.0075
0.08,0.9854,0.9871,1.0,0.0082
0.085,0.9854,0.9872,1.0,0.0085
0.09,0.9855,0.9871,1.0,0.0086
0.095,0.9855,0.9871,1.0,0.0087
0.1,0.9855,0.9874,1.0,0.0098
0.105,0.9856,0.9874,1.0,0.0101
0.11,0.9856,0.9876,1.0,0.0112
0.115,0.9856,0.9873,1.0,0.0102
0.12,0.9857,0.9874,1.0,0.0108
0.125,0.9857,0.9873,1.0,0.0108
0.13,0.9857,0.9872,1.0,0.0107
0.135,0.9858,0.9875,1.0,0.0116
0.14,0.9858,0.9877,1.0,0.0122
0.145,0.9858,0.9878,1.0,0.0124
0.15,0.9859,0.9877,1.0,0.0121
0.155,0.9859,0.9873,1.0,0.0109
0.16,0.9859,0.9873,1.0,0.0107
0.165,0.9859,0.9872,1.0,0.0103
0.17,0.986,0.9872,1.0,0.0104
0.175,0.986,0.9874,1.0,0.0109
0.18,0.986,0.9873,1.0,0.0107
0.185,0.9861,0.9873,1.0,0.011
0.19,0.9861,0.9872,1.0,0.0106
0.195,0.9861,0.9874,1.0,0.0115
0.2,0.9861,0.9875,1.0,0.0118
0.205,0.9861,0.9877,1.0,0.0124
0.21,0.9862,0.9877,1.0,0.0124
0.215,0.9862,0.9874,1.0,0.0116
0.22,0.9862,0.9874,1.0,0.0116
0.225,0.9862,0.9874,1.0,0.0115
0.23,0.9862,0.9873,1.0,0.0111
0.235,0.9862,0.9875,1.0,0.0117
0.24,0.9863,0.9877,1.0,0.0122
0.245,0.9863,0.9879,1.0,0.0126
0.25,0.9863,0.988,1.0,0.0129
0.255,0.9863,0.9881,1.0,0.013
0.26,0.9863,0.9882,1.0,0.0131
0.265,0.9863,0.9886,1.0,0.0142
0.27,0.9863,0.9885,1.0,0.0136
0.275,0.9863,0.9888,1.0,0.0143
0.28,0.9863,0.9892,1.0,0.0152
0.285,0.9863,0.9892,1.0,0.0147
0.29,0.9863,0.989,1.0,0.014
0.295,0.9863,0.9892,1.0,0.0142
0.3,0.9863,0.9892,1.0,0.0135
0.305,0.9863,0.9892,1.0,0.0133
