t_s,x_true_m,y_true_m,z_true_m,x_ekf_m,y_ekf_m,z_ekf_m,xy_error_m
0.0,-0.271,0.3738,0.9908,-0.2252,0.4022,0.9925,0.0
0.005,-0.2711,0.3738,0.9908,-0.2252,0.4023,0.9924,0.0002
0.01,-0.2713,0.3738,0.9908,-0.2253,0.4024,0.9923,0.0003
0.015,-0.2714,0.3738,0.9909,-0.2254,0.4024,0.9922,0.0005
0.02,-0.2716,0.3738,0.9909,-0.2255,0.4024,0.9921,0.0006
0.025,-0.2718,0.3738,0.9909,-0.2255,0.4023,0.9922,0.0008
0.03,-0.2719,0.3738,0.9909,-0.2255,0.4022,0.9922,0.001
0.035,-0.2721,0.3738,0.9909,-0.2256,0.4022,0.9923,0.0011
0.04,-0.2723,0.3738,0.9909,-0.2256,0.4023,0.9922,0.0013
0.045,-0.2724,0.3738,0.9909,-0.2258,0.4023,0.9922,0.0015
0.05,-0.2726,0.3738,0.9908,-0.2259,0.4026,0.9922,0.0016
0.055,-0.2728,0.3738,0.9908,-0.2262,0.4025,0.9922,0.0018
0.06,-0.2729,0.3738,0.9908,-0.2265,0.4024,0.9924,0.002
0.065,-0.2731,0.3739,0.9908,-0.2266,0.4024,0.9925,0.0021
0.07,-0.2733,0.3739,0.9908,-0.2268,0.4024,0.9924,0.0023
0.075,-0.2735,0.3739,0.9908,-0.227,0.4024,0.9924,0.0025
0.08,-0.2736,0.3739,0.9908,-0.227,0.4023,0.9924,0.0027
0.085,-0.2738,0.3739,0.9908,-0.2272,0.4024,0.9925,0.0028
0.09,-0.274,0.3739,0.9908,-0.2274,0.4024,0.9923,0.003
0.095,-0.2742,0.3739,0.9908,-0.2276,0.4026,0.9923,0.0032
0.1,-0.2743,0.3739,0.9908,-0.2276,0.4027,0.9921,0.0034
0.105,-0.2745,0.3739,0.9909,-0.2276,0.4026,0.992,0.0036
0.11,-0.2747,0.3739,0.9909,-0.2278,0.4026,0.9918,0.0037
0.115,-0.2749,0.3739,0.9909,-0.2278,0.4027,0.9917,0.0039
0.12,-0.2751,0.374,0.9909,-0.2278,0.4026,0.9916,0.0041
0.125,-0.2753,0.374,0.9909,-0.228,0.4024,0.992,0.0043
0.13,-0.2754,0.374,0.9909,-0.228,0.4023,0.9922,0.0045
0.135,-0.2756,0.374,0.991,-0.2281,0.4022,0.9923,0.0047
0.14,-0.2758,0.374,0.991,-0.2283,0.4023,0.9922,0.0048
0.145,-0.276,0.374,0.991,-0.2284,0.4022,0.9923,0.005
0.15,-0.2762,0.374,0.9911,-0.2286,0.4023,0.9922,0.0052
0.155,-0.2764,0.374,0.9911,-0.2289,0.4023,0.9923,0.0054
0.16,-0.2766,0.3741,0.9911,-0.2291,0.4025,0.9924,0.0056
0.165,-0.2768,0.3741,0.9912,-0.2294,0.4027,0.9927,0.0058
0.17,-0.277,0.3741,0.9912,-0.2297,0.4028,0.9924,0.006
0.175,-0.2772,0.3741,0.9913,-0.2299,0.4027,0.9927,0.0062
0.18,-0.2774,0.3741,0.9913,-0.2301,0.4027,0.9926,0.0064
0.185,-0.2775,0.3741,0.9914,-0.2301,0.4026,0.9924,0.0066
0.19,-0.2777,0.3742,0.9915,-0.2303,0.4026,0.9922,0.0068
0.195,-0.2779,0.3742,0.9915,-0.2303,0.4026,0.9923,0.007
0.2,-0.2781,0.3742,0.9916,-0.2305,0.4025,0.9922,0.0072
0.205,-0.2783,0.3742,0.9917,-0.2307,0.4023,0.9922,0.0074
0.21,-0.2785,0.3742,0.9917,-0.2307,0.4021,0.9922,0.0076
0.215,-0.2787,0.3742,0.9918,-0.2306,0.402,0.9921,0.0078
0.22,-0.2789,0.3743,0.9919,-0.2308,0.402,0.9923,0.008
0.225,-0.2792,0.3743,0.992,-0.2309,0.4019,0.9924,0.0082
0.23,-0.2794,0.3743,0.9921,-0.231,0.4019,0.9922,0.0084
0.235,-0.2796,0.3743,0.9922,-0.2313,0.4019,0.9926,0.0086
0.24,-0.2798,0.3743,0.9923,-0.2316,0.4021,0.9927,0.0088
0.245,-0.28,0.3744,0.9924,-0.2319,0.4021,0.9926,0.009
0.25,-0.2802,0.3744,0.9925,-0.2322,0.402,0.9927,0.0092
0.255,-0.2804,0.3744,0.9926,-0.2325,0.4019,0.9929,0.0094
0.26,-0.2806,0.3744,0.9927,-0.2326,0.4021,0.9928,0.0096
0.265,-0.2808,0.3745,0.9928,-0.2329,0.402,0.9925,0.0099
0.27,-0.281,0.3745,0.9929,-0.233,0.4019,0.9927,0.0101
0.275,-0.2812,0.3745,0.9931,-0.2333,0.402,0.9928,0.0103
0.28,-0.2814,0.3745,0.9932,-0.2334,0.4019,0.9928,0.0105
0.285,-0.2817,0.3746,0.9933,-0.2337,0.4019,0.9932,0.0107
0.29,-0.2819,0.3746,0.9934,-0.2338,0.4018,0.9931,0.0109
0.295,-0.2821,0.3746,0.9936,-0.2339,0.4016,0.9932,0.0111
0.3,-0.2823,0.3746,0.9937,-0.2341,0.4016,0.9931,0.0114
0.305,-0.2825,0.3746,0.9938,-0.2339,0.4013,0.9934,0.0116
0.31,-0.2827,0.3747,0.9939,-0.234,0.4011,0.9935,0.0118
0.315,-0.283,0.3747,0.9941,-0.2339,0.4011,0.9935,0.012
0.32,-0.2832,0.3747,0.9942,-0.234,0.4012,0.9934,0.0122
0.325,-0.2834,0.3747,0.9943,-0.2341,0.4013,0.9937,0.0125
0.33,-0.2836,0.3748,0.9945,-0.2342,0.4014,0.9936,0.0127
0.335,-0.2838,0.3748,0.9946,-0.2341,0.4015,0.9937,0.0129
0.34,-0.2841,0.3748,0.9948,-0.2341,0.4018,0.9938,0.0131
0.345,-0.2843,0.3749,0.9949,-0.2344,0.4021,0.9936,0.0134
0.35,-0.2845,0.3749,0.995,-0.2347,0.4024,0.9934,0.0136
0.355,-0.2847,0.3749,0.9952,-0.2348,0.4026,0.9937,0.0138
0.36,-0.285,0.3749,0.9953,-0.2349,0.4029,0.9938,0.014
0.365,-0.2852,0.375,0.9954,-0.2353,0.4032,0.9939,0.0143
0.37,-0.2854,0.375,0.9956,-0.2354,0.4034,0.9939,0.0145
0.375,-0.2856,0.375,0.9957,-0.2356,0.4035,0.9941,0.0147
0.38,-0.2859,0.375,0.9958,-0.2357,0.4036,0.9941,0.0149
0.385,-0.2861,0.3751,0.996,-0.2358,0.4033,0.9942,0.0152
0.39,-0.2863,0.3751,0.9961,-0.236,0.4032,0.9943,0.0154
0.395,-0.2866,0.3751,0.9962,-0.2361,0.4031,0.9945,0.0156
0.4,-0.2868,0.3752,0.9964,-0.236,0.4029,0.9948,0.0159
0.405,-0.287,0.3752,0.9965,-0.2362,0.403,0.995,0.0161
0.41,-0.2872,0.3752,0.9966,-0.2361,0.4029,0.9953,0.0163
0.415,-0.2875,0.3752,0.9968,-0.2362,0.4029,0.9952,0.0166
0.42,-0.2877,0.3753,0.9969,-0.2363,0.4029,0.9955,0.0168
0.425,-0.2879,0.3753,0.997,-0.2364,0.4028,0.9957,0.017
0.43,-0.2882,0.3753,0.9972,-0.2365,0.403,0.996,0.0173
0.435,-0.2884,0.3754,0.9973,-0.2366,0.4033,0.9963,0.0175
0.44,-0.2886,0.3754,0.9974,-0.2369,0.4035,0.9966,0.0177
0.445,-0.2889,0.3754,0.9975,-0.2374,0.4038,0.9968,0.018
0.45,-0.2891,0.3755,0.9977,-0.2377,0.4039,0.9969,0.0182
0.455,-0.2893,0.3755,0.9978,-0.238,0.4039,0.9971,0.0184
0.46,-0.2896,0.3755,0.9979,-0.2382,0.4041,0.9973,0.0187
0.465,-0.2898,0.3756,0.998,-0.2384,0.4041,0.9974,0.0189
0.47,-0.29,0.3756,0.9981,-0.2387,0.4041,0.9976,0.0192
0.475,-0.2903,0.3756,0.9982,-0.2388,0.404,0.9976,0.0194
0.48,-0.2905,0.3757,0.9983,-0.2389,0.4039,0.9974,0.0196
0.485,-0.2907,0.3757,0.9984,-0.2388,0.4038,0.9978,0.0199
0.49,-0.291,0.3757,0.9985,-0.2391,0.4037,0.9978,0.0201
0.495,-0.2912,0.3758,0.9986,-0.2392,0.4037,0.9982,0.0203
0.5,-0.2915,0.3758,0.9987,-0.2393,0.4037,0.9982,0.0206
0.505,-0.2917,0.3758,0.9987,-0.2393,0.4038,0.9983,0.0208
0.51,-0.2919,0.3759,0.9988,-0.2392,0.4038,0.9981,0.0211
0.515,-0.2922,0.3759,0.9989,-0.2394,0.4039,0.9984,0.0213
0.52,-0.2924,0.376,0.9989,-0.2393,0.4041,0.9986,0.0215
0.525,-0.2926,0.376,0.999,-0.2395,0.4041,0.9987,0.0218
0.53,-0.2929,0.376,0.9991,-0.2396,0.4044,0.9988,0.022
0.535,-0.2931,0.3761,0.9991,-0.2397,0.4044,0.9989,0.0223
0.54,-0.2934,0.3761,0.9992,-0.2398,0.4044,0.9989,0.0225
0.545,-0.2936,0.3762,0.9992,-0.2401,0.4043,0.9989,0.0227
0.55,-0.2938,0.3762,0.9992,-0.2402,0.4044,0.999,0.023
0.555,-0.2941,0.3763,0.9993,-0.2407,0.4044,0.9993,0.0232
0.56,-0.2943,0.3763,0.9993,-0.2409,0.4044,0.9994,0.0235
0.565,-0.2945,0.3763,0.9993,-0.241,0.4044,0.9995,0.0237
0.57,-0.2948,0.3764,0.9994,-0.2412,0.4043,0.9995,0.0239
0.575,-0.295,0.3764,0.9994,-0.2413,0.4042,0.9991,0.0242
0.58,-0.2952,0.3765,0.9994,-0.2415,0.4041,0.9992,0.0244
0.585,-0.2955,0.3765,0.9994,-0.2415,0.4041,0.9989,0.0247
0.59,-0.2957,0.3766,0.9994,-0.2419,0.4042,0.9991,0.0249
