t_s,roll_deg,pitch_deg,roll_error_deg,pitch_error_deg
0.0,-0.028,0.108,0.0461,-0.105
0.005,-0.034,0.124,0.0283,-0.1079
0.01,-0.025,0.138,0.0344,-0.1239
0.015,-0.035,0.123,0.0248,-0.1379
0.02,-0.048,0.114,0.0353,-0.1231
0.025,-0.059,0.112,0.0485,-0.1139
0.03,-0.049,0.119,0.0586,-0.1124
0.035,-0.064,0.106,0.0488,-0.1195
0.04,-0.062,0.081,0.0642,-0.106
0.045,-0.053,0.094,0.0619,-0.0814
0.05,-0.056,0.074,0.0531,-0.0943
0.055,-0.039,0.062,0.0563,-0.0737
0.06,-0.023,0.046,0.0387,-0.0617
0.065,-0.027,0.027,0.0232,-0.0458
0.07,-0.014,0.01,0.0267,-0.0267
0.075,-0.024,-0.001,0.0135,-0.0103
0.08,-0.003,0.001,0.0244,0.0015
0.085,-0.002,0.02,0.0032,-0.0012
0.09,-0.015,0.025,0.0019,-0.0198
0.095,-0.009,0.037,0.0154,-0.0249
0.1,0.001,0.053,0.0093,-0.0375
0.105,-0.004,0.037,-0.0008,-0.0529
0.11,-0.008,0.025,0.004,-0.0367
0.115,-0.012,0.012,0.008,-0.0254
0.12,-0.024,0.001,0.0119,-0.012
0.125,-0.037,-0.002,0.0237,-0.001
0.13,-0.04,-0.02,0.0368,0.0019
0.135,-0.043,-0.002,0.0398,0.0203
0.14,-0.054,0.006,0.0431,0.0016
0.145,-0.067,-0.0,0.0541,-0.0064
0.15,-0.07,-0.014,0.0669,0.0
0.155,-0.055,0.001,0.0699,0.0144
0.16,-0.067,-0.002,0.0555,-0.0011
0.165,-0.05,-0.017,0.0668,0.0024
0.17,-0.06,-0.026,0.05,0.0167
0.175,-0.05,-0.008,0.0598,0.0258
0.18,-0.063,-0.006,0.0502,0.0081
0.185,-0.076,-0.006,0.0628,0.0064
0.19,-0.086,0.005,0.0762,0.0063
0.195,-0.094,0.017,0.0864,-0.0045
0.2,-0.095,-0.004,0.0939,-0.0168
0.205,-0.089,0.012,0.0952,0.0039
0.21,-0.091,-0.002,0.0888,-0.0116
0.215,-0.091,-0.021,0.091,0.0025
0.22,-0.08,-0.0,0.0906,0.0211
0.225,-0.087,0.012,0.0805,0.0
0.23,-0.07,0.007,0.087,-0.0122
0.235,-0.081,0.01,0.0702,-0.0071
0.24,-0.055,0.026,0.0805,-0.0105
0.245,-0.034,0.03,0.0546,-0.0261
0.25,-0.037,0.041,0.034,-0.0304
0.255,-0.027,0.029,0.0371,-0.0412
0.26,-0.04,0.026,0.0275,-0.0293
0.265,-0.056,0.027,0.0404,-0.0262
0.27,-0.07,0.027,0.0561,-0.0272
0.275,-0.084,0.027,0.0698,-0.0265
0.28,-0.078,0.035,0.0843,-0.0268
0.285,-0.091,0.026,0.0783,-0.0349
0.29,-0.109,0.022,0.0909,-0.0262
0.295,-0.117,0.005,0.1087,-0.0223
0.3,-0.123,0.017,0.1168,-0.0046
0.305,-0.113,-0.001,0.1229,-0.0166
0.31,-0.116,0.017,0.1128,0.0008
0.315,-0.101,0.0,0.1162,-0.017
0.32,-0.076,-0.005,0.1006,-0.0004
0.325,-0.054,0.001,0.0757,0.0051
0.33,-0.03,-0.008,0.0539,-0.0008
0.335,-0.008,-0.02,0.0299,0.0082
0.34,-0.018,-0.011,0.0078,0.0195
0.345,-0.007,0.004,0.0181,0.011
0.35,0.014,0.004,0.0068,-0.004
0.355,0.033,0.006,-0.014,-0.0036
0.36,0.028,0.028,-0.0326,-0.0059
0.365,0.042,0.028,-0.028,-0.0281
0.37,0.053,0.015,-0.0415,-0.0284
0.375,0.04,0.028,-0.0527,-0.015
0.38,0.044,0.007,-0.0395,-0.0284
0.385,0.034,-0.008,-0.0445,-0.0073
0.39,0.047,-0.005,-0.034,0.0076
0.395,0.063,-0.01,-0.0465,0.0049
0.4,0.062,0.003,-0.0626,0.0098
0.405,0.065,-0.017,-0.0619,-0.003
0.41,0.052,-0.006,-0.0646,0.0171
0.415,0.036,0.002,-0.0516,0.0064
0.42,0.05,-0.005,-0.0357,-0.0016
0.425,0.062,-0.005,-0.0503,0.0051
0.43,0.04,-0.006,-0.0624,0.0052
0.435,0.043,0.007,-0.0401,0.0063
0.44,0.03,-0.002,-0.0429,-0.0065
0.445,0.013,-0.01,-0.0297,0.0021
0.45,0.017,0.003,-0.0127,0.0099
0.455,0.006,-0.012,-0.0169,-0.0029
0.46,0.015,0.0,-0.0065,0.0124
0.465,0.024,-0.005,-0.0149,-0.0005
0.47,0.036,-0.011,-0.0242,0.0047
0.475,0.032,0.008,-0.0363,0.0111
0.48,0.014,0.001,-0.032,-0.0081
0.485,0.008,0.008,-0.0138,-0.0007
0.49,0.026,-0.002,-0.0078,-0.0078
0.495,0.018,-0.016,-0.0259,0.0016
0.5,0.008,-0.004,-0.0176,0.0158
0.505,0.012,-0.021,-0.0081,0.0037
0.51,0.011,-0.037,-0.0119,0.0213
