t_s,x_m,y_m,z_m,ekf_x_m,ekf_y_m,ekf_z_m,xy_error_cm,z_error_cm
0.0,-0.3008,0.0651,1.0003,-0.2377,0.1094,1.001,0.0,0.032
0.005,-0.301,0.0652,1.0003,-0.2385,0.1089,1.0012,0.02,0.03
0.01,-0.3012,0.0652,1.0003,-0.3019,0.0645,1.0013,0.04,0.028
0.015,-0.3014,0.0653,1.0003,-0.3022,0.0646,1.0013,0.059,0.027
0.02,-0.3015,0.0654,1.0003,-0.3021,0.0646,1.0014,0.077,0.025
0.025,-0.3017,0.0654,1.0002,-0.302,0.0649,1.0011,0.093,0.024
0.03,-0.3019,0.0655,1.0002,-0.3019,0.065,1.0009,0.11,0.023
0.035,-0.302,0.0656,1.0002,-0.3018,0.0653,1.001,0.125,0.022
0.04,-0.3021,0.0656,1.0002,-0.302,0.0657,1.0009,0.139,0.021
0.045,-0.3022,0.0657,1.0002,-0.3019,0.0659,1.001,0.153,0.02
0.05,-0.3023,0.0658,1.0002,-0.3019,0.0659,1.001,0.165,0.02
0.055,-0.3024,0.0658,1.0002,-0.3019,0.0661,1.0013,0.177,0.02
0.06,-0.3025,0.0659,1.0002,-0.3021,0.0661,1.0012,0.188,0.019
0.065,-0.3026,0.066,1.0002,-0.3024,0.0661,1.0012,0.198,0.019
0.07,-0.3027,0.066,1.0002,-0.3026,0.0662,1.0009,0.208,0.02
0.075,-0.3027,0.0661,1.0002,-0.3025,0.0663,1.001,0.216,0.02
0.08,-0.3028,0.0662,1.0002,-0.3028,0.0664,1.0008,0.224,0.021
0.085,-0.3028,0.0662,1.0002,-0.3027,0.0663,1.001,0.231,0.021
0.09,-0.3029,0.0663,1.0002,-0.3029,0.0662,1.0007,0.237,0.022
0.095,-0.3029,0.0664,1.0002,-0.3029,0.0663,1.0006,0.243,0.023
0.1,-0.3029,0.0664,1.0002,-0.3029,0.0661,1.0009,0.247,0.024
0.105,-0.3029,0.0665,1.0003,-0.3031,0.0662,1.0008,0.251,0.026
0.11,-0.3029,0.0666,1.0003,-0.3032,0.0663,1.0007,0.255,0.027
0.115,-0.3029,0.0666,1.0003,-0.303,0.0663,1.0009,0.258,0.029
0.12,-0.3029,0.0667,1.0003,-0.303,0.0664,1.0008,0.26,0.031
0.125,-0.3028,0.0668,1.0003,-0.3028,0.0665,1.001,0.261,0.032
0.13,-0.3028,0.0668,1.0003,-0.3028,0.0667,1.0011,0.262,0.034
0.135,-0.3028,0.0669,1.0004,-0.3027,0.0667,1.0012,0.263,0.036
0.14,-0.3027,0.067,1.0004,-0.3026,0.0668,1.0011,0.263,0.038
0.145,-0.3026,0.067,1.0004,-0.3027,0.067,1.001,0.263,0.041
0.15,-0.3025,0.0671,1.0004,-0.3025,0.0671,1.0012,0.263,0.043
0.155,-0.3024,0.0672,1.0004,-0.3023,0.0672,1.001,0.262,0.045
0.16,-0.3024,0.0672,1.0005,-0.3023,0.067,1.0011,0.261,0.047
0.165,-0.3022,0.0673,1.0005,-0.3021,0.0673,1.0011,0.261,0.049
0.17,-0.3021,0.0674,1.0005,-0.3018,0.0675,1.0009,0.26,0.051
0.175,-0.302,0.0674,1.0005,-0.3019,0.0674,1.001,0.26,0.053
0.18,-0.3019,0.0675,1.0005,-0.3017,0.0674,1.001,0.26,0.055
0.185,-0.3017,0.0676,1.0006,-0.3018,0.0676,1.0009,0.26,0.057
0.19,-0.3016,0.0676,1.0006,-0.3013,0.0676,1.0009,0.262,0.059
0.195,-0.3014,0.0677,1.0006,-0.3014,0.0676,1.001,0.264,0.06
0.2,-0.3012,0.0677,1.0006,-0.3012,0.0678,1.0011,0.267,0.062
0.205,-0.301,0.0678,1.0006,-0.3008,0.0679,1.0012,0.271,0.064
0.21,-0.3008,0.0679,1.0007,-0.3009,0.0679,1.0012,0.276,0.065
0.215,-0.3006,0.0679,1.0007,-0.3006,0.068,1.0012,0.283,0.067
0.22,-0.3004,0.068,1.0007,-0.3005,0.0681,1.0013,0.291,0.068
0.225,-0.3002,0.0681,1.0007,-0.3003,0.0682,1.0013,0.301,0.069
0.23,-0.3,0.0681,1.0007,-0.3001,0.0682,1.0012,0.312,0.071
0.235,-0.2997,0.0682,1.0007,-0.2998,0.0685,1.0012,0.325,0.072
