run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,1.0,2.0,1.0,2.0,set_altitude_target,0,1,10,36491
1,2,climb to 2m,paraphrase,2.0,2.001,0.001,2.0,set_altitude_target,0,1,9,32748
1,3,go higher,relative_no_num,2.001,2.098,0.097,2.1,set_altitude_target,0,1,9,32789
1,4,go up a bit,vague_relative,2.098,2.204,0.106,2.2,set_altitude_target,0,1,2,6849
1,5,ascend slowly to a safe height,abstract,2.204,2.305,0.101,2.3,set_altitude_target,0,1,8,29163
1,6,I want it higher,indirect,2.305,2.397,0.092,2.4,set_altitude_target,0,1,8,29451
2,1,go to 2 metres,explicit,0.994,2.002,1.008,2.0,set_altitude_target,0,1,10,36509
2,2,climb to 2m,paraphrase,2.002,1.998,-0.004,2.0,set_altitude_target,0,1,9,32759
2,3,go higher,relative_no_num,1.998,2.104,0.106,2.1,set_altitude_target,0,1,10,37611
2,4,go up a bit,vague_relative,2.104,2.101,-0.003,2.1,set_altitude_target,0,0,9,32978
2,5,ascend slowly to a safe height,abstract,2.101,2.203,0.102,2.2,set_altitude_target,0,1,9,33427
2,6,I want it higher,indirect,2.203,2.298,0.095,2.3,set_altitude_target,0,1,8,29818
3,1,go to 2 metres,explicit,0.999,2.002,1.003,2.0,set_altitude_target,0,1,10,36507
3,2,climb to 2m,paraphrase,2.002,2.005,0.003,2.0,set_altitude_target,0,1,9,32638
3,3,go higher,relative_no_num,2.005,2.104,0.099,2.105,set_altitude_target,0,1,10,37608
3,4,go up a bit,vague_relative,2.104,2.206,0.102,2.204,set_altitude_target,0,1,10,37751
3,5,ascend slowly to a safe height,abstract,2.206,2.305,0.099,2.3,set_altitude_target,0,1,9,33241
3,6,I want it higher,indirect,2.305,2.4,0.095,2.4,set_altitude_target,0,1,9,33393
4,1,go to 2 metres,explicit,1.004,2.0,0.996,2.0,set_altitude_target,0,1,10,36487
4,2,climb to 2m,paraphrase,2.0,1.998,-0.002,2.0,set_altitude_target,0,1,9,32628
4,3,go higher,relative_no_num,1.998,2.098,0.1,2.1,set_altitude_target,0,1,10,37589
4,4,go up a bit,vague_relative,2.098,2.203,0.105,2.198,set_altitude_target,0,1,10,37678
4,5,ascend slowly to a safe height,abstract,2.203,2.297,0.094,2.3,set_altitude_target,0,1,10,37136
4,6,I want it higher,indirect,2.297,2.406,0.109,2.4,set_altitude_target,0,1,7,25803
5,1,go to 2 metres,explicit,0.998,2.004,1.006,2.0,set_altitude_target,0,1,10,36507
5,2,climb to 2m,paraphrase,2.004,1.997,-0.007,2.0,set_altitude_target,0,1,9,32603
5,3,go higher,relative_no_num,1.997,2.094,0.097,2.097,set_altitude_target,0,1,10,37701
5,4,go up a bit,vague_relative,2.094,2.097,0.003,2.1,set_altitude_target,0,0,9,32973
5,5,ascend slowly to a safe height,abstract,2.097,2.304,0.207,2.3,set_altitude_target,0,0,10,37818
5,6,I want it higher,indirect,2.304,2.303,-0.001,2.3,set_altitude_target,0,0,8,29311
