run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,0.997,1.996,0.999,2.0,set_altitude_target,0,1,9,22733
1,2,climb to 2m,paraphrase,1.996,1.995,-0.001,2.0,set_altitude_target,0,1,7,17666
1,3,go higher,relative_no_num,1.995,25.49,23.495,2.4,set_altitude_target,0,0,10,26229
1,4,go up a bit,vague_relative,25.49,-5.0,-30.49,2.3,set_altitude_target,0,0,10,27393
1,5,ascend slowly to a safe height,abstract,-5.0,1.971,6.971,2.0,set_altitude_target,0,0,10,27600
1,6,I want it higher,indirect,1.971,2.102,0.131,2.1,set_altitude_target,0,1,5,12753
2,1,go to 2 metres,explicit,0.994,2.005,1.011,2.0,set_altitude_target,0,1,10,25613
2,2,climb to 2m,paraphrase,2.005,2.001,-0.004,2.0,set_altitude_target,0,1,5,12266
2,3,go higher,relative_no_num,2.001,1.995,-0.006,2.0,set_altitude_target,0,0,9,23258
2,4,go up a bit,vague_relative,1.995,2.099,0.104,2.1,set_altitude_target,0,1,4,10006
2,5,ascend slowly to a safe height,abstract,2.099,2.406,0.307,2.4,set_altitude_target,0,0,4,10158
2,6,I want it higher,indirect,2.406,2.4,-0.006,2.4,text_inference,0,0,1,2523
3,1,go to 2 metres,explicit,0.999,1.999,1.0,2.0,set_altitude_target,0,1,10,25634
3,2,climb to 2m,paraphrase,1.999,1.998,-0.001,2.0,set_altitude_target,0,1,5,12263
3,3,go higher,relative_no_num,1.998,-1.515,-3.513,2.4,set_altitude_target,0,0,10,26058
3,4,go up a bit,vague_relative,-1.515,2.007,3.522,2.0,set_altitude_target,0,0,10,26570
3,5,ascend slowly to a safe height,abstract,2.007,2.008,0.001,2.1,set_altitude_target,0,0,7,18210
3,6,I want it higher,indirect,2.008,2.409,0.401,2.4,set_altitude_target,0,0,7,18485
4,1,go to 2 metres,explicit,0.993,2.007,1.014,2.0,set_altitude_target,0,1,7,17353
4,2,climb to 2m,paraphrase,2.007,2.099,0.092,2.1,set_altitude_target,0,1,5,12353
4,3,go higher,relative_no_num,2.099,2.205,0.106,2.2,set_altitude_target,0,1,4,9918
4,4,go up a bit,vague_relative,2.205,2.303,0.098,2.3,set_altitude_target,0,1,4,10070
4,5,ascend slowly to a safe height,abstract,2.303,2.398,0.095,2.4,set_altitude_target,0,1,4,10203
4,6,I want it higher,indirect,2.398,2.396,-0.002,2.4,text_inference,0,0,1,2532
5,1,go to 2 metres,explicit,0.999,1.997,0.998,2.0,set_altitude_target,0,1,8,20028
5,2,climb to 2m,paraphrase,1.997,2.001,0.004,2.0,set_altitude_target,0,1,6,15000
5,3,go higher,relative_no_num,2.001,2.406,0.405,2.4,set_altitude_target,0,0,10,26240
5,4,go up a bit,vague_relative,2.406,2.099,-0.307,2.1,set_altitude_target,0,0,4,9974
5,5,ascend slowly to a safe height,abstract,2.099,2.201,0.102,2.2,set_altitude_target,0,1,4,10126
5,6,I want it higher,indirect,2.201,2.202,0.001,2.4,text_inference,0,0,1,2510
