run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,0.996,2.003,1.007,2.0,set_altitude_target,0,1,10,45764
1,2,climb to 2m,paraphrase,2.003,2.009,0.006,2.0,set_altitude_target,0,1,10,45498
1,3,go higher,relative_no_num,2.009,2.004,-0.005,2.0,set_altitude_target,0,0,10,44259
1,4,go up a bit,vague_relative,2.004,2.499,0.495,2.5,set_altitude_target,0,1,9,40945
1,5,ascend slowly to a safe height,abstract,2.499,2.501,0.002,2.49,text_inference,0,0,2,8528
1,6,I want it higher,indirect,2.501,2.5,-0.001,2.5,text_inference,0,0,1,4513
2,1,go to 2 metres,explicit,0.991,2.011,1.02,2.0,set_altitude_target,0,1,10,45682
2,2,climb to 2m,paraphrase,2.011,2.011,0.0,2.0,set_altitude_target,0,1,10,45809
2,3,go higher,relative_no_num,2.011,2.007,-0.004,2.0,set_altitude_target,0,0,10,45976
2,4,go up a bit,vague_relative,2.007,2.3,0.293,2.3,set_altitude_target,0,1,10,45818
2,5,ascend slowly to a safe height,abstract,2.3,2.501,0.201,2.5,set_altitude_target,0,1,10,46634
2,6,I want it higher,indirect,2.501,2.502,0.001,2.5,text_inference,0,0,1,4132
3,1,go to 2 metres,explicit,0.999,2.01,1.011,2.0,set_altitude_target,0,1,10,45682
3,2,climb to 2m,paraphrase,2.01,2.011,0.001,2.0,set_altitude_target,0,1,10,45423
3,3,go higher,relative_no_num,2.011,2.008,-0.003,2.0,set_altitude_target,0,0,10,46002
3,4,go up a bit,vague_relative,2.008,2.011,0.003,2.0,set_altitude_target,0,0,10,46673
3,5,ascend slowly to a safe height,abstract,2.011,1.502,-0.509,1.5,set_altitude_target,0,0,10,46955
3,6,I want it higher,indirect,1.502,2.5,0.998,2.5,set_altitude_target,0,1,10,47075
4,1,go to 2 metres,explicit,0.997,2.01,1.013,2.0,set_altitude_target,0,1,10,45625
4,2,climb to 2m,paraphrase,2.01,2.014,0.004,2.0,set_altitude_target,0,1,10,45536
4,3,go higher,relative_no_num,2.014,1.997,-0.017,2.0,set_altitude_target,0,0,10,45370
4,4,go up a bit,vague_relative,1.997,2.295,0.298,2.3,set_altitude_target,0,1,10,46228
4,5,ascend slowly to a safe height,abstract,2.295,2.498,0.203,2.5,set_altitude_target,0,1,10,47036
4,6,I want it higher,indirect,2.498,2.505,0.007,2.5,text_inference,0,0,1,4222
5,1,go to 2 metres,explicit,0.998,2.007,1.009,2.0,set_altitude_target,0,1,10,45850
5,2,climb to 2m,paraphrase,2.007,2.015,0.008,2.0,set_altitude_target,0,1,10,45231
5,3,go higher,relative_no_num,2.015,2.006,-0.009,2.0,set_altitude_target,0,0,10,45872
5,4,go up a bit,vague_relative,2.006,2.499,0.493,2.5,set_altitude_target,0,1,8,35657
5,5,ascend slowly to a safe height,abstract,2.499,2.501,0.002,2.5,text_inference,0,0,3,13334
5,6,I want it higher,indirect,2.501,2.496,-0.005,2.5,text_inference,0,0,1,4440
