run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,1.005,2.003,0.998,2.0,set_altitude_target,0,1,10,34749
1,2,climb to 2m,paraphrase,2.003,2.007,0.004,2.0,set_altitude_target,0,1,10,34774
1,3,go higher,relative_no_num,2.007,2.402,0.395,2.4,set_altitude_target,0,1,8,27514
1,4,go up a bit,vague_relative,2.402,2.4,-0.002,2.4,text_inference,0,0,1,3211
1,5,ascend slowly to a safe height,abstract,2.4,2.398,-0.002,2.4,set_altitude_target,0,0,8,27873
1,6,I want it higher,indirect,2.398,2.402,0.004,2.4,text_inference,0,0,1,3291
2,1,go to 2 metres,explicit,0.999,2.002,1.003,2.0,set_altitude_target,0,1,10,34742
2,2,climb to 2m,paraphrase,2.002,1.999,-0.003,2.0,set_altitude_target,0,1,10,34957
2,3,go higher,relative_no_num,1.999,2.401,0.402,2.4,set_altitude_target,0,1,9,31141
2,4,go up a bit,vague_relative,2.401,2.399,-0.002,2.4,set_altitude_target,0,0,2,6568
2,5,ascend slowly to a safe height,abstract,2.399,2.406,0.007,2.4,text_inference,0,0,1,3299
2,6,I want it higher,indirect,2.406,2.403,-0.003,2.4,text_inference,0,0,1,3328
3,1,go to 2 metres,explicit,0.999,1.997,0.998,2.0,set_altitude_target,0,1,10,34704
3,2,climb to 2m,paraphrase,1.997,2.0,0.003,2.0,set_altitude_target,0,1,9,30862
3,3,go higher,relative_no_num,2.0,2.405,0.405,2.4,set_altitude_target,0,1,8,27569
3,4,go up a bit,vague_relative,2.405,2.401,-0.004,2.4,set_altitude_target,0,0,4,13400
3,5,ascend slowly to a safe height,abstract,2.401,2.402,0.001,2.4,set_altitude_target,0,0,9,31999
3,6,I want it higher,indirect,2.402,2.399,-0.003,2.4,text_inference,0,0,1,3304
4,1,go to 2 metres,explicit,0.996,1.503,0.507,1.5,set_altitude_target,0,0,6,20159
4,2,climb to 2m,paraphrase,1.503,2.002,0.499,2.0,set_altitude_target,0,1,9,30818
4,3,go higher,relative_no_num,2.002,2.404,0.402,2.4,set_altitude_target,0,1,9,31430
4,4,go up a bit,vague_relative,2.404,2.398,-0.006,2.4,text_inference,0,0,1,3226
