run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,0.995,2.0,1.005,2.0,set_altitude_target,0,1,10,23989
1,2,climb to 2m,paraphrase,2.0,2.0,0.0,2.0,set_altitude_target,0,1,8,19023
1,3,go higher,relative_no_num,2.0,1.997,-0.003,,unknown,1,1,1,2218
1,4,go up a bit,vague_relative,1.997,2.0,0.003,2.0,set_altitude_target,0,0,5,13876
1,5,ascend slowly to a safe height,abstract,2.0,2.0,0.0,2.0,set_altitude_target,0,0,10,28355
1,6,I want it higher,indirect,2.0,2.003,0.003,2.5,text_inference,1,1,1,2581
2,1,go to 2 metres,explicit,0.998,2.002,1.004,2.0,set_altitude_target,0,1,9,21933
2,2,climb to 2m,paraphrase,2.002,1.998,-0.004,2.0,text_inference,0,1,1,2199
2,3,go higher,relative_no_num,1.998,1.996,-0.002,,unknown,1,1,1,2222
2,4,go up a bit,vague_relative,1.996,2.401,0.405,2.4,set_altitude_target,0,1,5,13217
2,5,ascend slowly to a safe height,abstract,2.401,2.399,-0.002,2.5,text_inference,1,1,1,2306
2,6,I want it higher,indirect,2.399,2.399,0.0,2.4,set_altitude_target,0,0,2,4975
3,1,go to 2 metres,explicit,1.001,2.003,1.002,2.0,set_altitude_target,0,1,10,23953
3,2,climb to 2m,paraphrase,2.003,2.001,-0.002,2.0,text_inference,0,1,1,2200
3,3,go higher,relative_no_num,2.001,2.003,0.002,,unknown,1,1,1,2223
3,4,go up a bit,vague_relative,2.003,2.401,0.398,2.4,set_altitude_target,0,1,4,9840
3,5,ascend slowly to a safe height,abstract,2.401,2.394,-0.007,2.4,set_altitude_target,0,0,3,7346
3,6,I want it higher,indirect,2.394,2.404,0.01,2.4,set_altitude_target,0,0,4,9983
4,1,go to 2 metres,explicit,0.993,2.004,1.011,2.0,set_altitude_target,0,1,6,14817
4,2,climb to 2m,paraphrase,2.004,2.002,-0.002,2.0,text_inference,0,1,1,2204
4,3,go higher,relative_no_num,2.002,1.997,-0.005,2.0,text_inference,1,1,1,2235
