run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,1.004,2.01,1.006,2.0,set_altitude_target,0,1,10,48110
1,2,climb to 2m,paraphrase,2.01,1.999,-0.011,2.0,set_altitude_target,0,1,10,47643
1,3,go higher,relative_no_num,1.999,2.0,0.001,2.0,set_altitude_target,0,0,10,47856
1,4,go up a bit,vague_relative,2.0,2.25,0.25,2.25,set_altitude_target,0,1,5,22329
1,5,ascend slowly to a safe height,abstract,2.25,2.4,0.15,2.4,set_altitude_target,0,1,9,44043
1,6,I want it higher,indirect,2.4,2.398,-0.002,2.5,text_inference,0,0,1,4582
2,1,go to 2 metres,explicit,1.0,2.001,1.001,2.0,set_altitude_target,0,1,10,47749
2,2,climb to 2m,paraphrase,2.001,2.007,0.006,2.0,set_altitude_target,0,1,10,48063
2,3,go higher,relative_no_num,2.007,2.01,0.003,2.0,set_altitude_target,0,0,10,48677
2,4,go up a bit,vague_relative,2.01,2.403,0.393,2.4,set_altitude_target,0,1,8,37856
2,5,ascend slowly to a safe height,abstract,2.403,2.397,-0.006,2.4,set_altitude_target,0,0,10,50155
2,6,I want it higher,indirect,2.397,2.4,0.003,2.5,text_inference,0,0,1,4626
3,1,go to 2 metres,explicit,0.993,2.002,1.009,2.0,set_altitude_target,0,1,10,47749
3,2,climb to 2m,paraphrase,2.002,2.013,0.011,2.0,set_altitude_target,0,1,10,48187
3,3,go higher,relative_no_num,2.013,2.013,0.0,2.0,set_altitude_target,0,0,10,48707
3,4,go up a bit,vague_relative,2.013,2.397,0.384,2.4,set_altitude_target,0,1,8,37856
3,5,ascend slowly to a safe height,abstract,2.397,2.402,0.005,2.4,set_altitude_target,0,0,10,50154
3,6,I want it higher,indirect,2.402,2.398,-0.004,2.5,text_inference,0,0,1,4528
4,1,go to 2 metres,explicit,0.994,2.007,1.013,2.0,set_altitude_target,0,1,10,47838
4,2,climb to 2m,paraphrase,2.007,2.007,0.0,2.0,set_altitude_target,0,1,10,48050
4,3,go higher,relative_no_num,2.007,2.002,-0.005,2.0,set_altitude_target,0,0,10,48547
4,4,go up a bit,vague_relative,2.002,1.299,-0.703,1.3,set_altitude_target,0,0,8,37686
4,5,ascend slowly to a safe height,abstract,1.299,1.997,0.698,2.0,set_altitude_target,0,1,10,49275
4,6,I want it higher,indirect,1.997,2.401,0.404,2.4,set_altitude_target,0,1,5,22996
5,1,go to 2 metres,explicit,0.999,2.003,1.004,2.0,set_altitude_target,0,1,10,47559
5,2,climb to 2m,paraphrase,2.003,2.002,-0.001,2.0,set_altitude_target,0,1,10,47704
5,3,go higher,relative_no_num,2.002,2.007,0.005,2.0,set_altitude_target,0,0,10,48697
5,4,go up a bit,vague_relative,2.007,2.248,0.241,2.25,set_altitude_target,0,1,5,22440
5,5,ascend slowly to a safe height,abstract,2.248,2.396,0.148,2.4,set_altitude_target,0,1,10,50256
5,6,I want it higher,indirect,2.396,2.398,0.002,2.5,text_inference,0,0,1,4399
6,1,go to 2 metres,explicit,0.995,2.008,1.013,2.0,set_altitude_target,0,1,10,48372
6,2,climb to 2m,paraphrase,2.008,2.007,-0.001,2.0,set_altitude_target,0,1,10,48061
6,3,go higher,relative_no_num,2.007,2.007,0.0,2.0,set_altitude_target,0,0,10,49028
6,4,go up a bit,vague_relative,2.007,2.003,-0.004,2.0,set_altitude_target,0,0,10,48307
6,5,ascend slowly to a safe height,abstract,2.003,2.003,0.0,2.0,set_altitude_target,0,0,10,49122
6,6,I want it higher,indirect,2.003,2.004,0.001,2.0,set_altitude_target,0,0,10,49259
7,1,go to 2 metres,explicit,0.995,2.009,1.014,2.0,set_altitude_target,0,1,10,48046
7,2,climb to 2m,paraphrase,2.009,2.002,-0.007,2.0,set_altitude_target,0,1,7,31562
7,3,go higher,relative_no_num,2.002,2.001,-0.001,2.5,text_inference,1,1,1,4270
7,4,go up a bit,vague_relative,2.001,2.406,0.405,2.4,set_altitude_target,0,1,9,44103
7,5,ascend slowly to a safe height,abstract,2.406,2.399,-0.007,2.4,text_inference,1,1,1,4584
7,6,I want it higher,indirect,2.399,2.397,-0.002,2.4,text_inference,0,0,1,4874
8,1,go to 2 metres,explicit,1.001,1.999,0.998,2.0,set_altitude_target,0,1,10,47504
8,2,climb to 2m,paraphrase,1.999,2.01,0.011,2.0,set_altitude_target,0,1,10,48031
8,3,go higher,relative_no_num,2.01,2.012,0.002,2.0,set_altitude_target,0,0,10,48749
8,4,go up a bit,vague_relative,2.012,2.305,0.293,2.3,set_altitude_target,0,1,10,48646
8,5,ascend slowly to a safe height,abstract,2.305,2.403,0.098,2.4,set_altitude_target,0,1,9,44148
8,6,I want it higher,indirect,2.403,2.402,-0.001,2.5,text_inference,0,0,1,4450
