run,turn,description,z_before_m,z_after_m,yaw_before_deg,yaw_after_deg,armed_after,tools_used,expected_found,forbidden_found,sequence_ok,state_ok,overall_pass,api_calls,input_tokens,output_tokens
1,1,Arm motors,0.0,-0.905,0.0,359.93,1,arm;report_progress,arm,,1,1,1,3,6416,44
1,2,Takeoff + climb to 1.5 m,-0.905,1.506,359.93,0.03,1,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress,find_hover_throttle;set_altitude_target,arm,0,1,0,18,46319,426
1,3,Wait 5 s at altitude,1.506,1.499,0.03,0.18,1,wait,wait,,1,1,1,2,4461,34
1,4,Yaw 90° CW,1.499,0.535,0.18,156.38,1,disable_altitude_hold;set_yaw;wait;set_yaw;enable_altitude_hold,set_yaw,,1,1,1,4,9452,133
1,5,Safe landing,0.535,-2.04,156.38,157.03,0,land,land,,1,1,1,2,4722,30
2,1,Arm motors,0.0,-0.927,0.0,359.98,1,arm;report_progress,arm,,1,1,1,3,6416,44
2,2,Takeoff + climb to 1.5 m,-0.927,1.505,359.98,359.83,1,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress,find_hover_throttle;set_altitude_target,arm,0,1,0,17,43236,394
2,3,Wait 5 s at altitude,1.505,1.505,359.83,359.88,1,wait,wait,,1,1,1,2,4455,31
2,4,Yaw 90° CW,1.505,1.501,359.88,158.78,1,set_yaw;wait;set_yaw,set_yaw,,1,1,1,4,9266,62
2,5,Safe landing,1.501,-1.983,158.78,158.52,0,land,land,,1,1,1,2,4686,21
3,1,Arm motors,0.0,0.511,0.0,359.43,1,arm;find_hover_throttle;check_drone_stable;enable_altitude_hold;wait;set_altitude_target;wait;check_altitude_reached;report_progress,arm,,1,1,1,10,22921,181
3,2,Takeoff + climb to 1.5 m,0.511,1.503,359.43,359.35,1,plan_workflow;report_progress;disable_altitude_hold;report_progress;set_altitude_target;report_progress;enable_altitude_hold;report_progress;set_altitude_target;wait,set_altitude_target,,1,1,1,17,43350,410
3,3,Wait 5 s at altitude,1.503,1.499,359.35,359.15,1,wait,wait,,1,1,1,2,4485,31
3,4,Yaw 90° CW,1.499,1.504,359.15,301.8,1,disable_altitude_hold;set_yaw;wait;enable_altitude_hold;set_altitude_target;wait;check_altitude_reached;set_altitude_target;wait;check_altitude_reached,set_yaw,,1,1,1,8,20210,244
3,5,Safe landing,1.504,-1.973,301.8,310.77,0,land,land,,1,1,1,2,4742,30
4,1,Arm motors,0.0,0.508,0.0,0.74,1,arm;find_hover_throttle;check_drone_stable;enable_altitude_hold;wait;set_altitude_target;wait;check_altitude_reached;report_progress,arm,,1,1,1,10,22921,189
4,2,Takeoff + climb to 1.5 m,0.508,1.505,0.74,0.77,1,plan_workflow;report_progress;disable_altitude_hold;report_progress;set_altitude_target;report_progress;enable_altitude_hold;report_progress;set_altitude_target;report_progress,set_altitude_target,,1,1,1,16,40444,381
4,3,Wait 5 s at altitude,1.505,1.499,0.77,0.84,1,wait;report_progress,wait,,1,1,1,2,4590,87
4,4,Yaw 90° CW,1.499,1.497,0.84,28.99,1,report_progress;set_yaw;wait;report_progress,set_yaw,,1,1,1,4,9560,121
4,5,Safe landing,1.497,-2.007,28.99,38.27,0,land,land,,1,1,1,2,4764,26
5,1,Arm motors,0.0,-0.931,0.0,0.11,1,arm;report_progress,arm,,1,1,1,3,6416,44
5,2,Takeoff + climb to 1.5 m,-0.931,1.495,0.11,359.51,1,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress,find_hover_throttle;set_altitude_target,arm,0,1,0,17,43236,394
5,3,Wait 5 s at altitude,1.495,1.497,359.51,359.41,1,wait,wait,,1,1,1,2,4455,33
5,4,Yaw 90° CW,1.497,1.503,359.41,158.23,1,set_yaw;wait;set_yaw,set_yaw,,1,1,1,4,9274,62
5,5,Safe landing,1.503,-1.977,158.23,158.29,0,land,land,,1,1,1,2,4690,21
