run,turn,description,z_before_m,z_after_m,yaw_before_deg,yaw_after_deg,armed_after,tools_used,expected_found,forbidden_found,sequence_ok,state_ok,overall_pass,api_calls,input_tokens,output_tokens
1,1,Arm motors,0.0,-0.952,0.0,359.97,1,arm,arm,,1,1,1,2,8159,174
1,2,Takeoff + climb to 1.5 m,-0.952,1.51,359.97,359.33,1,plan_workflow;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress;wait;report_progress,find_hover_throttle;set_altitude_target,,1,1,1,18,93697,1498
1,3,Wait 5 s at altitude,1.51,1.5,359.33,359.48,1,wait;check_altitude_reached,wait,,1,1,1,3,13557,260
1,4,Yaw 90° CW,1.5,1.499,359.48,46.99,1,plan_workflow;report_progress;report_progress;set_yaw;report_progress;wait;report_progress;set_yaw;report_progress;check_drone_stable,set_yaw,,1,1,1,11,57481,1016
1,5,Safe landing,1.499,-0.096,46.99,47.09,0,plan_workflow;report_progress;disable_altitude_hold;report_progress;hover;report_progress;set_throttle;wait;report_progress;set_throttle,disarm,,1,1,1,17,95979,1300
2,1,Arm motors,0.0,-0.926,0.0,0.01,1,arm,arm,,1,1,1,2,8159,197
2,2,Takeoff + climb to 1.5 m,-0.926,1.509,0.01,0.3,1,plan_workflow;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress;wait;report_progress,find_hover_throttle;set_altitude_target,,1,1,1,19,100384,1609
2,3,Wait 5 s at altitude,1.509,1.499,0.3,0.61,1,wait;check_altitude_reached,wait,,1,1,1,3,13689,246
2,4,Yaw 90° CW,1.499,1.5,0.61,79.52,1,plan_workflow;report_progress;set_yaw;report_progress;wait;report_progress;set_yaw;report_progress;wait;report_progress,set_yaw,,1,1,1,15,82779,1335
2,5,Safe landing,1.5,-0.083,79.52,79.46,0,plan_workflow;report_progress;disable_altitude_hold;report_progress;hover;report_progress;set_throttle;wait;report_progress;set_throttle,disarm,,1,1,1,18,102805,1381
3,1,Arm motors,0.0,-0.927,0.0,359.95,1,arm,arm,,1,1,1,2,8159,193
3,2,Takeoff + climb to 1.5 m,-0.927,1.508,359.95,359.89,1,plan_workflow;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress;wait;report_progress,find_hover_throttle;set_altitude_target,,1,1,1,17,87869,1417
3,3,Wait 5 s at altitude,1.508,1.5,359.89,0.14,1,wait;check_altitude_reached,wait,,1,1,1,3,13602,253
3,4,Yaw 90° CW,1.5,1.502,0.14,35.72,1,plan_workflow;report_progress;report_progress;set_yaw;report_progress;wait;report_progress;set_yaw;report_progress;check_drone_stable,set_yaw,,1,1,1,11,57619,1020
3,5,Safe landing,1.502,-0.103,35.72,35.93,0,plan_workflow;report_progress;disable_altitude_hold;report_progress;hover;report_progress;set_throttle;wait;report_progress;set_throttle,disarm,,1,1,1,17,96024,1304
4,1,Arm motors,0.0,-0.908,0.0,0.07,1,arm,arm,,1,1,1,2,8159,160
4,2,Takeoff + climb to 1.5 m,-0.908,1.508,0.07,359.67,1,plan_workflow;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress;wait;report_progress,find_hover_throttle;set_altitude_target,,1,1,1,20,105231,1580
4,3,Wait 5 s at altitude,1.508,1.502,359.67,359.65,1,wait,wait,,1,1,1,2,8913,193
4,4,Yaw 90° CW,1.502,1.5,359.65,47.15,1,plan_workflow;report_progress;set_yaw;report_progress;wait;report_progress;set_yaw;report_progress;check_drone_stable;report_progress,set_yaw,,1,1,1,13,68999,1214
4,5,Safe landing,1.5,-0.103,47.15,46.97,0,plan_workflow;report_progress;disable_altitude_hold;report_progress;hover;report_progress;set_throttle;wait;set_throttle;wait,disarm,,1,1,1,16,88565,1154
5,1,Arm motors,0.0,-0.93,0.0,359.9,1,arm,arm,,1,1,1,2,8159,151
5,2,Takeoff + climb to 1.5 m,-0.93,1.512,359.9,359.62,1,plan_workflow;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold;report_progress;wait;report_progress,find_hover_throttle;set_altitude_target,,1,1,1,17,87127,1402
5,3,Wait 5 s at altitude,1.512,1.5,359.62,359.8,1,wait;get_sensor_status,wait,,1,1,1,3,13509,236
5,4,Yaw 90° CW,1.5,1.5,359.8,118.95,1,plan_workflow;report_progress;set_yaw;report_progress;wait;report_progress;set_yaw;report_progress;wait;report_progress,set_yaw,,1,1,1,13,69655,1199
5,5,Safe landing,1.5,-0.096,118.95,119.54,0,plan_workflow;report_progress;disable_altitude_hold;report_progress;hover;report_progress;set_throttle;wait;set_throttle;wait,disarm,,1,1,1,15,81928,1037
