run,z_phase1_m,z_final_m,alt_error_cm,correct_target_set,re_armed,re_took_off,alt_reached,tools_before_set,passed,api_calls_ph1,api_calls_ph2,input_tokens,output_tokens,cost_usd,tools_ph2
1,0.505,0.503,69.7,0,1,1,0,3,0,15,8,79490,646,0.012311,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
2,0.506,1.203,0.3,1,0,0,1,0,1,15,8,78981,590,0.0122,plan_workflow;report_progress;set_altitude_target;report_progress;wait;report_progress;check_altitude_reached;report_progress
3,0.511,0.501,69.9,0,1,1,0,3,0,15,8,79793,694,0.012387,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
4,0.507,0.5,70.0,0,1,1,0,3,0,15,8,79261,632,0.012269,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
5,0.503,0.499,70.1,0,1,1,0,3,0,15,8,78972,597,0.012203,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
6,0.503,0.5,70.0,0,1,1,0,3,0,15,8,79345,619,0.012275,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
7,0.51,0.501,69.9,0,1,1,0,3,0,15,8,79241,624,0.012262,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
8,0.509,0.499,70.1,0,1,1,0,3,0,15,8,79036,600,0.012216,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
9,0.506,0.498,70.2,0,1,1,0,3,0,15,8,79114,610,0.012232,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
10,0.504,0.5,70.0,0,1,1,0,3,0,15,8,79244,625,0.01226,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
11,0.505,-0.134,133.4,0,1,1,0,4,0,15,8,79289,609,0.012261,plan_workflow;report_progress;arm;find_hover_throttle;report_progress;check_drone_stable;report_progress;enable_altitude_hold
12,0.505,0.497,70.3,0,1,1,0,3,0,15,8,79191,617,0.012249,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
13,0.506,0.497,70.3,0,1,1,0,3,0,15,8,79266,627,0.012264,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
14,0.504,0.504,69.6,0,1,1,0,3,0,15,8,79335,619,0.012272,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
15,0.503,0.497,70.3,0,1,1,0,3,0,15,8,79300,612,0.012263,plan_workflow;report_progress;arm;report_progress;find_hover_throttle;report_progress;check_drone_stable;report_progress
