run,z_phase1_m,z_final_m,alt_error_cm,correct_target_set,re_armed,re_took_off,alt_reached,tools_before_set,passed,api_calls_ph1,api_calls_ph2,input_tokens,output_tokens,cost_usd,tools_ph2
1,0.507,25.71,2451.0,1,0,0,0,0,1,15,8,54950,594,0.008599,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;set_throttle;report_progress;check_altitude_reached;set_throttle
2,0.508,12.295,1109.5,1,0,0,0,0,1,14,8,52183,566,0.008166,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;report_progress;set_throttle;wait;check_altitude_reached
3,0.506,12.272,1107.2,1,0,0,0,0,1,14,8,52180,565,0.008165,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;report_progress;set_throttle;wait;check_altitude_reached
4,0.505,1.205,0.5,1,0,0,1,2,1,14,8,51887,527,0.008098,plan_workflow;report_progress;disable_altitude_hold;report_progress;enable_altitude_hold;report_progress;set_altitude_target;wait
5,0.507,0.062,113.8,1,0,0,0,0,1,14,8,52278,589,0.008195,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;check_altitude_reached;report_progress;set_altitude_target;enable_altitude_hold;enable_altitude_hold
6,0.506,0.068,113.2,1,0,0,0,0,1,14,8,52217,611,0.008198,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;report_progress;check_altitude_reached;report_progress;set_altitude_target;enable_altitude_hold
7,0.508,1.205,0.5,1,0,0,1,1,1,15,7,52615,554,0.008224,disable_altitude_hold;set_altitude_target;enable_altitude_hold;set_altitude_target;wait;check_altitude_reached;check_drone_stable
8,0.506,0.058,114.2,1,0,0,0,0,1,14,8,52238,585,0.008186,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;check_altitude_reached;report_progress;set_altitude_target;enable_altitude_hold;enable_altitude_hold
9,0.508,1.145,5.5,1,0,0,1,0,1,14,8,52331,624,0.008225,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;report_progress;check_altitude_reached;report_progress;enable_altitude_hold;set_altitude_target
10,0.507,1.213,1.3,1,0,0,1,0,1,14,8,52257,588,0.008189,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;check_altitude_reached;report_progress;enable_altitude_hold;set_altitude_target;wait
11,0.508,0.066,113.4,1,0,0,0,0,1,14,8,52238,585,0.008186,report_progress;set_altitude_target;disable_altitude_hold;report_progress;wait;check_altitude_reached;report_progress;set_altitude_target;enable_altitude_hold;enable_altitude_hold
12,0.505,1.217,1.7,1,0,0,1,0,1,14,8,52302,585,0.008195,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;report_progress;set_altitude_target;enable_altitude_hold;enable_altitude_hold;set_altitude_target
13,0.506,15.667,1446.7,1,0,0,0,0,1,15,8,54981,595,0.008603,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;report_progress;set_throttle;wait;check_altitude_reached
14,0.505,0.502,69.8,1,0,0,0,0,1,14,8,52336,602,0.00821,report_progress;set_altitude_target;disable_altitude_hold;report_progress;check_altitude_reached;report_progress;set_throttle;enable_altitude_hold;wait;check_altitude_reached
15,0.508,1.218,1.8,1,0,0,1,2,1,14,8,52028,563,0.008141,plan_workflow;report_progress;disable_altitude_hold;report_progress;enable_altitude_hold;report_progress;set_altitude_target;report_progress
