run,z_phase1_m,z_final_m,alt_error_cm,correct_target_set,re_armed,re_took_off,alt_reached,tools_before_set,passed,api_calls_ph1,api_calls_ph2,input_tokens,output_tokens,cost_usd,tools_ph2
1,0.5,0.509,69.1,0,0,0,0,0,0,15,0,71605,1111,0.23148,
2,0.505,0.501,69.9,0,0,0,0,0,0,15,0,71963,1134,0.232899,
3,0.502,0.505,69.5,0,0,0,0,0,0,15,0,71945,1133,0.23283,
4,0.069,0.07,113.0,0,0,0,0,0,0,9,0,40450,673,0.131445,
5,0.511,0.499,70.1,0,0,0,0,0,0,15,0,72011,1136,0.233073,
6,0.506,0.502,69.8,0,0,0,0,0,0,15,0,71975,1131,0.23289,
7,0.51,0.498,70.2,0,0,0,0,0,0,14,0,66464,1083,0.215637,
8,-4.331,-3.172,437.2,0,0,0,0,0,0,2,0,8223,231,0.028134,
9,0.504,0.5,70.0,0,0,0,0,0,0,15,0,72011,1136,0.233073,
10,0.054,0.054,114.6,0,0,0,0,0,0,5,0,21424,406,0.070362,
11,0.504,0.499,70.1,0,0,0,0,0,0,15,0,71945,1133,0.23283,
12,0.058,0.068,113.2,0,0,0,0,0,0,9,0,40420,670,0.13131,
13,0.508,0.499,70.1,0,0,0,0,0,0,15,0,71945,1133,0.23283,
14,-4.237,-3.133,433.3,0,0,0,0,0,0,1,0,4026,138,0.014148,
15,0.072,0.063,113.7,0,0,0,0,0,0,9,0,40420,670,0.13131,
