metric,value
kp_default,0.3
kp_injected,1.5
kp_after_llm_fix,0.35
kp_reduced,True
kp_reduction_pct,76.7
roll_rmse_before,0.21911
roll_rmse_after,0.03737
rmse_reduction_pct,82.9
roll_flips_before,20
roll_flips_after,71
roll_identified,True
tool_sequence,plan_workflow;report_progress;detect_anomaly;analyze_flight;report_progress;get_tuning_params;suggest_pid_tuning;report_progress;set_tuning_params;report_progress;apply_tuning;report_progress;wait;report_progress;check_drone_stable;get_sensor_status;report_progress;analyze_flight
expected_found,analyze_flight;suggest_pid_tuning;set_tuning_params;apply_tuning
api_calls,15
input_tokens,86194
output_tokens,2056
cost_usd,0.289422
passed,True
