mode,run,rmse_cm,wp1_rmse_cm,wp2_rmse_cm,wp3_rmse_cm,wp4_rmse_cm,n_wp_reached,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,0.834,1.039,0.675,0.766,0.813,4,60.2,1,1,1,61,344072,1871,0.052736,97.1
B,2,0.816,1.068,0.694,0.532,0.87,4,60.2,1,1,1,61,349863,2364,0.0539,101.9
B,3,0.847,1.039,0.76,0.599,0.922,4,60.2,1,1,1,61,339597,1833,0.052041,101.3
B,4,0.886,1.251,0.764,0.642,0.761,4,60.2,1,1,1,53,280814,2180,0.04343,87.3
B,5,0.832,1.093,0.789,0.577,0.785,4,59.9,1,1,1,71,432117,2342,0.066222,121.8
C,1,0.837,1.04,0.713,0.688,0.858,4,60.2,1,1,1,29,124192,740,0.019067,45.2
C,2,0.899,1.086,0.888,0.75,0.838,4,60.2,1,1,1,29,124097,797,0.019092,48.7
C,3,0.817,1.098,0.645,0.614,0.819,4,60.2,1,1,1,29,121249,633,0.018565,46.9
C,4,0.819,1.03,0.674,0.622,0.885,4,60.2,1,1,1,30,129148,761,0.019831,50.2
C,5,0.831,1.242,0.626,0.581,0.699,4,60.2,1,1,1,30,129196,829,0.019875,50.5
