mode,run,rmse_cm,wp1_rmse_cm,wp2_rmse_cm,wp3_rmse_cm,wp4_rmse_cm,n_wp_reached,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,0.859,1.166,0.668,0.714,0.796,4,59.9,1,1,1,76,375156,2368,0.961587,219.4
B,2,0.878,1.145,0.779,0.65,0.862,4,59.9,1,1,1,76,360728,2191,0.923747,236.0
B,3,0.804,1.002,0.747,0.634,0.79,4,59.9,1,1,1,73,354479,2502,0.911232,198.0
B,4,0.862,1.134,0.849,0.518,0.833,4,59.9,1,1,1,76,358344,2255,0.918431,195.6
B,5,0.896,1.147,0.754,0.617,0.974,4,59.9,1,1,1,76,369040,2297,0.945584,219.9
C,1,0.857,1.148,0.794,0.551,0.828,4,60.2,1,1,1,21,65034,697,0.16956,66.8
C,2,0.803,1.068,0.727,0.511,0.803,4,60.2,1,1,1,21,64874,686,0.16905,47.5
C,3,0.863,1.128,0.782,0.569,0.879,4,60.2,1,1,1,20,61044,626,0.158876,46.8
C,4,0.851,1.152,0.697,0.62,0.838,4,60.2,1,1,1,22,70528,864,0.184964,70.4
C,5,0.8,0.955,0.768,0.57,0.858,4,60.2,1,1,1,21,64034,639,0.166479,72.0
