mode,run,rmse_cm,wp1_rmse_cm,wp2_rmse_cm,wp3_rmse_cm,wp4_rmse_cm,n_wp_reached,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,0.853,1.074,0.798,0.635,0.848,4,60.2,1,1,1,59,252243,2050,0.039064,104.9
B,2,0.841,1.214,0.671,0.592,0.743,4,59.9,1,1,1,64,284876,2170,0.044034,126.2
B,3,0.904,1.227,0.808,0.56,0.895,4,59.9,1,1,1,64,286152,2215,0.04425,187.2
B,4,0.839,1.09,0.751,0.711,0.748,4,60.2,1,1,1,29,100614,1092,0.015747,68.2
B,5,0.82,1.07,0.657,0.651,0.83,4,60.2,1,1,1,34,120836,1071,0.018771,83.4
C,1,0.817,1.174,0.671,0.591,0.699,4,60.2,1,1,1,26,82084,842,0.012818,64.1
C,2,0.86,1.112,0.695,0.607,0.933,4,60.2,1,1,1,25,79076,836,0.012362,44.2
C,3,0.89,1.186,0.737,0.709,0.847,4,60.2,1,1,1,25,80228,887,0.012567,60.9
C,4,0.806,0.915,0.728,0.682,0.877,4,60.2,1,1,1,40,141759,1234,0.022004,76.4
C,5,0.868,1.217,0.755,0.651,0.733,4,60.2,1,1,1,26,83247,885,0.013016,63.2
