mode,run,rmse_cm,wp1_rmse_cm,wp2_rmse_cm,wp3_rmse_cm,wp4_rmse_cm,n_wp_reached,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,0.794,0.949,0.757,0.616,0.817,4,59.9,1,1,1,76,794507,8849,2.516256,295.6
B,2,0.829,1.135,0.61,0.673,0.798,4,59.9,1,1,1,76,781117,8535,2.471376,266.5
B,3,0.874,1.112,0.63,0.815,0.869,4,59.9,1,1,1,76,784424,8736,2.484312,275.6
B,4,0.841,1.177,0.645,0.555,0.849,4,59.9,1,1,1,76,785697,8762,2.488521,292.6
B,5,0.89,1.134,0.694,0.753,0.914,4,59.9,1,1,1,76,783003,8637,2.478564,315.5
C,1,0.813,1.039,0.685,0.554,0.89,4,59.9,1,1,1,40,270263,3237,0.859344,121.6
C,2,0.825,1.036,0.734,0.601,0.867,4,59.9,1,1,1,40,272583,3221,0.866064,119.8
C,3,0.801,1.088,0.743,0.509,0.754,4,59.9,1,1,1,40,269445,3126,0.855225,123.3
C,4,0.811,1.007,0.768,0.579,0.832,4,59.9,1,1,1,40,278560,3495,0.888105,124.9
C,5,0.86,1.195,0.666,0.545,0.887,4,59.9,1,1,1,40,276328,3354,0.879294,127.8
