mode,run,rmse_cm,wp1_rmse_cm,wp2_rmse_cm,wp3_rmse_cm,wp4_rmse_cm,n_wp_reached,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,0.83,1.049,0.711,0.659,0.846,4,59.9,1,1,1,81,857980,8902,2.70747,506.8
B,2,0.902,1.099,0.805,0.671,0.976,4,59.9,1,1,1,77,816642,9448,2.591646,320.0
B,3,0.833,0.944,0.785,0.706,0.877,4,59.9,1,1,1,76,780038,8543,2.468259,362.2
B,4,0.864,1.158,0.806,0.629,0.773,4,59.9,1,1,1,76,780316,8500,2.468448,281.8
B,5,0.839,1.053,0.604,0.724,0.904,4,59.9,1,1,1,76,783240,8694,2.48013,281.7
C,1,0.843,1.184,0.668,0.575,0.814,4,59.9,1,1,1,40,272334,3211,0.865167,291.1
C,2,0.853,1.044,0.761,0.581,0.949,4,59.9,1,1,1,40,275708,3582,0.880854,157.5
C,3,0.899,1.124,0.76,0.75,0.911,4,59.9,1,1,1,40,272608,3564,0.871284,141.2
C,4,0.875,1.228,0.808,0.622,0.721,4,59.9,1,1,1,40,272676,3237,0.866583,294.0
C,5,0.894,1.222,0.749,0.618,0.873,4,59.9,1,1,1,40,276254,3339,0.878847,169.2
