run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scene_label,truth
1,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",352.9,394.2,,claude,person_near,hazard
2,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.8,243.1,,claude,person_near,hazard
3,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,27.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",251.6,279.2,,claude,person_near,hazard
4,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.9,242.5,,claude,person_near,hazard
5,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,26.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.1,243.7,,claude,person_near,hazard
1,0,patrol,hazard,no person detected; risk=hazard,35.3,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",215.6,250.9,,claude,wall_close,hazard
2,0,patrol,hazard,no person detected; risk=hazard,35.2,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",227.4,262.6,,claude,wall_close,hazard
3,0,patrol,hazard,no person detected; risk=hazard,39.5,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",228.8,268.3,,claude,wall_close,hazard
4,0,patrol,hazard,no person detected; risk=hazard,30.6,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",221.0,251.6,,claude,wall_close,hazard
5,0,patrol,hazard,no person detected; risk=hazard,33.1,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",212.3,245.4,,claude,wall_close,hazard
1,0,patrol,safe,no person detected; risk=safe,35.5,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",224.7,260.2,,claude,object_table,caution
2,0,patrol,safe,no person detected; risk=safe,31.7,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",219.6,251.3,,claude,object_table,caution
3,0,patrol,safe,no person detected; risk=safe,34.2,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",212.0,246.2,,claude,object_table,caution
4,0,patrol,safe,no person detected; risk=safe,35.0,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",226.4,261.4,,claude,object_table,caution
5,0,patrol,safe,no person detected; risk=safe,37.8,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",216.2,254.0,,claude,object_table,caution
1,0,patrol,safe,no person detected; risk=safe,34.7,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",234.4,269.1,,claude,dim_light,caution
2,0,patrol,safe,no person detected; risk=safe,36.9,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",231.0,267.9,,claude,dim_light,caution
3,0,patrol,safe,no person detected; risk=safe,39.2,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",210.9,250.1,,claude,dim_light,caution
4,0,patrol,safe,no person detected; risk=safe,37.7,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",236.4,274.1,,claude,dim_light,caution
5,0,patrol,safe,no person detected; risk=safe,30.9,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",222.6,253.5,,claude,dim_light,caution
1,0,patrol,safe,no person detected; risk=safe,34.9,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",224.4,259.3,,claude,cluttered,caution
2,0,patrol,safe,no person detected; risk=safe,29.7,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",214.1,243.8,,claude,cluttered,caution
3,0,patrol,safe,no person detected; risk=safe,37.8,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",209.8,247.6,,claude,cluttered,caution
4,0,patrol,safe,no person detected; risk=safe,27.5,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",228.1,255.6,,claude,cluttered,caution
5,0,patrol,safe,no person detected; risk=safe,38.5,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",210.7,249.2,,claude,cluttered,caution
1,0,patrol,safe,no person detected; risk=safe,28.2,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",223.4,251.6,,claude,door_open,safe
2,0,patrol,safe,no person detected; risk=safe,32.2,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",220.7,252.9,,claude,door_open,safe
3,0,patrol,safe,no person detected; risk=safe,38.3,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",288.4,326.7,,claude,door_open,safe
