orchestrator,scene_label,truth,n_runs,tool_call_rate,acc,acc_lo,acc_hi,mean_pipeline_ms,ci_pipeline_lo,ci_pipeline_hi,mean_total_cost_usd
claude,person_near,hazard,5,1.0,0.0,0.0,0.4345,280.54,242.98,340.86,0.0473
claude,wall_close,hazard,5,1.0,0.0,0.0,0.4345,255.76,248.84,263.681,0.0418
claude,object_table,caution,5,1.0,0.0,0.0,0.4345,254.62,249.8,259.44,0.0408
claude,dim_light,caution,5,1.0,0.0,0.0,0.4345,262.94,254.58,270.86,0.0476
claude,cluttered,caution,5,1.0,0.0,0.0,0.4345,251.1,246.4,256.22,0.0465
claude,door_open,safe,5,1.0,0.0,0.0,0.4345,268.18,248.26,297.96,0.0414
claude,person_far,caution,5,1.0,0.0,0.0,0.4345,263.6,258.34,267.2205,0.0422
claude,blocked_lens,hazard,5,1.0,0.0,0.0,0.4345,271.5,254.76,296.76,0.0465
gpt4o,person_near,hazard,5,1.0,0.0,0.0,0.4345,248.08,242.08,252.66,0.0244
gpt4o,wall_close,hazard,5,1.0,0.0,0.0,0.4345,248.8,237.76,258.58,0.0247
gpt4o,object_table,caution,5,1.0,0.0,0.0,0.4345,249.54,243.46,258.6,0.0245
gpt4o,dim_light,caution,5,1.0,0.0,0.0,0.4345,246.64,242.42,250.44,0.0246
gpt4o,cluttered,caution,5,1.0,0.0,0.0,0.4345,249.9,245.26,254.66,0.0244
gpt4o,door_open,safe,5,1.0,0.0,0.0,0.4345,245.06,233.44,255.74,0.0244
gpt4o,person_far,caution,5,1.0,0.0,0.0,0.4345,253.5,248.96,259.54,0.0247
gpt4o,blocked_lens,hazard,5,1.0,0.0,0.0,0.4345,254.16,239.72,269.98,0.0246
gpt4o_mini,person_near,hazard,5,1.0,0.0,0.0,0.4345,260.26,254.06,266.46,0.0016
gpt4o_mini,wall_close,hazard,5,1.0,0.0,0.0,0.4345,266.56,253.5,280.621,0.0016
gpt4o_mini,object_table,caution,5,1.0,0.0,0.0,0.4345,250.16,240.5,261.8,0.0016
gpt4o_mini,dim_light,caution,5,1.0,0.0,0.0,0.4345,252.46,236.64,265.28,0.0016
gpt4o_mini,cluttered,caution,5,1.0,0.0,0.0,0.4345,249.5,242.46,255.02,0.0016
gpt4o_mini,door_open,safe,5,1.0,0.0,0.0,0.4345,243.0,234.6,251.4,0.0016
gpt4o_mini,person_far,caution,5,1.0,0.0,0.0,0.4345,245.98,237.24,254.72,0.0016
gpt4o_mini,blocked_lens,hazard,5,1.0,0.0,0.0,0.4345,249.22,240.08,261.96,0.0016
gemini,person_near,hazard,5,1.0,0.0,0.0,0.4345,241.46,235.56,249.02,0.0004
gemini,wall_close,hazard,5,1.0,0.0,0.0,0.4345,244.16,230.24,253.48,0.0004
gemini,object_table,caution,5,1.0,0.0,0.0,0.4345,241.96,233.36,251.38,0.0004
gemini,dim_light,caution,5,1.0,0.0,0.0,0.4345,250.28,235.16,262.58,0.0004
gemini,cluttered,caution,5,1.0,0.0,0.0,0.4345,248.44,241.84,256.125,0.0004
gemini,door_open,safe,5,1.0,0.0,0.0,0.4345,251.62,243.4,264.28,0.0004
gemini,person_far,caution,5,1.0,0.0,0.0,0.4345,248.18,242.68,252.8,0.0004
gemini,blocked_lens,hazard,5,1.0,0.0,0.0,0.4345,248.36,233.72,267.52,0.0004
