run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
1,0,patrol,safe,no person detected; risk=safe,37.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",359.2,397.0,,gemini,clear_room,door_open
1,1,patrol,safe,no person detected; risk=safe,36.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",209.8,246.2,,gemini,clear_room,door_open
1,2,patrol,safe,no person detected; risk=safe,30.2,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",206.1,236.3,,gemini,clear_room,door_open
1,3,patrol,safe,no person detected; risk=safe,23.5,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",206.6,230.1,,gemini,clear_room,door_open
2,0,patrol,safe,no person detected; risk=safe,34.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",211.1,245.9,,gemini,clear_room,door_open
2,1,patrol,safe,no person detected; risk=safe,37.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",197.0,234.4,,gemini,clear_room,door_open
2,2,patrol,safe,no person detected; risk=safe,31.0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",213.4,244.4,,gemini,clear_room,door_open
2,3,patrol,safe,no person detected; risk=safe,26.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",221.7,248.6,,gemini,clear_room,door_open
4,0,patrol,safe,no person detected; risk=safe,37.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",218.2,255.6,,gemini,clear_room,door_open
4,1,patrol,safe,no person detected; risk=safe,38.7,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",206.0,244.7,,gemini,clear_room,door_open
4,2,patrol,safe,no person detected; risk=safe,36.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",207.9,244.3,,gemini,clear_room,door_open
4,3,patrol,safe,no person detected; risk=safe,36.0,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",196.4,232.4,,gemini,clear_room,door_open
5,0,patrol,safe,no person detected; risk=safe,37.7,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",213.6,251.3,,gemini,clear_room,door_open
5,1,patrol,safe,no person detected; risk=safe,35.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",198.0,233.9,,gemini,clear_room,door_open
5,2,patrol,safe,no person detected; risk=safe,26.9,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",211.8,238.7,,gemini,clear_room,door_open
5,3,patrol,safe,no person detected; risk=safe,41.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",213.1,254.5,,gemini,clear_room,door_open
1,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",201.8,233.8,,gemini,alert_room,person_near
1,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.0,245.2,,gemini,alert_room,person_near
2,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.0,242.5,,gemini,alert_room,person_near
3,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.1,255.1,,gemini,alert_room,person_near
3,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.2,250.7,,gemini,alert_room,person_near
4,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.4,245.5,,gemini,alert_room,person_near
5,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.5,244.9,,gemini,alert_room,person_near
5,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",199.7,236.5,,gemini,alert_room,person_near
5,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",203.6,235.1,,gemini,alert_room,person_near
5,3,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,23.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",210.3,234.0,,gemini,alert_room,person_near
5,4,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",227.4,261.1,,gemini,alert_room,person_near
5,5,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",224.0,261.1,,gemini,alert_room,person_near
