run,action_num,tool_name,tool_args,telemetry_before,telemetry_after,execution_result,execution_ms,is_drone_command,approved,orchestrator,scenario,scene_label
1,0,arm,{},"{""alt_m"": 0.0, ""roll_deg"": 0.0, ""pitch_deg"": 0.0, ""yaw_deg"": 0.0, ""bat_pct"": 100.0, ""armed"": false, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}",,PENDING,0,1,1,gemini,clear_room,door_open
1,1,arm,{},"{""alt_m"": 0.0, ""roll_deg"": 0.0, ""pitch_deg"": 0.0, ""yaw_deg"": 0.0, ""bat_pct"": 100.0, ""armed"": false, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}","{""alt_m"": -1.218, ""roll_deg"": 0.12, ""pitch_deg"": -0.2, ""yaw_deg"": 360.0, ""bat_pct"": 100.0, ""armed"": true, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}","Armed. ch5=1000, motors spinning at idle.",24.3,1,1,gemini,clear_room,door_open
1,2,find_hover_throttle,{},"{""alt_m"": -1.218, ""roll_deg"": 0.12, ""pitch_deg"": -0.2, ""yaw_deg"": 360.0, ""bat_pct"": 100.0, ""armed"": true, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}",,PENDING,0,1,1,gemini,clear_room,door_open
1,3,find_hover_throttle,{},"{""alt_m"": -1.218, ""roll_deg"": 0.12, ""pitch_deg"": -0.2, ""yaw_deg"": 360.0, ""bat_pct"": 100.0, ""armed"": true, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": false, ""pos_x"": -1.165, ""pos_y"": 0.628}","Hover throttle found: PWM=1518, thr=0.518, z=0.069 m.",245.1,1,1,gemini,clear_room,door_open
1,4,enable_altitude_hold,{},"{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": false, ""pos_x"": -1.165, ""pos_y"": 0.628}",,PENDING,0,1,1,gemini,clear_room,door_open
1,5,enable_altitude_hold,{},"{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": false, ""pos_x"": -1.165, ""pos_y"": 0.628}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}","Altitude hold enabled at 0.069 m, hover_thr=0.518.",0.1,1,1,gemini,clear_room,door_open
1,6,set_altitude_target,"{""meters"": 1}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}",,PENDING,0,1,1,gemini,clear_room,door_open
1,7,set_altitude_target,"{""meters"": 1}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}",Altitude target set to 1.00 m.,0.0,1,1,gemini,clear_room,door_open
1,8,wait,"{""seconds"": 2}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}",,PENDING,0,1,1,gemini,clear_room,door_open
1,9,wait,"{""seconds"": 2}","{""alt_m"": 0.067, ""roll_deg"": -0.05, ""pitch_deg"": -0.0, ""yaw_deg"": 359.11, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -1.165, ""pos_y"": 0.628}","{""alt_m"": 0.408, ""roll_deg"": 0.05, ""pitch_deg"": 0.01, ""yaw_deg"": 359.14, ""bat_pct"": 98.5, ""armed"": true, ""althold"": true, ""pos_x"": -1.113, ""pos_y"": 0.55}",Waited 2.0 s. Current EKF altitude: 0.408 m.,110.2,1,1,gemini,clear_room,door_open
