orchestrator,global_run,scenario,scene_label,turn,latency_s,input_tokens,output_tokens,cost_usd,text
gpt4o_mini,1,clear_room,door_open,1,3.716,12871,224,0.002065,
gpt4o_mini,1,clear_room,door_open,2,1.216,13112,10,0.001973,
gpt4o_mini,1,clear_room,door_open,3,1.313,13142,14,0.00198,
gpt4o_mini,1,clear_room,door_open,4,1.229,13189,13,0.001986,
gpt4o_mini,1,clear_room,door_open,5,2.727,13233,13,0.001993,
gpt4o_mini,1,clear_room,door_open,6,1.244,13272,19,0.002002,
gpt4o_mini,1,clear_room,door_open,7,1.315,13310,29,0.002014,
gpt4o_mini,1,clear_room,door_open,8,2.152,13374,14,0.002014,
gpt4o_mini,1,clear_room,door_open,9,1.335,13413,29,0.002029,
gpt4o_mini,1,clear_room,door_open,10,2.169,13477,14,0.00203,
gpt4o_mini,1,clear_room,door_open,11,2.837,13516,29,0.002045,
gpt4o_mini,1,clear_room,door_open,12,1.229,13580,14,0.002045,
gpt4o_mini,1,clear_room,door_open,13,2.055,13619,29,0.00206,
gpt4o_mini,1,clear_room,door_open,14,1.229,13683,30,0.00207,
gpt4o_mini,1,clear_room,door_open,15,1.858,13762,14,0.002073,
gpt4o_mini,1,clear_room,door_open,16,1.103,13809,17,0.002082,
gpt4o_mini,1,clear_room,door_open,17,2.062,13896,12,0.002092,
gpt4o_mini,1,clear_room,door_open,18,1.333,14045,30,0.002125,
gpt4o_mini,1,clear_room,door_open,19,1.115,14124,14,0.002127,
gpt4o_mini,1,clear_room,door_open,20,1.33,14171,17,0.002136,
gpt4o_mini,1,clear_room,door_open,21,2.064,14258,12,0.002146,
gpt4o_mini,1,clear_room,door_open,22,1.281,14407,30,0.002179,
gpt4o_mini,1,clear_room,door_open,23,2.006,14486,14,0.002181,
gpt4o_mini,1,clear_room,door_open,24,2.379,14533,17,0.00219,
gpt4o_mini,1,clear_room,door_open,25,2.829,14620,12,0.0022,
gpt4o_mini,1,clear_room,door_open,26,2.352,14769,30,0.002233,
gpt4o_mini,1,clear_room,door_open,27,2.166,14848,14,0.002236,
gpt4o_mini,1,clear_room,door_open,28,1.228,14895,17,0.002244,
gpt4o_mini,1,clear_room,door_open,29,2.107,14982,12,0.002254,
gpt4o_mini,1,clear_room,door_open,30,2.039,15131,10,0.002276,
