orchestrator,global_run,scenario,scene_label,approval_num,tool_name,tool_args,telemetry_context,approved,deny_reason,response_time_s
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,1,arm,{},alt=?m  pos=?  status=?,1,,1.46
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,2,find_hover_throttle,{},alt=?m  pos=?  status=?,1,,1.34
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,3,enable_altitude_hold,{},alt=?m  pos=?  status=?,1,,1.56
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,4,set_altitude_target,"{""meters"": 1.0}",alt=?m  pos=?  status=?,1,,1.96
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,5,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,1.69
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,6,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,1.59
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,7,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,1.68
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,8,navigate_to_waypoint,"{""x_m"": 0, ""y_m"": 0, ""z_m"": 1.0}",alt=?m  pos=?  status=?,1,,1.74
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,9,navigate_to_waypoint,"{""x_m"": 1, ""y_m"": 0, ""z_m"": 1.0}",alt=?m  pos=?  status=?,1,,0.66
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,10,navigate_to_waypoint,"{""x_m"": 1, ""y_m"": 1, ""z_m"": 1.0}",alt=?m  pos=?  status=?,1,,1.41
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,11,navigate_to_waypoint,"{""x_m"": 0, ""y_m"": 1, ""z_m"": 1.0}",alt=?m  pos=?  status=?,1,,0.72
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r1,clear_room,door_open,12,land,{},alt=?m  pos=?  status=?,1,,1.72
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,1,arm,{},alt=?m  pos=?  status=?,1,,1.41
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,2,find_hover_throttle,{},alt=?m  pos=?  status=?,1,,0.88
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,3,enable_altitude_hold,{},alt=?m  pos=?  status=?,1,,0.72
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,4,set_altitude_target,"{""meters"": 1.0}",alt=?m  pos=?  status=?,1,,1.73
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,5,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,1.07
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,6,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,1.69
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,7,wait,"{""seconds"": 2}",alt=?m  pos=?  status=?,1,,0.76
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,8,navigate_to_waypoint,"{""x_m"": 0, ""y_m"": 0, ""z_m"": 1}",alt=?m  pos=?  status=?,1,,1.65
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,9,navigate_to_waypoint,"{""x_m"": 1, ""y_m"": 0, ""z_m"": 1}",alt=?m  pos=?  status=?,1,,1.43
gpt4o_mini,ND3B_gpt4o_mini_clear_room_r2,clear_room,door_open,10,navigate_to_waypoint,"{""x_m"": 1, ""y_m"": 1, ""z_m"": 1}",alt=?m  pos=?  status=?,1,,1.82
