run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
1,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",356.9,386.0,,gpt4o_mini,alert_room,person_near
1,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.9,258.0,,gpt4o_mini,alert_room,person_near
1,2,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.3,246.9,,gpt4o_mini,alert_room,person_near
2,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",243.2,277.4,,gpt4o_mini,alert_room,person_near
2,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,42.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",232.4,274.8,,gpt4o_mini,alert_room,person_near
2,2,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",235.3,272.8,,gpt4o_mini,alert_room,person_near
3,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.2,252.9,,gpt4o_mini,alert_room,person_near
3,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,28.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.4,246.0,,gpt4o_mini,alert_room,person_near
3,2,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.2,248.4,,gpt4o_mini,alert_room,person_near
4,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",250.3,279.6,,gpt4o_mini,alert_room,person_near
4,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.4,247.4,,gpt4o_mini,alert_room,person_near
4,2,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.1,256.5,,gpt4o_mini,alert_room,person_near
5,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.8,260.9,,gpt4o_mini,alert_room,person_near
5,1,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",222.8,258.5,,gpt4o_mini,alert_room,person_near
5,2,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.5,256.9,,gpt4o_mini,alert_room,person_near
