orchestrator,global_run,scenario,scene_label,approval_num,tool_name,tool_args,telemetry_context,approved,deny_reason,response_time_s
claude,ND3_claude_clear_room_r1,clear_room,door_open,1,arm,{},"Proposed: arm({})
Telemetry: {""alt_m"": 0.0, ""roll_deg"": 0.0, ""pitch_deg"": 0.0, ""yaw_deg"": 0.0, ""bat_pct"": 100.0, ""armed"": false, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}",1,,0.79
claude,ND3_claude_clear_room_r1,clear_room,door_open,2,find_hover_throttle,{},"Proposed: find_hover_throttle({})
Telemetry: {""alt_m"": -1.225, ""roll_deg"": -0.06, ""pitch_deg"": -0.05, ""yaw_deg"": 0.03, ""bat_pct"": 100.0, ""armed"": true, ""althold"": false, ""pos_x"": -0.0, ""pos_y"": -0.0}",1,,1.12
claude,ND3_claude_clear_room_r1,clear_room,door_open,3,enable_altitude_hold,{},"Proposed: enable_altitude_hold({})
Telemetry: {""alt_m"": 0.049, ""roll_deg"": 0.02, ""pitch_deg"": 0.04, ""yaw_deg"": 0.05, ""bat_pct"": 98.8, ""armed"": true, ""althold"": false, ""pos_x"": -0.043, ""pos_y"": -0.033}",1,,1.37
claude,ND3_claude_clear_room_r1,clear_room,door_open,4,set_altitude_target,"{""meters"": 1.0}","Proposed: set_altitude_target({""meters"": 1.0})
Telemetry: {""alt_m"": 0.049, ""roll_deg"": 0.02, ""pitch_deg"": 0.04, ""yaw_deg"": 0.05, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -0.043, ""pos_y"": -0.033}",1,,1.15
claude,ND3_claude_clear_room_r1,clear_room,door_open,5,wait,"{""seconds"": 4.0}","Proposed: wait({""seconds"": 4.0})
Telemetry: {""alt_m"": 0.049, ""roll_deg"": 0.02, ""pitch_deg"": 0.04, ""yaw_deg"": 0.05, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": -0.043, ""pos_y"": -0.033}",1,,1.33
claude,ND3_claude_clear_room_r1,clear_room,door_open,6,wait,"{""seconds"": 2.0}","Proposed: wait({""seconds"": 2.0})
Telemetry: {""alt_m"": 0.766, ""roll_deg"": 0.0, ""pitch_deg"": -0.04, ""yaw_deg"": 0.18, ""bat_pct"": 98.1, ""armed"": true, ""althold"": true, ""pos_x"": -0.253, ""pos_y"": 0.142}",1,,1.44
claude,ND3_claude_clear_room_r1,clear_room,door_open,7,set_home_position,{},"Proposed: set_home_position({})
Telemetry: {""alt_m"": 1.003, ""roll_deg"": 0.0, ""pitch_deg"": -0.02, ""yaw_deg"": 0.08, ""bat_pct"": 97.8, ""armed"": true, ""althold"": true, ""pos_x"": -0.191, ""pos_y"": 0.107}",1,,1.86
claude,ND3_claude_clear_room_r1,clear_room,door_open,8,navigate_to_waypoint,"{""x_m"": 0.0, ""y_m"": 0.0, ""z_m"": 1.0}","Proposed: navigate_to_waypoint({""x_m"": 0.0, ""y_m"": 0.0, ""z_m"": 1.0})
Telemetry: {""alt_m"": 1.003, ""roll_deg"": 0.0, ""pitch_deg"": -0.02, ""yaw_deg"": 0.08, ""bat_pct"": 97.8, ""armed"": true, ""althold"": true, ""pos_x"": -0.191, ""pos_y"": 0.107}",1,,0.63
claude,ND3_claude_clear_room_r1,clear_room,door_open,9,navigate_to_waypoint,"{""x_m"": 0.5, ""y_m"": -0.5, ""z_m"": 1.0}","Proposed: navigate_to_waypoint({""x_m"": 0.5, ""y_m"": -0.5, ""z_m"": 1.0})
Telemetry: {""alt_m"": 1.008, ""roll_deg"": 0.41, ""pitch_deg"": -0.75, ""yaw_deg"": 359.98, ""bat_pct"": 97.2, ""armed"": true, ""althold"": true, ""pos_x"": 0.079, ""pos_y"": 0.078}",1,,1.89
claude,ND3_claude_clear_room_r1,clear_room,door_open,10,navigate_to_waypoint,"{""x_m"": 0.5, ""y_m"": 0.5, ""z_m"": 1.0}","Proposed: navigate_to_waypoint({""x_m"": 0.5, ""y_m"": 0.5, ""z_m"": 1.0})
Telemetry: {""alt_m"": 1.004, ""roll_deg"": -1.35, ""pitch_deg"": -1.57, ""yaw_deg"": 359.97, ""bat_pct"": 96.4, ""armed"": true, ""althold"": true, ""pos_x"": 0.487, ""pos_y"": -0.429}",1,,0.71
claude,ND3_claude_clear_room_r1,clear_room,door_open,11,navigate_to_waypoint,"{""x_m"": -0.5, ""y_m"": 0.5, ""z_m"": 1.0}","Proposed: navigate_to_waypoint({""x_m"": -0.5, ""y_m"": 0.5, ""z_m"": 1.0})
Telemetry: {""alt_m"": 1.003, ""roll_deg"": 2.15, ""pitch_deg"": -0.34, ""yaw_deg"": 0.22, ""bat_pct"": 95.6, ""armed"": true, ""althold"": true, ""pos_x"": 0.515, ""pos_y"": 0.445}",1,,1.32
claude,ND3_claude_clear_room_r1,clear_room,door_open,12,navigate_to_waypoint,"{""x_m"": -0.5, ""y_m"": -0.5, ""z_m"": 1.0}","Proposed: navigate_to_waypoint({""x_m"": -0.5, ""y_m"": -0.5, ""z_m"": 1.0})
Telemetry: {""alt_m"": 1.003, ""roll_deg"": 0.68, ""pitch_deg"": 2.57, ""yaw_deg"": 0.64, ""bat_pct"": 94.8, ""armed"": true, ""althold"": true, ""pos_x"": -0.451, ""pos_y"": 0.548}",1,,0.62
claude,ND3_claude_clear_room_r1,clear_room,door_open,13,return_to_home,{},"Proposed: return_to_home({})
Telemetry: {""alt_m"": 1.007, ""roll_deg"": -2.46, ""pitch_deg"": 0.84, ""yaw_deg"": 0.83, ""bat_pct"": 93.9, ""armed"": true, ""althold"": true, ""pos_x"": -0.559, ""pos_y"": -0.442}",1,,1.09
claude,ND3_claude_clear_room_r1,clear_room,door_open,14,land,{},"Proposed: land({})
Telemetry: {""alt_m"": 1.004, ""roll_deg"": 1.06, ""pitch_deg"": -0.7, ""yaw_deg"": 0.65, ""bat_pct"": 93.1, ""armed"": true, ""althold"": true, ""pos_x"": -0.234, ""pos_y"": 0.042}",1,,0.51
claude,ND3_claude_clear_room_r2,clear_room,door_open,1,arm,{},"Proposed: arm({})
Telemetry: {""alt_m"": 0.0, ""roll_deg"": 0.0, ""pitch_deg"": 0.0, ""yaw_deg"": 0.0, ""bat_pct"": 100.0, ""armed"": false, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": 0.0}",1,,0.86
claude,ND3_claude_clear_room_r2,clear_room,door_open,2,find_hover_throttle,{},"Proposed: find_hover_throttle({})
Telemetry: {""alt_m"": -1.224, ""roll_deg"": 0.1, ""pitch_deg"": -0.05, ""yaw_deg"": 0.05, ""bat_pct"": 100.0, ""armed"": true, ""althold"": false, ""pos_x"": 0.0, ""pos_y"": -0.0}",1,,0.76
claude,ND3_claude_clear_room_r2,clear_room,door_open,3,enable_altitude_hold,{},"Proposed: enable_altitude_hold({})
Telemetry: {""alt_m"": 0.074, ""roll_deg"": -0.04, ""pitch_deg"": 0.03, ""yaw_deg"": 0.26, ""bat_pct"": 98.8, ""armed"": true, ""althold"": false, ""pos_x"": 1.641, ""pos_y"": -1.293}",1,,0.82
claude,ND3_claude_clear_room_r2,clear_room,door_open,4,set_altitude_target,"{""meters"": 1.0}","Proposed: set_altitude_target({""meters"": 1.0})
Telemetry: {""alt_m"": 0.074, ""roll_deg"": -0.04, ""pitch_deg"": 0.03, ""yaw_deg"": 0.26, ""bat_pct"": 98.8, ""armed"": true, ""althold"": true, ""pos_x"": 1.641, ""pos_y"": -1.293}",1,,0.77
