model,threshold,n_correct,n_total,rate,wilson_lo,wilson_hi
Claude,0.15,25,30,0.8333,0.6644,0.9266
Claude,0.175,25,30,0.8333,0.6644,0.9266
Claude,0.2,26,30,0.8667,0.7032,0.9469
Claude,0.225,27,30,0.9,0.7438,0.9654
Claude,0.25,27,30,0.9,0.7438,0.9654
GPT-4o,0.15,17,30,0.5667,0.392,0.7262
GPT-4o,0.175,17,30,0.5667,0.392,0.7262
GPT-4o,0.2,20,30,0.6667,0.4878,0.8077
GPT-4o,0.225,20,30,0.6667,0.4878,0.8077
GPT-4o,0.25,20,30,0.6667,0.4878,0.8077
mini,0.15,16,30,0.5333,0.3614,0.6977
mini,0.175,16,30,0.5333,0.3614,0.6977
mini,0.2,16,30,0.5333,0.3614,0.6977
mini,0.225,16,30,0.5333,0.3614,0.6977
mini,0.25,16,30,0.5333,0.3614,0.6977
