model,threshold,n_correct,n_total,rate,wilson_lo,wilson_hi
Claude,0.15,13,30,0.4333,0.2738,0.608
Claude,0.175,13,30,0.4333,0.2738,0.608
Claude,0.2,13,30,0.4333,0.2738,0.608
Claude,0.225,13,30,0.4333,0.2738,0.608
Claude,0.25,13,30,0.4333,0.2738,0.608
GPT-4o,0.15,53,90,0.5889,0.4856,0.6849
GPT-4o,0.175,53,90,0.5889,0.4856,0.6849
GPT-4o,0.2,53,90,0.5889,0.4856,0.6849
GPT-4o,0.225,53,90,0.5889,0.4856,0.6849
GPT-4o,0.25,53,90,0.5889,0.4856,0.6849
mini,0.15,35,90,0.3889,0.2947,0.4922
mini,0.175,35,90,0.3889,0.2947,0.4922
mini,0.2,35,90,0.3889,0.2947,0.4922
mini,0.225,35,90,0.3889,0.2947,0.4922
mini,0.25,35,90,0.3889,0.2947,0.4922
